"MES","AMBD01","AMBD02","AMBD03","AMBD04","AMBD05","AMBD06","AMBD07","AMBD08","AMBD09","AMBD10","AMBD11","AMBD12","AMBD13","AMBD14","AMBD15","AMBD16","AMBD17","AMBD18","AMBD19","AMBD20","AMBD21","AMBD22","AMBD23","AMBD24","AMBD25","AMBD26","AMBD27","AMBD28","AMBD29","AMBD30","AMBD31","AMBD32","AMBD33"
2005-01-01,"5163736.7333944999","8179865.8199999994","2149129.054","2110832.5373415002","480688.87407000002","222028.28875000001","258660.58532649998","-6795401.8038769998","5163736.7333880002","3320524.8810000001","1843211.8523879997","102821.418028","1460116.459889","-150893.57552899999","431167.54999999981","1116101.1314499998","89602.518179999985","595727.61563999997","-396.55237","431167.54999999981","0","0","708970.4807185001","1.8434500000000003E-2","860043.16799099999","-151072.70570700002","18140.2402195","13218.881413500001","4345.6762580000004","575.68254800000011","4436626.0124500003","3751692.4309999999","-4428173.3889999995"
2005-02-01,"5310453.5547163989","8428292.9533685986","2138155.4665344004","2116340.9249796001","464962.15398800006","216037.5589","248924.59508800003","-6907373.6361781983","5310453.5547164008","3272207.5392200011","2038246.0154963993","23838.825051600001","1748450.2826838002","-154554.28427900001","420511.19203999918","1064664.240969999","10603.504210000001","633934.40458999982","-384.85987","420511.19203999918","0","0","955360.00105000031","1.8457399999999999E-2","1110105.8046832001","-154745.82209060001","18221.773476399998","13235.3023842","4410.0734106","576.39768160000006","4336871.7801900003","3692718.7312600003","-4735574.2221085988"
2005-03-01,"4784778.3808140019","8366324.7488231994","1594655.4839619999","2078737.2009812002","470982.43644720007","196904.62603999997","274077.81040720001","-6783956.6165051972","4784778.3808139991","3214677.4009000002","1570100.9799139998","19752.8674288","1354784.7498555998","-161627.0719404","357190.43456999958","999975.45230999961","6484.7046000000009","636676.15318999987","-375.84004999999996","357190.43456999958","0","0","545794.08422399987","1.8503200000000001E-2","707623.12555999996","-161829.0598392","24331.443380000001","13268.1443256","10485.4711056","577.82794879999994","4214652.8532100003","3571867.8354699998","-4794456.9133531991"
2005-04-01,"5323960.9374711998","8906262.2316143997","1532264.1971795999","2086225.8392252002","432064.32826880005","140835.15422","291229.17404880002","-6768727.0022791997","5323960.9374711998","3556461.5163799999","1767499.4210911999","18626.410958800003","1556414.8508792","-149302.28244680003","341760.44169999985","942919.30641999992","5358.2481299999999","596166.69547999999","-366.07888999999994","341760.44169999985","0","0","808463.07118319988","1.8503200000000001E-2","957977.08418560005","-149514.03150560003","16117.043487999999","13268.1443256","2271.0712136000002","577.82794879999994","4499380.8228000002","3898221.9580799998","-5008040.2735343995"
2005-05-01,"5139829.9645675998","8840937.8495544009","1421268.7800811999","2132311.6254803999","422971.19168720004","119862.16752000002","303109.02416720003","-6831717.0988611998","5139829.9460643996","3552434.9242699998","1587395.0217943995","18902.9316856","1361263.7291987999","-154063.75878","361292.11968999961","912194.58551999961","5634.7873599999994","545627.1465899999","-359.46812","361292.11968999961","0","0","660414.93646719994","0","814697.05507599993","-154282.1186088","14785.4998072","13268.1443256","939.5275327999999","577.82794879999994","4464629.5097899996","3913727.0439599999","-4927210.8055944005"
2005-06-01,"5252920.7639467707","9396650.5587056","1194823.20340994","2091503.6640660001","410354.57077400002","121054.00433","289300.56644400005","-7019702.09146077","5252920.7639467781","3670032.0855899998","1582888.6783567776","29860.345078800001","1327645.7802007776","-149044.87850280001","374427.43158000009","822222.8838500001","16592.182250000002","431557.57939000009","-354.30937","374427.43158000009","8123.9742755774987","8123.9742755774987","737548.24046639982","1.8503200000000001E-2","886816.61904479994","-149268.39708160001","14993.579764799999","13268.1443256","1147.6074904","577.82794879999994","4468113.5121355774","4044459.5171699999","-5352191.0415356001"
2005-07-01,"5588425.794225161","10044202.4471635","958881.81386732694","2063927.4131655002","485156.04519200005","179266.50182","305889.54337200004","-6993429.8347791703","5588425.794225161","3848861.8106899997","1739563.9835351601","23434.056638000002","1546674.9649831601","-146832.41216600002","316287.37407999998","1181601.3118099999","10215.156789999999","853017.00489999994","2081.7760399999997","316287.37407999998","8186.3849801601009","8186.3849801601009","535063.50943500025","1.8434500000000003E-2","684553.36175450019","-149489.870754","14712.777310000001","13218.881413500001","918.21334850000005","575.68254800000011","5035976.1334001608","4165149.1847699997","-5879053.2623934997"
2005-08-01,"5824177.8278779816","10741173.7723631","697860.95087353699","2068229.6177248","578695.28804043401","296065.56894563412","282629.71909479995","-7104391.2250430202","5824177.8278779816","4031246.70952","1792931.1183579825","23385.688750799996","1582192.3323821831","-146581.15240499997","333934.24962999951","1132101.8989699997","10199.630889999999","788297.96581000008","-329.94735999999995","333934.24962999951","23200.262276683203","23200.262276683203","621157.87330629991","1.8388699999999997E-2","767983.31224339991","-146825.4573258","16471.083804999998","13186.039472099999","2710.7920521000001","574.25228079999999","5235087.621136683","4365180.9591499995","-6375992.8132130997"
2005-09-01,"5802837.3756845063","11148344.251475601","684844.88857781107","2075237.2631166","645936.48043214495","484109.51888454478","161826.96154759999","-7459652.5470533594","5802837.37568451","4255116.3583700005","1547721.0173145095","22636.604357199998","1356073.1707807102","-153799.50085340001","322810.74302999955","965983.82925999945","9466.9674900000009","633981.02788999979","-274.90915000000001","322810.74302999955","34421.234364510405","34421.234364510405","530877.83511559991","1.8365799999999998E-2","684975.94560039998","-154098.12885060001","16438.118574399996","13169.618501399998","2694.9629257999995","573.53714720000005","5350280.6789645106","4577927.1014","-6570417.1500756014"
2005-10-01,"6291224.6403002869","12141657.459759997","260950.38407806822","2011828.8409800003","640059.40865918237","491617.27969918249","148442.12896","-7483152.6358585972","6291224.6403002879","4406013.5654499996","1885211.0748502885","22078.798820000004","1646794.7096402878","-144875.36319999999","361212.92959000077","1133481.0139000008","8942.0039399999987","763581.24965000001","-255.16927999999999","361212.92959000077","28460.781350287496","28460.781350287496","705321.03168000001","1.8319999999999999E-2","850513.31416000007","-145192.3008","17948.247920000002","13136.776560000002","4239.3644800000011","572.10688000000005","800728.86566028744","4767226.4950400004","-7374430.9647199968"
