"MES","AMCM01","AMCM02","AMCM03","AMCM04","AMCM05","AMCM06","AMCM07","AMCM08","AMCM09","AMCM10","AMCM11","AMCM12","AMCM13","AMCM14","AMCM15","AMCM16","AMCM17","AMCM18","AMCM19","AMCM20","AMCM21","AMCM22","AMCM23","AMCM24"
2007-12-01,"  540.602449","  640.173137","   99.570688","24970.820719"," 4331.522497","    9.861002"," 3543.587703","  778.073792","    0.000000"," 1214.914989"," 1214.914989","    0.000000","16913.814962","16913.814962","    0.000000"," 2510.568271","    0.000000","    2.465280"," 2310.005442","  198.097548","25511.384399","25032.470104","  535.686402","  -56.772107"
2008-01-01,"  493.277239","  594.440930","  101.163692","25439.320373"," 4448.531556","   16.002746"," 3652.660331","  779.868480","    0.000000"," 1464.819736"," 1464.819736","    0.000000","16998.261309","16998.261309","    0.000000"," 2527.707772","    0.000000","    4.969852"," 2351.797415","  170.940505","25932.556132","25412.010639","  579.969581","  -59.424089"
2008-02-01,"  489.483594","  598.861771","  109.378177","25763.666891"," 4358.165093","   13.746041"," 3576.761642","  767.657410","    0.000000"," 1817.314428"," 1817.314428","    0.000000","17095.368867","17095.368867","    0.000000"," 2492.818503","    0.000000","    6.180575"," 2331.502636","  155.135292","26253.101832","25802.478022","  507.720540","  -57.096730"
2008-03-01,"  474.030676","  587.640189","  113.609512","26084.415531"," 4225.630805","   18.516516"," 3476.612042","  730.502247","    0.000000"," 2054.200559"," 2054.200559","    0.000000","16885.179938","16885.179938","    0.000000"," 2919.404230","    0.000000","    6.046129"," 2766.180978","  147.177122","26558.446208","26114.553098","  487.047875","  -43.154765"
2008-04-01,"  466.127508","  587.622010","  121.494501","26811.240395"," 4421.385592","   12.738060"," 3690.572122","  718.075410","    0.000000"," 2478.453167"," 2478.453167","    0.000000","17029.523296","17029.523296","    0.000000"," 2881.878340","    0.000000","    5.891246"," 2740.474960","  135.512135","27277.367903","26791.203980","  526.978981","  -40.815058"
2008-05-01,"  453.004535","  581.021858","  128.017323","27243.685371"," 4310.087753","   17.087133"," 3584.461333","  708.539287","    0.000000"," 2783.536339"," 2783.536339","    0.000000","17235.743111","17235.743111","    0.000000"," 2914.318167","    0.000000","    5.747246"," 2785.624716","  122.946204","27696.689945","27157.948389","  579.704318","  -40.962762"
2008-06-01,"  481.840108","  596.206044","  114.365936","27623.306135"," 4419.462078","   19.188582"," 3700.970128","  699.303368","    0.000000"," 2973.734380"," 2973.734380","    0.000000","17308.149570","17308.149570","    0.000000"," 2921.960106","    0.000000","    7.039216"," 2788.336704","  126.584186","28105.148445","27525.187625","  609.883740","  -29.922921"
2008-07-01,"  193.305793","  322.013292","  128.707498","28323.088232"," 4803.800010","   16.446131"," 4090.442345","  696.911534","    0.000000"," 3168.738628"," 3168.738628","    0.000000","17427.557216","17427.557216","    0.000000"," 2922.992378","    0.000000","    8.024831"," 2803.373532","  111.594015","28516.392750","27924.239490","  597.216052","   -5.062791"
2008-08-01,"  178.220682","  321.475883","  143.255201","28787.110054"," 4933.297963","   15.328584"," 4164.613194","  753.356184","    0.000000"," 3459.009157"," 3459.009157","    0.000000","17525.849519","17525.849519","    0.000000"," 2868.953415","    0.000000","    7.994383"," 2767.700272","   93.258760","28965.339484","28347.796298","  658.916866","  -41.373680"
2008-09-01,"  -20.844962","  124.774300","  145.619262","29509.411958"," 5237.088869","    8.401250"," 4476.854234","  751.833385","    0.000000"," 3529.585206"," 3529.585206","    0.000000","17369.261103","17369.261103","    0.000000"," 3373.476779","    0.000000","    7.824431"," 3278.108381","   87.543967","29488.566961","28883.332271","  645.684226","  -40.449536"
2008-10-01,"    5.152498","  194.946996","  189.794498","30024.111902"," 5501.285039","   10.811137"," 4685.658302","  804.815600","    0.000000"," 3594.954684"," 3594.954684","    0.000000","17466.266160","17466.266160","    0.000000"," 3461.606018","    0.000000","    3.243302"," 3370.663660","   87.699055","30029.264383","29390.839036","  693.546274","  -55.120927"
2008-11-01,"    0.3611666","  141.2913693","  140.9302026","30516.6443096"," 5706.6852254","   11.1181155"," 4850.0629226","  845.5041873","    0.0000000"," 3687.4232054"," 3687.4232054","    0.0000000","17488.0069979","17488.0069979","    0.0000000"," 3634.5288808","   65.5947871","    2.9055784"," 3480.0065293","   86.0219860","30517.0055102","29844.4782435","  722.3272524","  -49.7999857"
2008-12-01,"   16.944106","  136.022378","  119.078272","30952.789444"," 5944.618617","   12.781971"," 5048.889689","  882.946957","    0.000000"," 3728.520039"," 3728.520039","    0.000000","17566.243706","17566.243706","    0.000000"," 3713.407082","   67.480886","    2.574006"," 3553.459735","   89.892456","30969.737574","30336.447117","  708.171488","  -74.881031"
2009-01-01,"   -6.223554","  135.380295","  141.603849","31346.411362"," 6016.319689","   13.521120"," 5083.150962","  919.647608","    0.000000"," 3790.945287"," 3790.945287","    0.000000","17769.817221","17769.817221","    0.000000"," 3769.329164","   67.978577","    2.368758"," 3610.754566","   88.227263","31340.187819","30679.791934","  727.699910","  -67.304025"
2009-02-01,"  -16.516941","  133.118588","  149.635529","31786.310494"," 6277.989665","    9.549553"," 5323.977915","  944.462196","    0.000000"," 3815.676670"," 3815.676670","    0.000000","17929.749823","17929.749823","    0.000000"," 3762.894336","   68.434449","    2.152081"," 3603.843527","   88.464280","31769.793549","31134.470229","  695.017961","  -59.694641"
2009-03-01,"  -18.829313","  145.856590","  164.685904","32224.756798"," 7229.856878","   10.563264"," 5311.293184"," 1908.000430","    0.000000"," 3783.351324"," 3783.351324","    0.000000","18228.132228","18228.132228","    0.000000"," 2983.416368","   68.946326","    1.974546"," 2817.153775","   95.341722","32205.927478","31584.968707","  681.508119","  -60.549348"
2009-04-01,"  -22.951960","  156.115788","  179.067748","32684.346364"," 7422.635162","    8.522356"," 5483.851969"," 1930.260836","    0.000000"," 3772.123872"," 3772.123872","    0.000000","18518.109160","18518.109160","    0.000000"," 2971.478170","   66.912000","    1.929191"," 2793.190122","  109.446857","32661.394386","32064.159859","  658.717352","  -61.482826"
2009-05-01,"  -10.299639","  186.460489","  196.760127","33229.482213"," 7642.518083","   14.252492"," 5614.291089"," 2013.974502","    0.000000"," 3696.231467"," 3696.231467","    0.000000","18913.611882","18913.611882","    0.000000"," 2977.120781","   67.398116","    2.087604"," 2788.154712","  119.480350","33219.182612","32591.683146","  696.195610","  -68.696144"
2009-06-01,"  -10.706883","  192.777315","  203.484199","33603.772269"," 7821.396656","    8.701282"," 5747.857663"," 2064.837710","    0.000000"," 3653.846671"," 3653.846671","    0.000000","19123.501281","19123.501281","    0.000000"," 3005.027662","   67.875265","    2.197951"," 2797.857505","  137.096940","33593.065524","32966.522332","  682.206603","  -55.663412"
2009-07-01,"   -7.195308","  251.594413","  258.789721","34151.219342"," 8124.275550","   12.303529"," 6051.755174"," 2060.216847","    0.000000"," 3680.587535"," 3680.587535","    0.000000","19294.921017","19294.921017","    0.000000"," 3051.435240","   68.375499","    3.375277"," 2830.269422","  149.415042","34144.279262","33502.445338","  698.777672","  -56.943748"
2009-08-01,"  -17.630908","  221.665143","  239.296051","34577.216962"," 7996.027062","    8.601862"," 5872.336222"," 2115.088978","    0.000000"," 4024.863040"," 4024.863040","    0.000000","19560.616145","19560.616145","    0.000000"," 2995.710715","   69.655727","    3.496810"," 2763.456892","  159.101286","34559.586102","33915.904401","  716.089009","  -72.407308"
