"MES","BPCR01","BPCR02","BPCR03","BPCR04","BPCR05","BPCR06","BPCR07","BPCR08","BPCR09","BPCR10"
2005-06-01,"9056531.7647558656",10213668.49776,3165640.17838,172037.94,83709.72,428036.75,461082.35,234112.76,,23814819.9608959
2005-07-01,"9031639.5439436529",10209350.99587,3201565.89118,174420.66,85723.57,424833.53,459982.72,237244.97,,23824761.8809937
2005-08-01,"8981383.8348121792",10203260.1924,3165572.51069,178033.85783,87998.7394,428310.38731,459109.0764,239383.04722,,23743051.6460622
2005-09-01,"8989174.0424814411",10186575.6998,3240399.72963,178936.07809,92129.61411,427346.95092,470288.09597,249785.76505,,23834635.9760514
2005-10-01,"9048231.9339199662",10150272.7351,3232024.19231,191091.9055,94961.32422,429014.90016,490224.39162,255008.71495,,23890830.09778
2005-11-01,"8955523.8751999661",10171344.45771,3239380.94728,196443.84926,96702.9251,433240.53072,494878.14565,259713.85793,,23847228.58885
2005-12-01,"8933001.222709965",10172228.53479,3283294.20885,200624.01713,97232.86432,437758.45847,497035.35437,264380.95016,,23885555.6108
2006-01-01,"8922326.4921840429",10171457.43155,3267225.46295,199904.54066,96758.52652,438104.89693,495097.82925,274162.04952,634.11504,23865671.344604
2006-02-01,"8892958.4464992285",10069138.61734,3263598.63485,206681.52642,97800.41579,438403.46987,499876.70448,273444.90976,1310.73352,23743213.4585292
2006-03-01,"8916631.3671312351",10057334.50925,3288449.01239,206648.11402,98742.48129,442614.89529,484217.41296,268964.55484,1611.43653,23765213.7837012
2006-04-01,"8913811.0530670155",10252166.1095,3306581.78903,211051.67339,101711.88084,451150.37378,465895.21631,268306.10729,2020.07216,23972694.275367
2006-05-01,"9002109.271707017",10362850.08887,3315453.16383,207933.9074,105020.22636,468052.16951,475205.12515,268581.72684,2394.62399,24207600.303657
2006-06-01,"9003957.2573470157",10262060.24504,3372087.23652,208801.83324,107767.91505,469868.3495,488109.52947,274575.87853,2948.34496,24190176.589657
2006-07-01,"9087085.7890670151",10450708.59721,3382184.58383,207628.03796,112581.16717,479502.74797,486837.34727,277566.92498,5973.64464,24490068.840097
2006-08-01,"9047939.2625262793",10516934.84281,3414969.44014,207097.51651,116417.31198,490752.07058,503164.38488,281098.45094,7809.80288,24586183.0832463
2006-09-01,"9078685.7388362791",10605449.75949,3437070.63165,210993.55412,119000.23748,501369.19313,512610.52436,279140.23138,9059.00757,24753378.8780163
2006-10-01,"9064817.1786062792",10609358.78673,3420138.17223,216627.841,121971.98687,516479.58303,517323.57635,278029.28569,10553.89182,24755300.3023263
2006-11-01,"9118983.6287556421",10616765.9408173,3449803.91936764,213137.947815492,123536.24710933,523411.856325257,516525.736956934,278588.47883492,10329.2702391024,24851083.0262216
2006-12-01,"9135049.869614806",10670034.59624,3469811.60483,225107.5021,127968.76991,532751.14983,528582.37785,284218.10791,11660.64544,24985184.6237248
2007-01-01,"9091329.8470133282",10462727.48097,3466166.92832,222121.6055,129510.32987,531107.78409,528353.51184,284141.91167,12183.01213,24727642.4114033
2007-02-01,"9100685.1296118535",10537384.70509,3457167.56422,224296.93171,130993.40079,523261.3551,524128.52801,284513.85714,12669.65297,24795101.1246419
2007-03-01,"9099598.6997218523",10729112.61294,3507727.85602,228156.23262,133649.11863,535899.09438,536619.55303,288186.03244,13787.07297,25072736.2727518
2007-04-01,"9195325.8806818537",10953888.89159,3577937.28553,227666.72509,134907.73949,539753.03098,549238.15368,292159.48192,14383.34695,25485260.5359119
2007-05-01,"9289346.4477703776",11174337.47542,3581314.70268,237083.6775,146114.58755,542551.89527,556865.40156,296043.38115,14894.60399,25838552.1728904
2007-06-01,"9415986.4536989033",11203640.70934,3709913.58206,238337.22786,151793.82951,558930.4882,567851.88714,307243.28373,15479.9989,26169177.4604389
2007-07-01,"9414711.4823084194",11247017.96573,3695231.61046,260445.23602,153083.84816,572910.40627,575279.16047,304508.09847,16981.79069,26240169.5985784
2007-08-01,"9369821.0336429235",11349379.79072,3658852.35176,258511.89729,154951.76952,586159.95528,585356.96973,311557.47997,18644.39619,26293235.6441029
2007-09-01,"9463574.0515951551",11514207.41263,3769942.85716,266351.2284,163032.93518,592802.66051,594455.50081,319128.4732,18935.39172,26702430.5112052
2007-10-01,"9561595.3341037966",11502550.83688,3776109.7615,270856.61091,167302.18501,620609.80283,603273.81961,322349.02527,19989.25293,26844636.6290438
2007-11-01,"9679201.6959052421",11578726.667,3781828.24615,276061.45528,170581.36193,649714.18281,610195.61734,319972.90974,21088.12045,27087370.2566052
2007-12-01,"9748193.0675231814",11516210.22861,3793550.94976,280399.90799,182912.41873,664035.6584,623804.86264,324920.05536,21561.63548,27155588.7844932
2008-01-01,"9731474.2114753835",11491658.8017,3807798.3798,287095.93061,184869.59933,656836.70208,624748.22208,326817.6655,22329.47938,27133628.9919554
2008-02-01,"9666529.798001986",11375202.96028,3846138.04375,285268.00806,193140.87417,666615.45916,632172.60144,326842.8684,25387.30724,27017297.920502
2008-03-01,"9586629.8490930554",11266923.95686,3917939.166,289532.57524,201839.19531,683640.90778,640786.62391,335582.21728,23919.21088,26946793.7023531
2008-04-01,"9553150.8334520664",11292862.67065,4107791.5305,300693.8881,205875.00562,698268.31698,647187.50776,341896.25445,24998.85382,27172724.8613321
2008-05-01,"9575607.9432342704",11437740.21747,4135639.91153,305820.07683,208841.50167,716039.24407,654112.13139,356022.977,24955.35501,27414779.3582043
