"MES","BPCC01","BPCC02","BPCC03","BPCC04","BPCC05","BPCC06","BPCC07","BPCC08","BPCC09","BPCC10"
2005-06-01,"2007297",2153175,622754,90124,38995,74675,111505,30380,3927,5132832
2005-07-01,"2238014.0239999997",2011525.688,684035.46,79806.24,38097.77,74404.19,108888.55,30193.97,3634,5268599.892
2005-08-01,"2419824.1275200001",2151184.01073,704006.87532,89532.70254,34308.30976,76450.48414,145662.00438,34039.24209,3212.09061,5658219.84709
2005-09-01,"2268480.6432000003",2205253.57008,723732.31452,92601.61044,39226.05473,79348.4231,146289.35528,44561.48563,2584.22631,5602077.68329
2005-10-01,"2239863.1101599997",2945752.69699,673654.93331,92727.86844,45982.04579,90363.56994,130267.37258,41000.76636,2962.82446,6262575.18803
2005-11-01,"3289931.8277499992",2711058.98239,715735.99712,84997.87759,45554.01409,96123.07541,122763.38487,40149.12017,3602.48688,7109916.76627
2005-12-01,"2663418.3593000001",2126624.0683,645545.63227,82206.37026,40072.62162,89529.86257,119536.43862,46001.77112,4795.709,5817730.83306
2006-01-01,"2543603.0899799997",2205588.63287,674168.09718,80520.20506,39048.82559,80927.00119,109648.89717,49939.77709,5291.90661,5788736.43274
2006-02-01,"2444588.4101399998",2355069.56949,685258.67446,84370.38327,47500.95015,82611.39532,111295.68327,44342.51115,4545.04963,5859582.62688
2006-03-01,"2212814.1980099999",2404427.94607,696347.25515,92607.26804,54573.56313,85287.39067,119603.91388,49108.33815,4050.97066,5718820.84376
2006-04-01,"2206985.59699",2397351.72478,678531.63853,95864.89852,55588.46026,87624.28493,124711.56377,47728.67205,3963.66837,5698350.5082
2006-05-01,"2179045.3310299995",2193957.0891,696151.1163,97841.66532,66395.78989,86227.22484,143146.03536,45809.54287,4599.29897,5513173.09368
2006-06-01,"2149615.1356199998",2277517.85557,671227.66342,96892.95623,70318.62175,93633.23368,125676.39851,44906.42976,3741.46714,5533529.76168
2006-07-01,"2222321.0355400001",2415771.28799,719366.24673,100425.72182,72097.71935,93775.047,144468.64766,40086.56573,6580.35018,5814892.622
2006-08-01,"2185882.8082399997",2538436.36552,775272.02737,109518.78831,76996.73258,112650.93062,165211.5268,46640.09479,7263.72694,6017873.00117
2006-09-01,"2343177.9878000002",2421173.42552,827212.89411,92709.0861,84332.33942,113011.39423,184108.34908,47454.96025,8034.38729,6121214.8238
2006-10-01,"2445648.1045800005",2466326.43884,843842.22954,94584.66085,87215.19896,116100.91438,195075.04486,49362.23711,13298.67452,6311453.50364
2006-11-01,"2621758.2017559567",2643925.57421779,904606.955571992,101395.662719997,93495.5289614021,124461.292668025,209122.317254815,52916.7911596954,14256.3065103271,
2006-12-01,"2468047.9889299995",2774242.55094,908400.30281,104605.31129,88140.5007,130094.88507,206660.38999,60965.32686,14925.68144,6756082.93803
