"MES","BPCA01","BPCA02","BPCA03","BPCA04","BPCA05","BPCA06","BPCA07","BPCA08","BPCA09","BPCA10"
2005-06-01,"1688708.62",1501886.96,1019222.94,173434.11,123528.49,202506.45,266335.45,79251.5,10047.53,5064922.05
2005-07-01,"1691690.96",1540165.07,1031759.33,175306.83,122749.19,200314.54,265975.33,81676.02,10183.91,5119821.18
2005-08-01,"1742581.1254",1607389.41214,1075598.65526,174643.18506,120424.30262,199512.03993,264904.30896,78236.41503,10852.60851,5274142.05291
2005-09-01,"1786529.5383299999",1644397.03101,1105986.84565,176803.69324,125890.88558,211398.2488,279314.33694,82728.33153,11386.05754,5424434.96862
2005-10-01,"1887984.5405499996",1679528.47498,1109360.07149,178446.04847,126686.63917,211709.41164,281775.00553,81429.01539,11143.09017,5568062.29739
2005-11-01,"1820852.4495099997",1778311.08165,1107331.6331,181537.5639,121682.62462,246464.05665,282335.49701,86366.4742,11091.35145,5635972.73209
2005-12-01,"1953653.0482099997",1840486.00564,1116825.59125,182285.64543,133247.19816,216776.13017,308626.62145,90336.61906,12212.35,5854449.20937
2006-01-01,"1848953.7064999999",1786907.02924,1124918.47644,179329.50849,128951.0177,206928.29353,306264.92928,89348.87718,12000.72305,5683602.56141
2006-02-01,"1774991.4744400003",1816712.2759,1123754.45549,180692.09305,130924.23484,218507.60466,284177.61513,88572.53001,11545.22848,5629877.512
2006-03-01,"1827900.7489",1850540.17654,1133638.15736,188443.47718,136433.77158,208017.44561,282476.82521,90246.59697,12138.79419,5729835.99354
2006-04-01,"1821698.0451799999",1850227.80244,1127574.86938,182171.40288,145645.6131,206415.58789,276386.6756,89325.55396,11737.81891,5711183.36934
2006-05-01,"1917057.5619199995",1701172.09251,1114849.08099,188033.69305,143174.05306,202279.69454,277162.14253,84646.88118,14735.70524,5643110.90502
2006-06-01,"1880895.2980899999",1742186.52698,1127394.58717,190801.66858,153142.40156,206237.34383,274438.66175,91635.7071,12987.87179,5679720.06685
2006-07-01,"1890791.5175699999",1723315.89583,1161902.87183,185137.2487,149931.68281,199755.34949,279446.89901,89548.77106,13901.64109,5693731.87739
2006-08-01,"2005506.6395900003",1834952.54155,1230462.75699,195685.17845,174541.86447,213551.59296,294444.69372,95610.75496,16240.52325,6060996.54594
2006-09-01,"1984216.5091799996",1925205.40134,1287374.91719,204808.88135,180529.04638,225881.30227,312209.94145,95658.57101,15074.92624,6230959.49641
