"MES","BPDP01","BPDP02","BPDP03","BPDP04","BPDP05","BPDP06","BPDP07","BPDP08","BPDP09","BPDP10"
2005-06-01,"4782095.0047399998",2791419.78206,1511022.59299,348518.6652,207641.19494,423502.54764,355371.29823,49864.44813,1494.42137,10470929.9553
2005-07-01,"4880037.33",2818854.59,1494190.25,348716.45,204585.71,424107.52,348810.01,49123.56,1575.18,10570000.6
2005-08-01,"5007258.1494699996",2865261.09665,1511389.48549,324758.57273,205549.42947,426506.37747,338022.58778,46710.80521,1568.39266,10727024.89693
2005-09-01,"5090073.7958700005",2811155.73078,1520551.13934,313740.06789,210858.89372,424107.78334,345715.0053,46940.31663,1588.17203,10764730.9049
2005-10-01,"4901345.5089799995",2816728.44175,1534559.94076,301492.13139,205764.82221,392495.64568,344606.70288,46322.79623,1641.14584,10544957.13572
2005-11-01,"4746782.7736499989",2767086.8069,1519116.86041,318419.1025,203528.05972,376127.13816,336293.93462,45244.64215,1783.1624,10314382.48051
2005-12-01,"4919964.1592100002",2660601.27094,1494274.03098,272827.44014,190165.15103,365540.17024,326584.63824,47005.14807,1663.77,10278625.77885
2006-01-01,"4853626.165409999",2665417.25219,1471462.26898,309246.83277,188443.34004,358043.17437,317562.35176,51062.69028,1576.13308,10216440.20888
2006-02-01,"4786954.4822300002",2801699.9228,1490268.15662,313422.52528,189219.84338,360805.08331,316094.11651,53347.47669,1492.00569,10313303.61251
2006-03-01,"4834759.3461199999",2842129.46761,1508753.6409,313810.93547,188262.29229,385623.18161,315789.42693,52806.18974,1504.36924,10443438.84991
2006-04-01,"4803914.8724299995",2882933.08151,1496859.56306,314086.46978,187698.65397,384375.45446,311509.20291,52258.34673,1438.67333,10435074.31818
2006-05-01,"4947569.6138000004",2728542.37683,1477457.74964,293724.92936,188239.55872,383182.71234,292364.09196,54482.46948,1378.42789,10366941.93002
2006-06-01,"4962659.1222099988",2664643.44553,1483714.88809,293391.61094,199473.65366,383941.18214,269745.47351,51542.57484,1384.91846,10310496.86938
2006-07-01,"4912909.0214200001",2626886.49337,1469828.69231,296936.59709,200675.63818,365309.28735,268075.53609,53585.73887,1377.22261,10195584.22729
2006-08-01,"4923738.5212200005",2716442.79487,1466122.69342,296690.36582,202523.58759,366755.18575,266593.76354,53336.48112,1403.76181,10293607.15514
2006-09-01,"5068421.4189900002",2727745.61076,1459110.08853,295334.11751,204963.84691,366574.78775,271976.32545,54017.79359,1451.50825,10449595.49774
2006-10-01,"5092139.0665899999",2707213.50532,1470607.23604,294250.43919,207104.39637,357583.11078,268597.2281,56256.3708,1452.22153,10455203.57472
2006-11-01,"5212956.8481961032",2771445.75148799,1505499.35142585,301231.922773747,212018.224017494,366067.246350394,274970.055082968,57591.1281254353,1486.67742002201,10703267.20488
2006-12-01,"5442753.9603399998",2713354.53339,1498081.35431,294537.93906,209640.18579,356719.1056,266437.37005,48095.74027,2391.97958,10832012.16839
2007-01-01,"5620402.1836600006",2838678.31318,1529590.09331,298254.27151,210445.35417,364004.49282,273642.61277,48615.24896,2581.79202,11186214.3624
2007-02-01,"5706200.515730001",2924707.74856,1550555.62645,300818.20303,212017.78695,367929.42213,275456.54,48053.18713,3083.53824,11388822.56822
2007-03-01,"5912168.9609300001",2959058.57244,1586340.54693,304922.22104,219022.06119,384555.02385,276213.05268,50655.07367,3282.342004,11696217.854734
2007-04-01,"5827800.5657199994",2963305.53909,1606307.39195,267151.90014,230296.30046,381233.16894,277009.98256,55465.64452,3544.31343,11612114.80681
2007-05-01,"5973548.1365799997",3031809.14327,1643379.46552,276469.76589,240811.83848,390616.11764,286919.01944,56101.15282,3715.80932,11903370.44896
2007-06-01,"6004357.0471399995",3192634.28369,1655845.92741,282731.2647,234219.12986,395132.05487,286079.14691,56600.56441,4296.31747,12111895.73646
2007-07-01,"6016467.3198099993",3224068.54281,1670954.0554,288830.37047,233787.43726,396883.03616,286539.09368,56255.45184,4279.83137,12178065.1388
2007-08-01,"5947153.3725099992",3194932.68339,1671941.64845,289549.81357,233251.90134,389326.20409,280616.07854,56699.79394,4048.9818,12067520.47763
2007-09-01,"5545938.0949400002",3689101.15266,1661597.1625,309116.18516,227309.96814,382521.53054,278831.17153,54868.84729,3940.00389,12153224.11665
2007-10-01,"5594922.3527899999",3710255.84742,1656822.78311,306407.59087,227807.53269,384201.65213,277163.35041,53549.31703,4498.50721,12215628.93366
2007-11-01,"5459100.0611899998",3779986.98891,1631305.98944,303144.99307,223607.57487,376003.55708,278219.13996,53527.55452,8165.23599,12113061.09503
