"MES","FBSP01","FBSP02","FBSP03","FBSP04","FBSP05","FBSP06"
1998-01-01,"25541","1384737","1341438","2751716","420352","3172068"
1998-02-01,"25541","1400707","1447724","2873972","421310","3295282"
1998-03-01,"25541","1420782","1403740","2850063","423978","3274041"
1998-04-01,"25541","1433138","1178421","2637100","422487","3059587"
1998-05-01,"25541","1429591","1122026","2577158","421808","2998966"
1998-06-01,"25541","1480433","1179556","2685530","422101","3107631"
1998-07-01,"25541","1486925","1237584","2750050","428425","3178475"
1998-08-01,"25541.123","1495447.841","1346137.07","2867126.034","430083.06699999998","3297209.1009999998"
1998-09-01,"25541.123","1465526.892","1235626.665","2726694.68","425157.24700000003","3151851.9269999997"
1998-10-01,,,,,,
1998-11-01,"25541.172999999999","1484819.9569999999","1113885.76","2624246.89","432639.05","3056885.94"
1998-12-01,"25541.172999999999","1487089.706","1177015.8840000001","2689646.7630000003","432226.12399999995","3121872.8870000001"
1999-01-01,"25541.172999999999","1506781.378","1158220.932","2690543.483","436001.55600000004","3126545.0389999999"
1999-02-01,"25541.172999999999","1515251.2120000001","1362085.9939999999","2902878.3789999997","474844.61100000003","3377722.99"
1999-03-01,"25541.172999999999","1553833.8019999999","1341206.561","2920581.5359999998","486848.85399999999","3407430.39"
1999-04-01,"25541.172999999999","1540849.767","1296659.5319999999","2863050.4720000001","502146.96299999999","3365197.4350000001"
1999-05-01,"25541.173360000001","1552006.2478026999","1313672.4678855001","2891219.8890482001","519097.92396739998","3410317.8130156002"
1999-06-01,"25541.172999999999","1559396.1189999999","1138436.531","2723373.8229999999","528830.89500000002","3252204.7179999999"
1999-07-01,"25541.172999999999","1569582.851","1275798.4609999999","2870922.4849999999","600045.06199999992","3470967.5469999998"
1999-08-01,"25541.173360000001","1715476.5040255999","1248674.1195364001","2989691.7969220001","634571.78233760002","3624263.5792596"
1999-09-01,"25541.172999999999","1560397.473","1207425.392","2793364.0379999997","624795.51900000009","3418159.557"
1999-10-01,,,,,,
1999-11-01,"25541","1554002.7620000001","1125183.122","2704726.8840000001","624515.10499999998","3329241.9890000001"
1999-12-01,"25541.172999999999","1562431.97","1117480.4410000001","2705453.5839999998","626320.73","3331774.3139999998"
2000-01-01,"25541.172999999999","1575456.7649999999","1180024.2150000001","2781022.1529999999","633162.99800000002","3414185.1510000001"
2000-02-01,"25541.172999999999","1583154.7760000001","1123865.3999999999","2732561.3489999999","636018.31099999999","3368579.66"
2000-03-01,"25541.172999999999","1590490.4720000001","1111197.388","2727229.0329999998","632033.33100000001","3359262.3640000001"
2000-04-01,"25541.173360000001","1598187.2040599999","1038800.2632320001","2662528.640652","635003.77853600006","3297532.4191880003"
2000-05-01,"25541.172999999999","1606587.912","1011846.556","2643975.6409999998","637561.72200000007","3281537.3629999999"
2000-06-01,"25541.172999999999","1617098.9339999999","740722.91599999997","2383363.023","623462.01199999999","3006825.0350000001"
2000-07-01,"25541.173360000001","1624799.7484290001","711858.42749300005","2362199.3492820002","625219.41869099997","2987418.7679730002"
2000-08-01,"25541.172999999999","1635051.344","655303.96600000001","2315896.483","630515.36800000002","2946411.8509999998"
2000-09-01,"25541.172999999999","1586918.9779999999","611901.66","2224361.8109999998","631236.33600000001","2855598.1469999999"
2000-10-01,,,,,,
2000-11-01,"25541.172999999999","1594352.1429999999","622751.20799999998","2242644.5239999997","625002.55300000007","2867647.0769999996"
2000-12-01,"25541.173360000001","1600006.6597469","548081.63303210004","2173629.4661389999","626726.47362139996","2800355.9397604"
2001-01-01,"25541.173360000001","1617601.7874799999","547438.68124499999","2190581.6420849999","626929.73629000003","2817511.3783749999"
2001-02-01,"25541.173360000001","1627245.6025779999","527890.31735000003","2180677.0932879997","631565.53222299996","2812242.6255109999"
2001-03-01,"25541.172999999999","1632502.1450568","702249.93912720005","2360293.2571839998","621526.64045920002","2981819.8976431997"
2001-04-01,"25541.172999999999","1647352.0349999999","551291.15700000001","2224184.3649999998","619485.59299999999","2843669.9579999996"
2001-05-01,"25541.173360000001","1657248.5010116","522329.7603968","2205119.4347684002","622614.74693919998","2827734.1817076001"
2001-06-01,"25541.173360000001","1667147.8834512001","521593.0800052","2214282.1368164001","626342.97895679995","2840625.1157732001"
2001-07-01,"25541.173360000001","1681997.7377688","581441.92294620001","2288980.8340750001","631088.38843499997","2920069.2225100002"
2001-08-01,"25541.173360000001","1689309.2572484999","510439.48399490002","2225289.9146034","632990.03969250002","2858279.9542959002"
2001-09-01,"25541.172999999999","1689290.5660000001","520277.93199999997","2235109.6710000001","624117.73300000001","2859227.4040000001"
2001-10-01,,,,,,
2001-11-01,"25541.172999999999","1711080.412","513067.11599999998","2249688.7009999999","630630.20900000003","2880318.91"
2001-12-01,"25541.173360000001","1728417.4980555996","520188.47386479995","2274147.1452803994","637104.46726319997","2911251.6125435992"
2002-01-01,"25541.173360000001","1748231.3102243999","587060.96907680004","2360833.4526612","643129.27873919997","3003962.7314003999"
2002-02-01,"25541.173360000001","1755661.4897876999","539392.49844460003","2320595.1615923","648908.50600309996","2969503.6675954"
2002-03-01,"25541.173360000001","1775475.3019564999","941000.37974500004","2742016.8550614999","691453.2559935","3433470.1110549998"
2002-04-01,"25541.173360000001","1792811.0986897999","2444563.3311818","4262915.6032315996","859202.09962580004","5122117.7028573994"
2002-05-01,"25541.173360000001","1713398.20557","1428877.2000587999","3167816.5789887998","460563.6640696","3628380.2430583998"
2002-06-01,"25541.172999999999","1724645.746","755866.51800000004","2506053.4369999999","397944.19099999999","2903997.628"
2002-07-01,"25541.173360000001","1736159.7007323999","547554.80661620002","2309255.6807085997","422982.97736040002","2732238.6580689996"
2002-08-01,"25541.173360000001","1747742.5254851996","514516.5105951","2287800.2094402993","403738.27605359996","2691538.4854938993"
2002-09-01,"25541.172999999999","1757681.915","481426.88299999997","2264649.9709999999","406696.74900000001","2671346.7200000002"
2002-10-01,,,,,,
2002-11-01,"25541.173360000001","1766628.9318751001","457226.28805580002","2249396.3932909002","409548.25525560003","2658944.6485465001"
2002-12-01,"25541.173360000001","1771308.9135284999","674797.68908099993","2471647.7759694997","459179.2820225","2930827.0579919997"
2003-01-01,"25541.173360000001","1780668.8768352999","472270.83166229998","2278480.8818575996","411142.40184599994","2689623.2837035996"
2003-02-01,"25541.172999999999","1785348.858","485148.777","2296038.8080000002","417732.76500000001","2713771.5730000003"
2003-03-01,"25541.172999999999","1792368.831","452562.98200000002","2270472.986","418899.08300000004","2689372.0690000001"
2003-04-01,"25541.172999999999","1798361.504","447669.39","2271572.0669999998","420541.72899999999","2692113.7959999996"
2003-05-01,"25541.173360000001","1807716.1093245998","451082.94490139995","2284340.2275859998","417443.92805430002","2701784.1556402999"
2003-06-01,"25541.172999999999","1811213.4350000001","451267.74599999998","2288022.3539999998","418526.79200000002","2706549.1459999997"
2003-07-01,"25541.173360000001","1815887.6849199999","688106.81739750004","2529535.6756774997","435884.65530749998","2965420.3309849999"
2003-08-01,"25541.173360000001","1820561.9348439996","498177.81775269995","2344280.9259566995","420692.51893410005","2764973.4448907995"
2003-09-01,"25541.173360000001","1832247.559654","468633.48963739997","2326422.2226513997","423405.9774798","2749828.2001311998"
2003-10-01,,,,,,
2003-11-01,"25541.173360000001","1836921.8095779999","465676.93183120003","2328139.9147691997","424684.64161760005","2752824.5563867996"
2003-12-01,"25541.173360000001","1839258.9345399998","482843.9035365","2347644.0114364997","427764.71796600003","2775408.7294024997"
2004-01-01,"25541.172999999999","1848131.013","794793.28599999996","2668465.4720000001","443445.83200000005","3111911.304"
2004-02-01,"25541.172999999999","1850178.6459999999","544969.14300000004","2420688.9619999998","435242.06199999998","2855931.0239999997"
2004-03-01,"25541.173360000001","1854851.6885452","729899.07093560009","2610291.9328407999","65504.548295999994","2675796.4811367998"
2004-04-01,"25541.173360000001","1857061.4489455","493537.49633889995","2376140.1186443996","3965","2380105.1186443996"
2004-05-01,"25541.173360000001","1864070.5327959999","465197.59683319996","2354809.3029891998","4828.1313932000012","2359637.4343823995"
2004-06-01,"25541.172999999999","1868743.2549999999","466610.67200000002","2360895.1","798","2361693.1"
2004-07-01,"25541.173360000001","1875752.3392135","468741.33309079998","2370034.8456643","0","2370034.8456643"
2004-08-01,"25541.173360000001","1878088.700497","469933.91510879993","2373563.7889657998","0","2373563.7889657998"
2004-09-01,"25541.173360000001","1880798.7312499995","551966.08380799997","2458305.9884179994","3216","2461521.9884179994"
2004-10-01,,,,,,
2004-11-01,"25541.173360000001","1882445.6095985002","471395.34534100007","2379382.1282995003","0","2379382.1282995003"
2004-12-01,"25541.173360000001","1884778.6736462002","472149.3678446","2382469.2148508001","0","2382469.2148508001"
2005-01-01,"22432.023269999998","1889444.8017416","422068.9265399999","2333945.7515516002","0","2333945.7515516002"
2005-02-01,"22432.023269999998","1889444.8017416","445222.41123600001","2357099.2362476001","0","2357099.2362476001"
2005-03-01,"36.245339999999999","1882407.8053096","441638.56712679996","2324082.6177763999","0","2324082.6177763999"
2005-04-01,"36.245339999999999","1875434.7406285002","419951.56984000001","2295422.5558085004","0","2295422.5558085004"
2005-05-01,"36.245339999999999","1870786.0308411","425016.16539759998","2295838.4415786997","0","2295838.4415786997"
2005-06-01,"36.245339999999999","1868461.6759473998","430935.61255799996","2299433.5338453995","0","2299433.5338453995"
2005-07-01,"36.245339999999999","1854866.2418400003","411985.26","2266887.7471799999","0","2266887.7471799999"
2005-08-01,"36.245339999999999","1854721.3958400001","418914.46253000002","2273672.1037099999","0","2273672.1037099999"
2005-09-01,"36.245339999999999","1854721.3958400001","441864.63024999999","2296622.2714300002","0","2296622.2714300002"
2005-10-01,,,,,,
2005-11-01,"36.245339999999999","1854462.3536000005","463866.55488999997","2318365.1538300002","0","2318365.1538300002"
2005-12-01,"36.245339999999999","1852149.6869720002","508223.66536629997","2360409.5976783","0","2360409.5976783"
2006-01-01,"36.245339999999999","1844050.2154688002","426009.99281800003","2270096.4536268003","0","2270096.4536268003"
2006-02-01,"36.245339999999999","1842687.9273776","405939.95662280003","2248664.1293404","3351.16","2252015.2893404001"
2006-03-01,"36.245339999999999","1841553.3419319999","472457.78589240002","2314047.3731644","0","2314047.3731644"
2006-04-01,"36.245339999999999","1841476.0028107997","407073.37134720001","2248585.6194979995","0","2248585.6194979995"
2006-05-01,"36.245339999999999","1825131.6827225003","426506.79569400003","2251674.7237565001","0","2251674.7237565001"
2006-06-01,"36.245339999999999","1825131.6827225003","407265.52968699997","2232433.4577494999","0","2232433.4577494999"
2006-07-01,"36.245339999999999","1824320.9398145","430855.02593649999","2255212.2110910001","0","2255212.2110910001"
2006-08-01,"36.245339999999999","1824096.9449074999","446792.47016949998","2270925.6604169998","0","2270925.6604169998"
2006-09-01,"36.245339999999999","1819344.8514287998","419162.52307299996","2238543.6198417996","0","2238543.6198417996"
2006-10-01,,,,,,
2006-11-01,"36.245339999999999","1813860.8207903001","426141.86729929998","2240038.9334296002","0","2240038.9334296002"
2006-12-01,"36.245339999999999","1808606.4186391998","447980.56645869993","2256623.2304378995","0","2256623.2304378995"
2007-01-01,"36.245339999999999","1807275.6569177001","421371.96424759994","2228683.8665052997","9278.64","2237962.5065052998"
2007-02-01,"36.245339999999999","1802539.3585885002","491019.0845007","2293594.6884292001","11183.5018","2304778.1902292003"
2007-03-01,"36.245339999999999","1795591.6964054999","457996.45802250004","2253624.399768","0","2253624.399768"
2007-04-01,"36.245339999999999","1777336.7904671","465770.63586379995","2243143.6716708997","0","2243143.6716708997"
2007-05-01,"36.245339999999999","1762305.6261203","392230.7152948","2154572.5867550997","0","2154572.5867550997"
2007-06-01,"36.245339999999999","1762305.6261203","416080.88450329995","2178422.7559635998","0","2178422.7559635998"
2007-07-01,"36.245339999999999","1752892.1221859001","418074.74728400004","2171003.1148099001","0","2171003.1148099001"
2007-08-01,"36.245339999999999","1743773.1491951002","582310.89033760002","2326120.2848727","7714.8455999999996","2333835.1304727001"
2007-09-01,"36.245339999999999","1729746.7659230002","687442.46210180002","2417225.4733648002","15228.726000000001","2432454.1993648"
2007-10-01,,,,,,
2007-11-01,"36.245339999999999","1720629.6313670001","417301.57501789997","2137967.4517248999","12154.8007","2150122.2524249"
2007-12-01,"36.245339999999999","1711512.4968110002","473594.99763910007","2185143.7397901001","12792.16315","2197935.9029401001"
2008-01-01,"36.245339999999999","1667978.5064450002","592952.07326200011","2260966.8250470003","16246.928830000001","2277213.7538770004"
2008-02-01,"36.245339999999999","1647467.7597365","476526.28295210004","2124030.2880285997","23633.163519999998","2147663.4515485996"
2008-03-01,"36.245339999999999","1625415.0656000001","355033.29397160001","1980484.6049116","50684.440759999998","2031169.0456715999"
2008-04-01,"36.245339999999999","1607011.5302592001","510818.79999159998","2117866.5755908","2643.4879300000002","2120510.0635207999"
2008-05-01,"36.245339999999999","1600066.2735224001","405703.03589129995","2005805.5547536998","19.056000000000001","2005824.6107536999"
2008-06-01,"36.245339999999999","1595466.8366453","387159.97964740003","1982663.0616327","286.59699000000001","1982949.6586227"
2008-07-01,"36.245339999999999","1590645.0562413002","512195.68178830005","2102876.9833696","0","2102876.9833696"
2008-08-01,"36.245339999999999","1590556.2040753001","498998.39221399999","2089590.8416293","0","2089590.8416293"
2008-09-01,"36.245339999999999","1590077.7841117","371070.67774309998","1961184.7071948","0","1961184.7071948"
2008-10-01,,,,,,
2008-11-01,"36.245339999999999","1590077.7841117","345240.37248580001","1935354.4019374999","0","1935354.4019374999"
2008-12-01,"36.245339999999999","1590077.7841117","369839.88643000001","1959953.9158816999","5445.1173399999998","1965399.0332217"
2009-01-01,"36.245339999999999","1590077.7841117","345396.05919300002","1935510.0886446999","0","1935510.0886446999"
2009-02-01,"36.245339999999999","1589876.3870769001","345923.13535220001","1935835.7677691001","400","1936235.7677691001"
2009-03-01,"36.245339999999999","1589706.1607882001","346020.09839500004","1935762.5045232","0","1935762.5045232"
2009-04-01,"36.245339999999999","1589706.1607882001","346012.62111840001","1935755.0272466","0","1935755.0272466"
2009-05-01,"36.245339999999999","1353849.9692958002","346220.2582946","1700106.4729304002","0","1700106.4729304002"
2009-06-01,"36.245339999999999","1353849.9692958002","346430.39096390002","1700316.6055997","0","1700316.6055997"
2009-07-01,"36.245339999999999","1353831.8286162002","346711.4892591","1700579.5632153002","0","1700579.5632153002"
2009-08-01,"36.245339999999999","1353831.8286162002","346840.55497920001","1700708.6289354002","0","1700708.6289354002"
2009-09-01,"36.245339999999999","1353831.8286162002","346239.68886739999","1700107.7628236001","0","1700107.7628236001"
2009-10-01,,,,,,
2009-11-01,"36.245339999999999","1353831.8286162002","345973.70629860001","1699841.7802548001","0","1699841.7802548001"
2009-12-01,"36.245339999999999","1169983.0267618001","345594.43673120002","1515613.7088329999","0","1515613.7088329999"
2010-01-01,"0","1169172.8518049999","345360.48169240006","1514533.3334973999","0","1514533.3334973999"
2010-02-01,"0","1169172.8518049999","344567.86474200001","1513740.7165469998","0","1513740.7165469998"
2010-03-01,"0","1166474.2856174998","344506.88167560002","1510981.1672930999","0","1510981.1672930999"
2010-04-01,"0","1166474.2856174998","345224.77957499999","1511699.0651924999","0","1511699.0651924999"
2010-05-01,"0","1166474.2856174998","344886.62131249998","1511360.9069299998","1.0209999999999999","1511361.9279299998"
2010-06-01,"0","1166474.2856174998","345660.8563704","1512135.1419878998","0","1512135.1419878998"
2010-07-01,"0","1166474.2856174998","345903.26202750002","1512377.5476449998","0","1512377.5476449998"
2010-08-01,"0","1164806.9323399998","344754.25557360006","1509561.1879135999","58.712000000000003","1509619.8999135999"
2010-09-01,"0","1161472.225785","378661.86387480004","1540134.0896598001","75996","1616130.0896598001"
2010-10-01,,,,,,
2010-11-01,"0","1161322.5492088001","344159.43065640004","1505481.9798652001","0","1505481.9798652001"
2010-12-01,"0","1157988.2739984002","343271.55285159999","1501259.8268500003","0","1501259.8268500003"
2011-01-01,"0","1152986.8611828","367646.14570149995","1520633.0068842999","0","1520633.0068842999"
2011-02-01,"0","1152986.8611828","467254.72940049996","1620241.5905833","0","1620241.5905833"
2011-03-01,"0","1118754.7482336001","341833.99636320001","1460588.7445968001","0","1460588.7445968001"
2011-04-01,"0","1117134.9434414001","391254.55584000004","1508389.4992814001","0","1508389.4992814001"
2011-05-01,"0","1117134.9434414001","341358.92534100002","1458493.8687824002","0","1458493.8687824002"
2011-06-01,"0","1117134.9434414001","340674.25598850002","1457809.1994299002","0","1457809.1994299002"
2011-07-01,"0","1117134.9434414001","341129.20449480001","1458264.1479362","0","1458264.1479362"
2011-08-01,"0","1115515.1386492001","339976.07742559997","1455491.2160748001","0","1455491.2160748001"
2011-09-01,"0","1115515.1386492001","339671.60709579999","1455186.745745","0","1455186.745745"
2011-10-01,,,,,,
2011-11-01,"0","1115515.1386492001","339811.39365879999","1455326.5323080001","0","1455326.5323080001"
2011-12-01,"0","1115515.1386492001","340076.18492539995","1455591.3235746","0","1455591.3235746"
2012-01-01,"0","1115515.1386492001","339903.95104259998","1455419.0896918001","5145","1460564.0896918001"
2012-02-01,"0","1115515.1386492001","339219.07032019994","1454734.2089694","2744","1457478.2089694"
2012-03-01,"0","1115515.1386492001","339275.93512399995","1454791.0737732002","0","1454791.0737732002"
2012-04-01,"0","1115515.1386492001","339124.18966019998","1454639.3283094","0","1454639.3283094"
2012-05-01,"0","1115515.1386492001","339325.18409300002","1454840.3227422","1029","1455869.3227422"
2012-06-01,"0","1115515.1386492001","339646.09921479999","1455161.237864","0","1455161.237864"
2012-07-01,"0","1115515.1386492001","339682.21814379998","1455197.3567930001","0","1455197.3567930001"
2012-08-01,"0","1115515.1386492001","339693.10564979998","1455208.2442990001","0","1455208.2442990001"
2012-09-01,"0","1115515.1386492001","339890.58392100001","1455405.7225702","3430","1458835.7225702"
2012-10-01,,,,,,
2012-11-01,"0","1115515.1386492001","340170.74234220001","1455685.8809914002","6174","1461859.8809914002"
2012-12-01,"0","1115515.1386492001","339817.08807619993","1455332.2267254","6174","1461506.2267254"
2013-01-01,"0","1115515.1386492001","339793.17857520003","1455308.3172244001","2401","1457709.3172244001"
2013-02-01,"0","1115515.1386492001","339664.214897","1455179.3535462001","1372","1456551.3535462001"
2013-03-01,"0","1115515.1386492001","339747.01026020001","1455262.1489094002","600","1455862.1489094002"
2013-04-01,"0","1115515.1386492001","339921.15592260001","1455436.2945718002","900","1456336.2945718002"
2013-05-01,"0","1115515.1386492001","339908.89856439998","1455424.0372136","4430","1459854.0372136"
2013-06-01,"0","1115515.1386492001","340127.28177260002","1455642.4204218001","2401","1458043.4204218001"
2013-07-01,"0","1115515.1386492001","340294.59202759998","1455809.7306768","4116000","5571809.7306768"
2013-08-01,"0","1115515.1386492001","633182.08028420003","1748697.2189334002","4117372","5866069.2189333998"
2013-09-01,"0","1115046.6472286","340348.68360779999","1455395.3308363999","4117372","5572767.3308364004"
2013-10-01,,,,,,
2013-11-01,"0","1115046.6472286","340150.2780704","1455196.925299","4119773","5574969.925299"
2013-12-01,"0","1115046.6472286","340273.68295340001","1455320.3301820001","4120116","5575436.3301820001"
2014-01-01,"0","1115046.6472286","437471.146457","1552517.7936855999","4834755.1761100003","6387272.9697956005"
2014-02-01,"0","1115046.6472286","642211.12059780001","1757257.7678264","4962989.87567","6720247.6434963997"
2014-03-01,"0","1115046.6472286","341369.45388019999","1456416.1011087999","4945579.0087700002","6401995.1098787999"
2014-04-01,"0","1115046.6472286","1691626.8394226001","2806673.4866511999","4201361.9532000003","7008035.4398512002"
2014-05-01,"0","1115046.6472286","942866.53234619997","2057913.1795748","4116505","6174418.1795747997"
2014-06-01,"0","1113347.2567469999","339515.22666480002","1452862.4834117999","4119401","5572263.4834118001"
2014-07-01,"0","1113347.2567469999","799627.05483160005","1912974.3115786","4118458","6031432.3115785997"
2014-08-01,"0","1092774.5347954","339341.66272600001","1432116.1975213999","4117686","5549802.1975213997"
2014-09-01,"0","1062510.0678872","431225.25924679992","1493735.3271339999","4120716","5614451.3271340001"
2014-10-01,,,,,,
2014-11-01,"0","1062510.0678872","338430.13416800002","1400940.2020552","4119087","5520027.2020552"
2014-12-01,"0","1058484.5157524","338332.92728200002","1396817.4430344","4118058","5514875.4430344002"
2015-01-01,"0","1056737.8027955999","829073.04410319997","1885810.8468987998","4120802","6006612.8468987998"
2015-02-01,"0","1056442.8227955999","338137.16490259999","1394579.9876981999","4120116","5514695.9876982002"
2015-03-01,"0","1056442.8227955999","342135.27360740001","1398578.0964029999","4116000","5514578.0964029999"
2015-04-01,"0","1056442.8227955999","340869.77970359998","1397312.6024992","4116000","5513312.6024992"
2015-05-01,"0","1056442.8208748","340727.82400859997","1397170.6448833998","4116000","5513170.6448833998"
2015-06-01,"0","1058095.5191094","343247.7388158","1401343.2579252","4116000","5517343.2579252003"
2015-07-01,"0","1058095.5191094","342572.56577819999","1400668.0848876","4116000","5516668.0848875996"
2015-08-01,"0","1058095.5191094","342174.09691139997","1400269.6160208001","4116000","5516269.6160208005"
2015-09-01,"0","1058095.5191094002","342576.72167319997","1400672.2407826001","4116000","5516672.2407825999"
2015-10-01,": Banco Central  de Bolivia - Subgerencia de Contabilidad",,,,,
2015-11-01,": Banco Central  Bolivia - Asesoría de Política Económica - Sector Monetario y Fiscal",,,,,
