"MES","SEIM01","SEIM02","SEIM03","SEIM04","SEIM05","SEIM06","SEIM07","SEIM08","SEIM09","SEIM10","SEIM11","SEIM12","SEIM13","SEIM14","SEIM15","SEIM16","SEIM17"
2003-01-01,"516.93846499999995",411.037261,927.975726,470.169363,218.255468,1204.182858,295.521348,116.899871,2305.028908,77.309839,852.466329,344.137324,1273.913492,70.461689,4577.379815,4544.938329,4248.272595
2003-02-01,"680.25147300000003",520.374135,1200.625608,649.216352,241.06711,1451.508117,316.009355,144.702246,2802.50318,106.487596,1083.576377,354.683904,1544.747877,55.997249,5603.873914,5590.246714,5208.438881
2003-03-01,"909.48330299999998",908.013918,1817.497221,1063.221352,298.897051,1835.154393,454.435498,192.185365,3843.893659,170.688359,1550.108294,524.551469,2245.348122,29.006579,7935.745581,7927.31866106,7381.0660277498
2003-04-01,"1035.9375620000001",846.368021,1882.305583,1218.424943,309.495084,1963.676359,459.180235,252.872526,4203.649147,223.031266,1666.871905,541.699644,2431.602815,72.528701,8590.086246,8578.283146,7997.48863457406
2003-05-01,"1125.948535",989.194339,2115.142874,1243.818405,378.013735,2085.695339,497.669574,293.791664,4498.988717,193.917414,2161.307629,671.616204,3026.841247,58.073041,9699.045879,9683.82315285,9064.2745708801
2003-06-01,"1147.8111409999999",1050.316206,2198.127347,1214.740261,377.405836,2270.905639,613.506403,340.283425,4816.841564,220.45726,2511.053776,763.736614,3495.24765,50.141075,10560.357636,10517.82079088,9818.28866234018
2003-07-01,"226.54395600000001",132.628211,359.172167,114.589649,69.079861,551.070487,79.410766,48.047804,862.198567,25.448179,322.674772,109.511541,457.634492,13.060844,1692.06607,1615.9061,1492.805429
2003-08-01,"16.408559",10.640838,27.049397,8.164834,6.321458,44.299883,6.926508,4.025872,69.738555,0.947211,32.48485,7.189592,40.621653,0.762973,138.172578,135.1726,124.752606
2003-09-01,"15.444517999999999",8.987507,24.432025,8.979288,4.660633,35.641582,6.605825,3.392153,59.279481,1.644092,23.074666,45.099942,69.8187,1.287743,154.817949,111.8179,103.024726
2003-10-01,"17.346847",7.791426,25.138273,6.958263,5.865585,42.852039,4.755039,3.738933,64.169859,3.563365,48.260971,5.445181,57.269517,1.245246,147.822895,142.8229,131.087099
