"MES","TIIB01","TIIB02","TIIB03","TIIB04","TIIB05"
1998-01-01,"11.05","6.41",,,"7.95"
1998-02-01,"11.67","6.18",,,"7.77"
1998-03-01,"11.11","6.16",,,"8.15"
1998-04-01,"11.62","6.28",,,"7.87"
1998-05-01,"13.52","7.93",,,"11"
1998-06-01,"12.69","6.43",,,"9.92"
1998-07-01,"12.81","6.93",,,"8.64"
1998-08-01,"11.39","5.73",,,"6.19"
1998-09-01,"10.31","5.84",,,"7.74"
1998-10-01,"11.71","5.83",,,"8.68"
1998-11-01,"11.83","7.17",,,"10.58"
1998-12-01,"12.25","7.84",,,"11.61"
1999-01-01,"12.14","7.86",,,"8.98"
1999-02-01,"12.81","7.68",,,"8.58"
1999-03-01,"12.98","8.18",,,"8.3000000000000007"
1999-04-01,"13.11","8.91",,,"8.5399999999999991"
1999-05-01,"13.73","9.0399999999999991",,,"8.43"
1999-06-01,"13.31","8.68",,,"9.8699999999999992"
1999-07-01,"13.55","8.73",,,"8.41"
1999-08-01,"12.72","8.6",,,"7.08"
1999-09-01,"12.05","8.84",,,"6.47"
1999-10-01,"12.24","9.4700000000000006",,,"7.78"
1999-11-01,"12.29",,,,"7.98"
1999-12-01,"12.27",,,,"7.74"
2000-01-01,"6.38",,,,"5.98"
2000-02-01,"6.92",,,,"5.15"
2000-03-01,"6.6",,,,"5.53"
2000-04-01,"6.76",,,,"5.49"
2000-05-01,"9.1999999999999993",,,,"6.13"
2000-06-01,"8.56","7.67",,,"5.45"
2000-07-01,"7.97",,,,"5.89"
2000-08-01,"7.13","8.25",,,"5.9"
2000-09-01,"7.25","7.55",,,"5.71"
2000-10-01,"6.95",,,,"6.85"
2000-11-01,"7.24","7.35",,,"6.74"
2000-12-01,"7.47","7.96",,,"5.82"
2001-01-01,"6.49",,,,"5.0599999999999996"
2001-02-01,"6.12","6.5",,,"5.56"
2001-03-01,"5.76","9.25",,,"4.58"
2001-04-01,"7.52",,,,"4.41"
2001-05-01,"7.39",,,,"4.04"
2001-06-01,"7.45","6.7",,,"3.59"
2001-07-01,"7.01",,,,"3.46"
2001-08-01,"7.25","8.5",,,"3.18"
2001-09-01,"7.01","4.83",,,"2.75"
2001-10-01,"7.23","5.78",,,"3.74"
2001-11-01,"6.43","8.25",,,"3.06"
2001-12-01,"6.53","6.79",,,"2.21"
2002-01-01,"5.48",,,,"1.38"
2002-02-01,"5.74",,,,"1.06"
2002-03-01,"7.94","2.5",,,"0.9"
2002-04-01,"7.47","2.5",,,"1.2"
2002-05-01,"8.7200000000000006",,,,"1.88"
