"MES","FITF01"
2004-07-01,"57301.092000000004"
2004-08-01,"56332.305"
2004-09-01,"55342.127"
2004-10-01,"55086.483999999997"
2004-11-01,"56277.472000000002"
2004-12-01,"65199.454000000005"
2005-01-01,"60385.91"
2005-02-01,"54067.19"
2005-03-01,"50732.22"
2005-04-01,"56103.41"
2005-05-01,"55704.39"
2005-06-01,"61202.51"
2005-07-01,"47847.1"
2005-08-01,"45526.98"
2005-09-01,"48776.82"
2005-10-01,"47768.4"
2005-11-01,"48653.18"
2005-12-01,"55804.97"
2006-01-01,"49951.32"
2006-02-01,"51267.305"
2006-03-01,"43583.411999999997"
2006-04-01,"47972.508320000001"
2006-05-01,"51255.34"
2006-06-01,"54293.945"
2006-07-01,"29054.218000000001"
2006-08-01,"17128.466"
2006-09-01,"24864.179"
2006-10-01,"23044.256000000001"
2006-11-01,"26471.504000000001"
2006-12-01,"27171.327000000001"
2007-01-01,"26207.486000000001"
2007-02-01,"25060.478999999999"
2007-03-01,"22087.365000000002"
2007-04-01,"25364.899000000001"
2007-05-01,"26788.760999999999"
2007-06-01,"28824.29"
2007-07-01,"27310.615000000002"
2007-08-01,"28232.392"
2007-09-01,"26948.87"
2007-10-01,"27104.322"
2007-11-01,"28868.704000000002"
2007-12-01,"30801.005000000001"
2008-01-01,"27590.396000000001"
2008-02-01,"27904.964"
2008-03-01,"27145.271000000001"
2008-04-01,"30111.339"
2008-05-01,"31934.373"
2008-06-01,"29249.532999999999"
2008-07-01,"31565.539000000001"
2008-08-01,"29484.19"
2008-09-01,"26794.728999999999"
2008-10-01,"26283.332999999999"
2008-11-01,"26119.585999999999"
2008-12-01,"26068.263999999999"
2009-01-01,"26933.593000000001"
2009-02-01,"23343.31"
2009-03-01,"22864.423999999999"
2009-04-01,"26154.026999999998"
2009-05-01,"30417.102999999999"
2009-06-01,"27774.773000000001"
2009-07-01,"36112.358999999997"
2009-08-01,"27305.376"
2009-09-01,"28894.881000000001"
2009-10-01,"28645.919999999998"
2009-11-01,"27663.734"
2009-12-01,"32498.17"
2010-01-01,"30394.031999999999"
2010-02-01,"27116.097000000002"
2010-03-01,"23928.183000000001"
2010-04-01,"28577.703000000001"
2010-05-01,"29259.206999999999"
2010-06-01,"29596.691999999999"
2010-07-01,"30121.960999999999"
2010-08-01,"26160.438999999998"
2010-09-01,"30571.623"
2010-10-01,"28590.285"
2010-11-01,"28687.627"
2010-12-01,"34048.834000000003"
2011-01-01,"35750.269999999997"
2011-02-01,"28314.205999999998"
2011-03-01,"24484.041000000001"
2011-04-01,"32121.825000000001"
2011-05-01,"30763.08"
2011-06-01,"36673.972999999998"
2011-07-01,"31967.526999999998"
2011-08-01,"32237.600999999999"
2011-09-01,"34214.576999999997"
2011-10-01,"27455.578000000001"
2011-11-01,"31526.93"
2011-12-01,"33946.724000000002"
2012-01-01,"30405.883999999998"
2012-02-01,"31214.242999999999"
2012-03-01,"27987.969000000001"
2012-04-01,"30931.31"
2012-05-01,"34227.940999999999"
2012-06-01,"37648.095000000001"
2012-07-01,"28694.823"
2012-08-01,"31869.41"
2012-09-01,"31239.294000000002"
2012-10-01,"30662.413"
2012-11-01,"31113.269"
2012-12-01,"32100.385999999999"
2013-01-01,"31523.232"
2013-02-01,"30609.544999999998"
2013-03-01,"30197.8"
2013-04-01,"29350.190999999999"
2013-05-01,"33722.873"
2013-06-01,"34348.875999999997"
2013-07-01,"31924.554"
2013-08-01,"31666.545999999998"
2013-09-01,"32313.788"
2013-10-01,"30974.44"
2013-11-01,"34660.466999999997"
2013-12-01,"32793.502"
2014-01-01,"33990.519999999997"
2014-02-01,"32512.575000000001"
2014-03-01,"27205.321"
2014-04-01,"33222.915999999997"
2014-05-01,"35354.872000000003"
2014-06-01,"33502.182999999997"
2014-07-01,"33663.146999999997"
2014-08-01,"35629.423999999999"
2014-09-01,"32349.329000000002"
2014-10-01,"33055.692000000003"
2014-11-01,"33159.008999999998"
2014-12-01,"36913.764000000003"
2015-01-01,"42233.52"
2015-02-01,"31473.192999999999"
2015-03-01,"26827.949000000001"
2015-04-01,"32774.214"
2015-05-01,"32936.534"
2015-06-01,"32370.118999999999"
2015-07-01,"30597.065999999999"
2015-08-01,"30539.018"
2015-09-01,"31311.145"
2015-10-01,"31744.695"
2015-11-01,"29300.417000000001"
2015-12-01,"35593.78"
