"MES","AMBM01","AMBM02","AMBM03","AMBM04","AMBM05","AMBM06","AMBM07","AMBM08","AMBM09","AMBM10","AMBM11","AMBM12","AMBM13","AMBM14","AMBM15","AMBM16"
1998-01-01,"5379970","6037376","657406","-606123","3029297","2628302","400995","10000",,"-3490858","4302286","1812797","416634.21100000001",,"2072854.7949999999","2072854.7949999999"
1998-02-01,"5135679","5773380","637701","-489330","3245611","2855497","390114","0",,"-3441808","4450152","1832754","433033.08899999998",,"2184365.3059999999","2184365.3059999999"
1998-03-01,"5100400","5832826","732426","-622394","3143626","2765492","378134","0",,"-3442862","4178770","1710765","369804.92",,"2098200.4339999999","2098200.4339999999"
1998-04-01,"5330751","6052407","721656","-512398","3078496","2751716","326780","0",,"-3451410","4445439","1846235","448670.75099999999",,"2150532.9559999998","2150532.9559999998"
1998-05-01,"5738041.0300000003","6458831.3300000001","720790.3","-716798.22700000019","3205462.216","2873971.72","331490.49599999998","0",,"-4725624.2120000003","3501080.807","1799177.9269999999","642254.41599999997",,"1059648.4620000001","1059648.4620000001"
1998-06-01,"5765292.2319999998","6461567.7220000001","696275.49","-537219.995","3212399.8759999997","2850063.5219999999","362336.35399999999","270333.65999999997",,"-4742692.91","3427445.5430000005","1844807.07","615542.17700000003",,"967096.29599999997","967096.29599999997"
1998-07-01,"5823020","6497045","674025","-410119","2987552","2637100","350452","0",,"-4818571","3581882","1910115","723222.34499999997",,"948544.576","948544.576"
1998-08-01,"5997372","6650154","652782","-772208","2942253","2577159","365094","0",,"-4764365.7709999997","3403051.2290000003","1888900","733389.07299999997",,"780762.25745500007","780762.25745500007"
1998-09-01,"5749303","6425840","676537","-659529","3040561","2685530","355031","0",,"-4944564","3185771","1847510","667196.91500000004",,"671064.11232750001","671064.11232750001"
1998-10-01,"5530730","6313889","783159","-654371","3125446","2750050","375396","0",,"-4922425","3079380","1927356","587209",,"564815","564815"
1998-11-01,"5602527.0729999999","6360842.0759999994","758315.00299999991","-735318.56700000004","3248276.47","2867126.0839999998","381150.386","0",,"-4959878.1919999998","3155606.784","1850806.5319999999","706041",,"598759.25199999998","598759.25199999998"
1998-12-01,"5997643","6727461","729818","-440208.56500000012","3089706","2726695","363011","0",,"-5078714.4349999996","3568426","2183162","810502.647",,"574761.24300000002","1385263.8900000001"
1999-01-01,"5795050","6522583","727533","-624333","3004057","2624246","379811","0",,"-5105589","3069185","1861548","650227.00399999996",,"557409.90700000001","1207636.9109999998"
1999-02-01,"5829101","6530810","701709","-611137","3075944","2689647","386297","0",,"-5169405","3124503","1812251","744501.97",,"567749.80700000003","1312251.777"
1999-03-01,"5648724.0870000003","6321782.4100000001","673058.32300000009","-459552.14399999956","3044093.5090000001","2655308.8760000002","388784.63299999997","28550",,"-5210795.3899999997","2993920.0620000008","1774396.2930000001","691703.14399999997",,"527820.625","1219523.7689999999"
1999-04-01,"5502798.4690000005","6157042.5279999999","654244.05899999989","-457346.39299999992","3067147.642","2690543.483","376604.15899999999","0",,"-5253280.25","2859319.4679999994","1828251.5330000001","597875.57990000001",,"433192.35499999998","1031067.9349"
1999-05-01,"5615700.3540000003","6265713.1809999999","650012.82700000005","-584114.78399999975","3325422.085","2902878.3790000002","422543.70600000001","161211.51800000001",,"-5217534.7429999998","2978261.3940000003","1770719.7830000001","577807.22340000002",,"629734.38800000004","1207541.6114000001"
1999-06-01,"5797730.1304000001","6534921.2264","737191.0959999999","-582762.80100000021","3355022.2119999998","2920581.5359999998","434440.67599999998","450149.66500000004",,"-5268597.3113999991","2851242.5650000013","1766862.118","548165.64010000008",,"536214.80700000003","1084380.4471"
