"MES","AMOL01","AMOL02","AMOL03","AMOL04","AMOL05","AMOL06","AMOL07","AMOL08","AMOL09","AMOL10","AMOL11"
1998-01-01,"6777416","3231400","3546016","1919307.5346822003","-401458","-103150","-358567","1056132.5346822003","24258782","-6520808.988302202","22340121.546379998"
1998-02-01,"6432187","3243934","3188253","1909554.063168","-411095","-99535","-393150","1005774.063168","24535250","-6524782.3400079999","22204494.723159999"
1998-03-01,"6488773","3251426","3237347","1970218.417994","-395222","-119449","-429140","1026407.417994","25012969","-6687374.9041040028","22589348.513889998"
1998-04-01,"6732285","3506348","3225937","1851294.8015844999","-404978","-129237","-352352","964727.80158449989","25741856","-6690238.7406644998","23242282.06092"
1998-05-01,"7994646.3300000001","3648279.3","4346367.03","1769765.6292714998","-455596.53","-135346.823","-393117.67699999997","785704.59927149978","26247018","-8150766.1716573006","23228323.457614198"
1998-06-01,"8033338.7220000001","3562114.49","4471224.2319999998","1711164.5684504998","-446836.97","-140370.29400000002","-347733.05800000002","776224.24645049986","26740973","-8576536.4889081009","23411884.989542399"
1998-07-01,"8639213","3558241","5080972","1768722.2100614998","-425392","-93061","-355606","894663.21006149985","27321920","-8785424.2166821975","24512130.993379302"
1998-08-01,"8778374","3536336","5242038","1909499.3785426002","-474850","-183999","-424638","826012.3785426002","27831223","-9018718.7754767984","24880554.603065804"
1998-09-01,"8584348","3558529","5025819","1796369.2485382999","-475538","-171909","-403710","745212.24853829993","28439617","-9173369.527713798","25037278.720824502"
1998-10-01,"8721214","3724005","4997209","1683673.2654069001","-469674","-197742","-319891","696366.26540690009","28925314","-9601819.3839158006","25017069.881491099"
1998-11-01,"8664577.0759999994","3774586.003","4889991.0729999989","1599102.2412251001","-476295.10500000004","-202592.413","-308704.413","611510.31022510026","29417457","-9887719.4997450933","25031238.883480005"
1998-12-01,"9258298","4105655","5152643","1687556.5017724009","-461659.783","-177367.44400000002","-236965.84299999999","811563.43177240086","29913293","-10325671.435232401","25551827.996540003"
1999-01-01,"9004220","3953897","5050323","1518062.2284364002","-436663","-180259","-291771","609369.22843640018","29733024","-10191792.906907201","25200923.321529202"
1999-02-01,"9133623","3900227","5233396","1481715.0374487997","-443695","-176103","-349723","512194.0374487997","29878372","-10365163.908490399","25258798.128958404"
