"MES","AMOD01","AMOD02","AMOD03","AMOD04","AMOD05","AMOD06","AMOD07","AMOD08","AMOD09","AMOD10","AMOD11","AMOD12","AMOD13","AMOD14","AMOD15","AMOD16","AMOD17","AMOD18","AMOD19","AMOD20","AMOD21","AMOD22","AMOD23","AMOD24","AMOD25","AMOD26","AMOD27","AMOD28","AMOD29","AMOD30","AMOD31","AMOD32","AMOD33","AMOD34","AMOD35","AMOD36","AMOD37"
2002-01-01,"12700335.485000001","13445514.481000001","-745178.99600000004","1846011.1408420014","3183092.7258420009","7724892.1514020003","-4541799.4255599994","-3879878.6469999999","-161802.79999999999","-500117.97855999996","-172443.09599999999"," -","-172443.09599999999","-171422.307","-1020.789","-678149.97"," -","-678149.97","-657953.85600000003","-20196.114000000001","-486488.51899999997"," -","-486488.51899999997","-483407.511","-3081.0079999999998","28465486","23429517","221957","4548076","265936","-12006462.523922525"," -","-192324.86499999999","-3468612.0120599996","-1084104.3698625257","-7261421.2769999998","31005370.10191948"
2002-02-01,"12488655.113","13152439.478","-663784.36500000011","1901907.9256880013","3313733.9476880012","7568493.8395280009","-4254759.8918399997","-3590286.446","-163469.10699999999","-501004.33883999998","-177488.13800000001"," -","-177488.13800000001","-176460.932","-1027.2059999999999","-741899.27599999995"," -","-741899.27599999995","-693529.40399999998","-48369.872000000003","-492438.60799999995"," -","-492438.60799999995","-489357.6","-3081.0079999999998","28570308","23530194","224197","4560307","255610","-12049562.017261367"," -","-193812.31400000001","-3445440.7448399998","-890875.37842136808","-7519433.5800000001","30911309.021426637"
2002-03-01,"12039724.236","12658459.043","-618734.80699999991","2073015.8515780009","3438918.8585780011","7578999.1156180007","-4140080.2570399996","-3496422.9619999998","-164729.47099999999","-478927.82403999998","-166888.67300000001"," -","-166888.67300000001","-165856.883","-1031.79","-714404.69200000004"," -","-714404.69200000004","-665533.66500000004","-48871.027000000002","-484609.64199999999"," -","-484609.64199999999","-481528.63400000002","-3081.0079999999998","28696482","23632263","225796","4578238","260185","-12360236.245301127"," -","-200274.397","-3447266.0395400003","-1171591.5647611273","-7541104.2439999999","30448985.842276871"
2002-04-01,"12155769.754999999","12764509.949999999","-608740.19500000007","1958934.9885119991","3315376.5495119989","7510900.3846719991","-4195523.8351600002","-3543402.9959999998","-164582.53099999999","-487538.30816000002","-165702.17800000001"," -","-165702.17800000001","-164667.63800000001","-1034.54","-718236.81699999992"," -","-718236.81699999992","-669305.36399999994","-48931.453000000001","-472502.56599999999"," -","-472502.56599999999","-469421.55800000002","-3081.0079999999998","28781794","23687661","226755","4603533","263845","-12236169.245362908"," -","-200075.18900000001","-3365355.6940000001","-1012739.6343629081","-7657998.7280000001","30660329.49814909"
2002-05-01,"12020038.547999999","12732716.881999999","-712678.33399999992","2237687.6054459997","3645015.8774459995","7526722.0797259994","-3881706.2022799999","-3226431.469","-165432.13800000001","-489842.59528000001","-165388.372"," -","-165388.372","-164351.08199999999","-1037.29","-751372.65399999998"," -","-751372.65399999998","-706046.64099999995","-45326.012999999999","-490567.24599999998"," -","-490567.24599999998","-487486.23800000001","-3081.0079999999998","28706086","23574969","227714","4635560","267843","-12529834.223698288"," -","-203481.01500000001","-3313955.0420300001","-1137326.9126682887","-7875071.2539999997","30433977.929747708"
2002-06-01,"11038977.603","11978690.699999999","-939713.09700000007","2779111.7962699989","4101707.2502699988","7851309.5378699992","-3749602.2876000004","-3082052.949","-167572.799","-499976.53960000002","-141171.72500000001"," -","-141171.72500000001","-140127.101","-1044.624","-711203.99399999995"," -","-711203.99399999995","-669433.098","-41770.896000000001","-470219.73499999999"," -","-470219.73499999999","-467149.283","-3070.4520000000002","28828477","23640608","230272","4687296","270301","-12971434.652827829"," -","-209366.53599999999","-3386668.1521999999","-1727773.3456278285","-7647626.6189999999","29675131.746442169"
2002-07-01,"7843204.8168100007","9106497.8548100013","-1263293.0380000002","2341401.7021160005","3720659.2521160003","8080781.1379960002","-4360121.88588","-3685246.605","-169303.052","-505572.22887999995","-142876.97200000001"," -","-142876.97200000001","-141825.93100000001","-1051.0409999999999","-742875.527"," -","-742875.527","-712164.18099999998","-30711.346000000001","-493505.05099999998"," -","-493505.05099999998","-490434.59899999999","-3070.4520000000002","28714364","23465113","232512","4715862","300877","-13412650.884203387"," -","-211516.61799999999","-2715868.4736000001","-2792930.5906033861","-7692335.2020000005","25486319.634722613"
2002-08-01,"8692896.2200031988","9926791.4970031995","-1233895.277","2653186.5383040002","4097645.8573040003","8421568.2424240001","-4323922.3851199998","-3638918.2289999998","-178321.25200000001","-506682.90412000002","-122836.242"," -","-122836.242","-121779.701","-1056.5409999999999","-834048.43800000008"," -","-834048.43800000008","-802400.42700000003","-31648.010999999999","-487574.63899999997"," -","-487574.63899999997","-484504.18699999998","-3070.4520000000002","28642845","23330968","234431","4734324","343122","-13849092.899304334"," -","-214168.42499999999","-2338414.6918000001","-3393034.0185043328","-7903475.7640000004","26139834.85900287"
2002-09-01,"9401211.6490000002","10580115.899","-1178904.25","2892133.9108940004","4363163.6638940005","8266159.0642140005","-3902995.40032","-3233584.2119999998","-179974.242","-489436.94631999999","-139266.913"," -","-139266.913","-138205.788","-1061.125","-853268.01800000004"," -","-853268.01800000004","-820234.63600000006","-33033.381999999998","-478494.82199999999"," -","-478494.82199999999","-475424.37","-3070.4520000000002","28668529","23187280","236030","4769704","475515","-13886823.130829304"," -","-218850.38","-2311623.1362699997","-3222646.0035593035","-8133703.6110000005","27075051.429064699"
2002-10-01,"9725682.6969999988","10771596.800999999","-1045914.1040000001","3141464.4734839993","4628469.4304839987","8632361.9900039993","-4003892.5595200001","-3316050.7370000002","-181460.946","-506380.87651999999","-135583.64000000001"," -","-135583.64000000001","-134517.935","-1065.7049999999999","-881029.20399999991"," -","-881029.20399999991","-848022.29299999995","-33006.911","-470392.11300000001"," -","-470392.11300000001","-467321.66100000002","-3070.4520000000002","28796667","23256651","237629","4839905","462482","-13838595.005160861"," -","-215545.66899999999","-2388229.6756199999","-2959988.8935408602","-8274830.767","27825219.165323138"
