"MES","AMMC01","AMMC02","AMMC03","AMMC04","AMMC05","AMMC06","AMMC07","AMMC08","AMMC09","AMMC10","AMMC11","AMMC12","AMMC13","AMMC14","AMMC15","AMMC16","AMMC17","AMMC18","AMMC19","AMMC20","AMMC21","AMMC22","AMMC23","AMMC24","AMMC25","AMMC26","AMMC27","AMMC28","AMMC29","AMMC30","AMMC31","AMMC32","AMMC33","AMMC34","AMMC35","AMMC36"
1998-01-01,"1895416","82619","1812797","1089595.6183799999","2598362","2437",,"3690394.6183799999","284882","4168695","7022",,"4460599","132191","11450384","243012",,"11825587","1895416","82619","1812797","1089595.6183799999","2598362","2437",,"3690394.6183799999","284882","4168695","7022",,"4460599","132191","11450384","243012",,"11825587"
1998-02-01,"1923053","90299","1832754","1129269.0031600001","2552157","2625",,"3684051.0031599998","270724","4101340","7061",,"4379125","132850","11398052","197439",,"11728341","1923053","90299","1832754","1129269.0031600001","2552157","2625",,"3684051.0031599998","270724","4101340","7061",,"4379125","132850","11398052","197439",,"11728341"
1998-03-01,"1788754","77989","1710765","1022070.72189","2679310","2661",,"3704041.7218900002","274123","4202308","8162",,"4484593","153489","11714209","192703",,"12060401","1788754","77989","1710765","1022070.72189","2679310","2661",,"3704041.7218900002","274123","4202308","8162",,"4484593","153489","11714209","192703",,"12060401"
1998-04-01,"1930915","84680","1846235","1018509.2149199999","2851476","2670",,"3872655.2149200002","262174","4264497","6073",,"4532744","169907","11870696","166095",,"12206698","1930915","84680","1846235","1018509.2149199999","2851476","2670",,"3872655.2149200002","262174","4264497","6073",,"4532744","169907","11870696","166095",,"12206698"
1998-05-01,"2014809.9269999999","215632","1799177.9269999999","1030209.6343799999","2878539","3801",,"3912549.6343799997","275992","4308705","7500",,"4592197","136735","11959629","172128",,"12268492","2014809.9269999999","215632","1799177.9269999999","1030209.6343799999","2878539","3801",,"3912549.6343799997","275992","4308705","7500",,"4592197","136735","11959629","172128",,"12268492"
1998-06-01,"2037610.07","192803","1844807.07","1047268.7149500001","2853554","3705",,"3904527.7149499999","286806","4379640","8665",,"4675111","142095","11911268","179190",,"12232553","2037610.07","192803","1844807.07","1047268.7149500001","2853554","3705",,"3904527.7149499999","286806","4379640","8665",,"4675111","142095","11911268","179190",,"12232553"
1998-07-01,"2153185","243070","1910115","1042226.4964000001","3226322","1001",,"4269549.4964000005","305788","4559216","5096",,"4870100","152405","12324515","189762",,"12666682","2153185","243070","1910115","1042226.4964000001","3226322","1001",,"4269549.4964000005","305788","4559216","5096",,"4870100","152405","12324515","189762",,"12666682"
1998-08-01,"2112678","223778","1888900","1159123.8600000001","3166655","2399",,"4328177.8600000003","302184","4613197","5976",,"4921357","167035","12652840","168352",,"12988227","2112678","223778","1888900","1159123.8600000001","3166655","2399",,"4328177.8600000003","302184","4613197","5976",,"4921357","167035","12652840","168352",,"12988227"
1998-09-01,"2059299","211789","1847510","1124157.4200500001","3215644","1112",,"4340913.4200499998","307487","4678695","5172",,"4991354","174401","12676440","173847",,"13024688","2059299","211789","1847510","1124157.4200500001","3215644","1112",,"4340913.4200499998","307487","4678695","5172",,"4991354","174401","12676440","173847",,"13024688"
1998-10-01,"2177278","249922","1927356","1184143.01611","3114786","27",,"4298956.0161100002","309272","4694058","12706",,"5016036","150827","12672373","151131",,"12974331","2177278","249922","1927356","1184143.01611","3114786","27",,"4298956.0161100002","309272","4694058","12706",,"5016036","150827","12672373","151131",,"12974331"
1998-11-01,"2075688.5319999999","224882","1850806.5319999999","1186621.1164800001","3170007","6",,"4356634.1164800003","309920","4691173","7161",,"5008254","144375","12655014","159241",,"12958630","2075688.5319999999","224882","1850806.5319999999","1186621.1164800001","3170007","6",,"4356634.1164800003","309920","4691173","7161",,"5008254","144375","12655014","159241",,"12958630"
1998-12-01,"2418574","235412","2183162","1092478","3066007","11",,"4158496","313213","4872290","5351",,"5190854","138935","12865011","160435",,"13164381","2418574","235412","2183162","1092478","3066007","11",,"4158496","313213","4872290","5351",,"5190854","138935","12865011","160435",,"13164381"
1999-01-01,"2060518","198970","1861548","1052061","3227763","11",,"4279835","282570","4796657","5639",,"5084866","125424","12854559","160908",,"13140891","2060518","198970","1861548","1052061","3227763","11",,"4279835","282570","4796657","5639",,"5084866","125424","12854559","160908",,"13140891"
1999-02-01,"2026411","214160","1812251","1062808","3035892","11",,"4098711","312598","4775702","6262",,"5094562","126915","13117687","147125",,"13391727","2026411","214160","1812251","1062808","3035892","11",,"4098711","312598","4775702","6262",,"5094562","126915","13117687","147125",,"13391727"
1999-03-01,"1988254.2930000001","213858","1774396.2930000001","1063582","3082780","11",,"4146373","304791","4714593","7237",,"5026621","113077","13246708","150299",,"13510084","1988254.2930000001","213858","1774396.2930000001","1063582","3082780","11",,"4146373","304791","4714593","7237",,"5026621","113077","13246708","150299",,"13510084"
1999-04-01,"2028298.5330000001","200047","1828251.5330000001","984675","2962176","11",,"3946862","315922","4699863","5915",,"5021700","105391","13398417","151101",,"13654909","2028298.5330000001","200047","1828251.5330000001","984675","2962176","11",,"3946862","315922","4699863","5915",,"5021700","105391","13398417","151101",,"13654909"
1999-05-01,"2031915.7830000001","261196","1770719.7830000001","1030548","2998202","11",,"4028761","279001","4698913","5260",,"4983174","96007","13505823","144861",,"13746691","2031915.7830000001","261196","1770719.7830000001","1030548","2998202","11",,"4028761","279001","4698913","5260",,"4983174","96007","13505823","144861",,"13746691"
1999-06-01,"1971375.118","204513","1766862.118","968547","2787722","12",,"3756281","253280","4643946","5356",,"4902582","90582","13552954","153575",,"13797111","1971375.118","204513","1766862.118","968547","2787722","12",,"3756281","253280","4643946","5356",,"4902582","90582","13552954","153575",,"13797111"
1999-07-01,"2002028.85","212077","1789951.85","984296","2713282","12",,"3697590","240516","4727167","3931",,"4971614","131534","13875400","136242",,"14143176","2002028.85","212077","1789951.85","984296","2713282","12",,"3697590","240516","4727167","3931",,"4971614","131534","13875400","136242",,"14143176"
1999-08-01,"1911334.8910000001","214107","1697227.8910000001","956982","2720310","12",,"3677304","240641","4765288","5051",,"5010980","129606","13999337","133319",,"14262262","1911334.8910000001","214107","1697227.8910000001","956982","2720310","12",,"3677304","240641","4765288","5051",,"5010980","129606","13999337","133319",,"14262262"
1999-09-01,"1909507.2050000001","192134","1717373.2050000001","956926","2721854","12",,"3678792","261992","4885461","4913",,"5152366","125702","14201060","133993",,"14460755","1909507.2050000001","192134","1717373.2050000001","956926","2721854","12",,"3678792","261992","4885461","4913",,"5152366","125702","14201060","133993",,"14460755"
1999-10-01,"1979687.7379999999","198689","1780998.7379999999","1004679","2628158","12",,"3632849","237581","4936168","3814",,"5177563","127660","14284077","135460",,"14547197","1979687.7379999999","198689","1780998.7379999999","1004679","2628158","12",,"3632849","237581","4936168","3814",,"5177563","127660","14284077","135460",,"14547197"
1999-11-01,"1944666.5160000001","214048","1730618.5160000001","990857","3370101","12",,"4360970","262189","4918262","3138",,"5183589","130280","13936305","136291",,"14202876","1944666.5160000001","214048","1730618.5160000001","990857","3370101","12",,"4360970","262189","4918262","3138",,"5183589","130280","13936305","136291",,"14202876"
1999-12-01,"2419178","261364","2157813.8629999999","995036","2740115","12",,"3735163","326943","4988966","2989",,"5318898","128801","13803911","139088",,"14071800","2419178","261364","2157813.8629999999","995036","2740115","12",,"3735163","326943","4988966","2989",,"5318898","128801","13803911","139088",,"14071800"
2000-01-01,"2004801.4439999999","224965","1779836.4439999999","1029231","2819229","12",,"3848472","270643","5268830","2925",,"5542398","139919","13927797","129930",,"14197646","2004801.4439999999","224965","1779836.4439999999","1029231","2819229","12",,"3848472","270643","5268830","2925",,"5542398","139919","13927797","129930",,"14197646"
2000-02-01,"1898301.477","211495","1686806.477","1013903","2786605","12",,"3800520","312648","5299946","2317",,"5614911","139641","13814394","130726",,"14084761","1898301.477","211495","1686806.477","1013903","2786605","12",,"3800520","312648","5299946","2317",,"5614911","139641","13814394","130726",,"14084761"
2000-03-01,"1899612.378","221911.6","1677700.7779999999","996732.8","2783329.4","12",,"3780074.2","305299","5274243","1271",,"5580813","140647","14003056","132369",,"14276072","1899612.378","221911.6","1677700.7779999999","996732.8","2783329.4","12",,"3780074.2","305299","5274243","1271",,"5580813","140647","14003056","132369",,"14276072"
2000-04-01,"1948221.8810000001","175078.6","1773143.281","1014298.6","2966782.1","12.2",,"3981092.9","271897","5283488","1429.3",,"5556814.2999999998","132718.9","14027224.9","125132.9",,"14285076.700000001","1948221.8810000001","175078.6","1773143.281","1014298.6","2966782.1","12.2",,"3981092.9","271897","5283488","1429.3",,"5556814.2999999998","132718.9","14027224.9","125132.9",,"14285076.700000001"
2000-05-01,"1876379.936","182929","1693450.936","1052050","2848987","12",,"3901049","298150","5300344","1341",,"5599835","113576","14040434","121350",,"14275360","1876379.936","182929","1693450.936","1052050","2848987","12",,"3901049","298150","5300344","1341",,"5599835","113576","14040434","121350",,"14275360"
2000-06-01,"1938664.8840000001","166823","1771841.8840000001","868873","2752651","0",,"3621524","313104","5270029","1364",,"5584497","138732","14193808","119574",,"14452114","1938664.8840000001","166823","1771841.8840000001","868873","2752651","0",,"3621524","313104","5270029","1364",,"5584497","138732","14193808","119574",,"14452114"
2000-07-01,"1933664.094","211554","1722110.094","1020323","2848456","0",,"3868779","312677","5404451","1370",,"5718498","143319","14120251","120772",,"14384342","1933664.094","211554","1722110.094","1020323","2848456","0",,"3868779","312677","5404451","1370",,"5718498","143319","14120251","120772",,"14384342"
2000-08-01,"1891477.3230000001","199462.94499999983","1692014.3780000003","968403","2944583","0",,"3912986","310252.84041","5485510.0489999996","195.70605",,"5795958.5954599995","143246.63418000002","14192196.52","121709.219",,"14457152.37318","1891477.3230000001","199462.94499999983","1692014.3780000003","968403","2944583","0",,"3912986","310252.84041","5485510.0489999996","195.70605",,"5795958.5954599995","143246.63418000002","14192196.52","121709.219",,"14457152.37318"
2000-09-01,"1964221.328","220043","1744178.328","1011744","2818132","0",,"3829876","300897","5613194","207",,"5914298","138631","14199672","116829",,"14455132","1964221.328","220043","1744178.328","1011744","2818132","0",,"3829876","300897","5613194","207",,"5914298","138631","14199672","116829",,"14455132"
2000-10-01,"1987740.889","211620","1776120.889","906455","2873268","0",,"3779723","264877","5545702","225",,"5810804","137686","14035682","121215",,"14294583","1987740.889","211620","1776120.889","906455","2873268","0",,"3779723","264877","5545702","225",,"5810804","137686","14035682","121215",,"14294583"
2000-11-01,"1901568.8759999999","191719","1709849.8759999999","933912","3027224","0",,"3961136","282444","5551017","233",,"5833694","131186","13935602","113836",,"14180624","1901568.8759999999","191719","1709849.8759999999","933912","3027224","0",,"3961136","282444","5551017","233",,"5833694","131186","13935602","113836",,"14180624"
2000-12-01,"2424155.057","248879","2175276.057","1111815","3118773","0",,"4230588","330217","5941527","289",,"6272033","131603","13955823","116836",,"14204262","2424155.057","248879","2175276.057","1111815","3118773","0",,"4230588","330217","5941527","289",,"6272033","131603","13955823","116836",,"14204262"
