"MES","AMAM01","AMAM02","AMAM03","AMAM04","AMAM05","AMAM06","AMAM07","AMAM08"
1998-01-01,"2902392.6183799999","5503191.6183799999","3187274.6183799999","9963790.618379999","3367014.6183799999","21974458.618379999",,"22340121.546379998"
1998-02-01,"2962023.0031599998","5516805.0031599998","3232747.0031599998","9895930.0031599998","3421743.0031599998","21837468.00316",,"22204494.723159999"
1998-03-01,"2732835.7218900002","5414806.7218900006","3006958.7218900002","9899399.7218900006","3213018.7218900002","22209080.721890002",,"22589348.513890002"
1998-04-01,"2864744.2149200002","5718890.2149200002","3126918.2149200002","10251634.214919999","3506026.2149200002","22859920.214919999",,"23242282.06092"
1998-05-01,"2829387.5613799999","5711727.5613799999","3105379.5613799999","10303924.561379999","3304969.5613799999","22844559.536614198",,"23228323.457614198"
1998-06-01,"2892075.7849500002","5749334.7849500002","3178881.7849500002","10424445.784949999","3378512.7849500002","22945121.910542399",,"23411884.989542399"
1998-07-01,"2952341.4964000001","6179664.4964000005","3258129.4964000001","11049764.496400001","3473343.4964000001","24054740.633379299",,"24512130.993379299"
1998-08-01,"3048023.86","6217077.8600000003","3350207.86","11138434.859999999","3569824.86","24462641.069065798",,"24880554.603065796"
1998-09-01,"2971667.4200499998","6188423.4200499998","3279154.4200499998","11179777.420049999","3502085.4200499998","24564840.6498245",,"25037278.720824499"
1998-10-01,"3111499.0161100002","6226312.0161100002","3420771.0161100002","11242348.016109999","3620600.0161100002","24587540.0144911",,"25017069.881491099"
1998-11-01,"3037427.64848","6207440.64848","3347347.64848","11215694.64848","3540846.64848","24611606.24848",,"25031238.883480001"
1998-12-01,"3275640","6341658","3588853","11532512","3766023","25118250.7495832","3781979","25551827.7495832"
1999-01-01,"2913609","6141383","3196179","11226249","3360345","24804603.814946",,"25200923.321529198"
1999-02-01,"2875059","5910962","3187657","11005524","3358158","24841121.675519999",,"25258798.1289584"
1999-03-01,"2837978.2930000001","5920769.2929999996","3142769.2930000001","10947390.293","3296326.2930000001","24885600.743292797",,"25307064.906872597"
1999-04-01,"2812926.5329999998","5775113.5329999998","3128848.5329999998","10796813.533","3303152.5329999998","24927917.9838976",,"25277096.857618801"
1999-05-01,"2801267.7829999998","5799480.7829999998","3080268.7829999998","10782654.783","3237398.7829999998","25004031.424181402",,"25321344.008044001"
1999-06-01,"2735409.1179999998","5523143.1179999998","2988689.1179999998","10425725.118000001","3131909.1179999998","24703581.0180839",,"25298234.0753741"
1999-07-01,"2774247.85","5487541.8499999996","3014763.85","10459155.85","3192767.85","25061067.416060302",,"25649906.420205701"
1999-08-01,"2654209.8909999998","5374531.8909999998","2894850.8909999998","10385511.890999999","3067453.8909999998","25106235.9914257",,"25933785.942426302"
1999-09-01,"2674299.2050000001","5396165.2050000001","2936291.2050000001","10548531.205","3108679.2050000001","25584185.120248999",,"26522499.781390999"
1999-10-01,"2785677.7379999999","5413847.7379999999","3023258.7379999999","10591410.738","3196189.7379999999","25626522.073013399",,"25906379.6810106"
1999-11-01,"2721475.5159999998","6091588.5159999998","2983664.5159999998","11275177.515999999","3157071.5159999998","25976743.060895599",,"26288901.060895599"
1999-12-01,"3152849.8629999999","5892976.8629999999","3479792.8629999999","11211874.863","3645641.8629999999","25776973.617777798","3645644.8629999999","26161950.617777798"
2000-01-01,"2809067.4440000001","5628308.4440000001","3079710.4440000001","11170706.444","3264885.4440000001","25885232.013601098",,"26224324.725975681"
2000-02-01,"2700709.477","5487326.477","3013357.477","11102237.477","3198042.477","25737200.861424398",,"26048467.575234715"
2000-03-01,"2674433.5779999997","5457774.9780000001","2979732.5779999997","11038587.978","3159908.5779999997","25769966.415120002",,"25992630.368762385"
2000-04-01,"2787441.8810000001","5754236.1810000008","3059338.8810000001","11311050.481000002","3235641.781","26015773.014356703",,"26220105.72981723"
2000-05-01,"2745500.9359999998","5594499.9359999998","3043650.9359999998","11194334.936000001","3194475.9359999998","25911147.987095401",,"26181524.987095401"
2000-06-01,"2640714.8840000001","5393365.8839999996","2953818.8840000001","10977862.884","3129650.8840000001","25872889.855978101",,"26169563.369333152"
2000-07-01,"2742433.094","5590889.0940000005","3055110.094","11309387.094000001","3246952.094","26161333.659558002",,"26412452.086268101"
2000-08-01,"2660417.3780000005","5605000.3780000005","2970670.2184100007","11400958.973459998","3150916.3775900006","26266855.758030802",,"26644181.258030802"
2000-09-01,"2755922.3279999997","5574054.3279999997","3056819.3279999997","11488352.328","3235364.3659999999","26355047.9097935",,"26939531.309793498"
2000-10-01,"2682575.889","5555843.8890000004","2947452.889","11366647.889","3128483.4709999999","26048768.293906",,"26708094.193905998"
2000-11-01,"2643761.8760000002","5670985.8760000002","2926205.8760000002","11504679.876","3097186.0630000001","26066459.044330802",,"26705054.744330801"
2000-12-01,"3287091.057","6405864.057","3617308.057","12677897.057","3798176.2680000002","27263657.902755599","3803031.068","28012988.7027556"
2001-01-01,"2834819.9569999999","6019337.9570000004","3138286.9569999999","12348763.957","3322079.932","27029239.611074198",,"27854878.725807741"
2001-02-01,"3093984.2719999999","6280670.2719999999","3383405.2719999999","12659654.272","3579975.798","27940548.787784699",,"28966684.287784699"
2001-03-01,"2882510.8810000001","6182378.8810000001","3192672.8810000001","12593157.881000001","3379061.86","27674423.4167847",,"28958267.4167847"
2001-04-01,"2825214.81","5880599.8100000005","3105901.81","12182421.810000001","3332150.4180000001","27515196.201619998",,"28939912.701619998"
2001-05-01,"2781942.4929999998","6179419.4929999998","3081327.4929999998","12775754.493000001","3264746.1","28015210.129493002",,"29524970.929493003"
2001-06-01,"2871501.5830000001","6439488.5830000006","3166610.5830000001","12956858.583000001","3345467.9560000002","27984928.674354799",,"29628674.674354799"
