"MES","AMFE01","AMFE02","AMFE03","AMFE04","AMFE05","AMFE06","AMFE07","AMFE08","AMFE09","AMFE10","AMFE11","AMFE12","AMFE13"
1998-01-01,"3546016","29732352.693319999","5473570.6933200005","24258782","33278368.693319999","4417438.1586378003","4014776.8482240001","4304554.8091512006","-1798522.6690729987","10938247.146940002","22340121.546379998","16836929.927999999","5503191.618379999"
1998-02-01,"3188253","29868195.127599999","5332945.1276000002","24535250","33056448.127599999","4327171.0644320007","3972901.8179199998","4328213.1927659996","-1776332.6706779995","10851953.404440001","22204494.723159999","16687689.720000001","5516805.003159998"
1998-03-01,"3237347","30397599.553208001","5384630.553208","25012969","33634946.553208001","4358223.135214","3958478.2773119998","4504242.3554563997","-1775345.7286643968","11045598.039318005","22589348.513889998","17174541.791999999","5414806.7218899988"
1998-04-01,"3225937","30966393.158054002","5224537.1580539998","25741856","34192330.158054002","4259809.3564694999","4120385.9718559999","4533027.1253626002","-1963174.3565541003","10950048.097134","23242282.06092","17523391.846000001","5718890.2149199992"
1998-05-01,"4346367.03","31465486.650137998","5218468.650138","26247018","35811853.680137999","4432764.0508665005","4083498.3315519998","4422500.6778280996","-355232.83772279881","12583530.222523801","23228323.457614198","17516595.896234199","5711727.5613799989"
1998-06-01,"4471224.2319999998","31830618.016812","5089645.0168119995","26740973","36301842.248811997","4313420.7703614999","4034289.1762879998","4692424.8928175","-150177.58019739902","12889957.259269601","23411884.989542395","17662550.204592399","5749334.7849499956"
1998-07-01,"5080972","32509153.868446","5187233.8684459999","27321920","37590125.868446","4292570.6583845001","4188908.6760224998","4782584.3112714002","-186068.77061170246","13077994.875066698","24512130.993379302","18332466.4969793","6179664.4964000024"
1998-08-01,"5242038","33160094.967399999","5328871.9674000004","27831223","38402132.967399999","4502859.5888574002","4104425.4729050002","4815789.8151094001","98503.48746239813","13521578.364334198","24880554.603065804","18663476.743065801","6217077.8600000031"
1998-09-01,"5025819","33497413.479464002","5057796.4794640001","28439617","38523232.479464002","4312584.2309256997","4125756.5926746","5140815.3776888","-93202.442649601959","13485953.758639496","25037278.720824506","18848855.300774503","6188423.4200500026"
1998-10-01,"4997209","33982819.147767998","5057505.1477680001","28925314","38980028.147767998","4361138.8823611001","4144876.3614142002","5256673.2301971","200269.79230450047","13962958.266276902","25017069.881491095","18790757.865381099","6226312.0161099955"
1998-11-01,"4889991.0729999989","34431314.804522","5013857.8045220003","29417457","39321305.877521999","4402347.4942969","4174187.9030418","5393141.0365543002","320390.56014899304","14290066.994041992","25031238.883480005","18823798.235000003","6207440.6484800018"
1998-12-01,"5152643","35061504.431008004","5148211.4310080009","29913293","40214147.431008004","4336647.9992356002","4286068.823818","5439150.8060452007","600451.80536920018","14662319.434468001","25551827.996540003","19210169.996539999","6341658.0000000037"
1999-01-01,"5050323","34849342.662671998","5116318.662672","29733024","39899665.662671998","4506949.4342355998","4189158.823818","5607638.0665960005","394996.01649320032","14698742.341142803","25200923.321529195","19059540.321529198","6141382.9999999963"
1999-02-01,"5233396","35027167.900296003","5148795.9002959998","29878372","40260563.900296003","4636601.8628471997","4174669.233916","5673016.1271623997","517478.5474119992","15001765.771337597","25258798.128958404","19347836.1289584","5910962.0000000037"
1999-03-01,"5119140.0870000003","35087975.760115996","5100450.7601159997","29987525","40207115.847115993","4377567.3929670993","4165606.5414895001","5770649.6238182001","586227.38196860114","14900050.940243401","25307064.906872593","19386295.613872599","5920769.292999994"
1999-04-01,"5248564.4690000005","35089842.902727999","5025871.9027279997","30063971","40338407.371728003","4361883.4112714007","4132611.4396469998","5834893.3693619994","731922.29382879799","15061310.5141092","25277096.857618801","19501983.324618801","5775113.5329999998"
1999-05-01,"5440080.3540000003","35140746.288893998","5103542.2888940005","30037204","40580826.642894","4511035.1843547011","4043587.2060685004","5581804.5935550006","1123055.6508717979","15259482.634849999","25321344.008044001","19521863.225044001","5799480.7829999998"
