"MES","AMFV01","AMFV02","AMFV03","AMFV04","AMFV05","AMFV06","AMFV07","AMFV08","AMFV09","AMFV10","AMFV11","AMFV12","AMFV13"
1998-01-01,"-179236.88199999928","207541.43780000135","199771.43780000135","7770","28304.555800002068","-81138.704680999741","81423.037696000189","166318.34210600099","-69939.064050998073","96663.611070003361","-68359.055270001292","166361.24799999967","-234720.30327000096"
1998-02-01,"-357763","135842.4342799997","-140625.5657200003","276468","-221920.5657200003","-90267.094205799513","-41875.030304000247","23658.383614799008","22189.998394999187","-86293.742500001565","-135626.82321999874","-149240.2079999987","13613.384779999964"
1998-03-01,"49094","529404.42560799979","51685.425607999787","477719","578498.42560799979","31052.070781999268","-14423.54060800001","176029.16269040015","986.94201360270381","193644.63487800211","384853.79072999768","486852.07199999876","-101998.28127000108"
1998-04-01,"-11410","568793.60484599974","-160093.39515400026","728887","557383.60484599974","-98413.77874450013","161907.69454400009","28784.769906200469","-187828.62788970349","-95549.94218400307","652933.54703000281","348850.0540000014","304083.49303000141"
1998-05-01,"1120430.03","499093.49208400026","-6068.5079159997404","505162","1619523.5220840005","172954.6943970006","-36887.640304000117","-110526.44753450062","1607941.5188313015","1633482.1253898013","-13958.603305800818","-6795.9497658014297","-7162.6535399993882"
1998-06-01,"124857.20199999958","365131.36667399947","-128823.63332600053","493955","489988.56867399905","-119343.28050500061","-49209.155263999943","269924.21498940047","205055.25752539979","306427.03674579971","183561.53192819934","145954.30835819989","37607.223569999449"
1998-07-01,"609747.76800000016","678535.85163400043","97588.851634000428","580947","1288283.6196340006","-20850.111976999789","154619.49973449996","90159.418453900144","-35891.190414303448","188037.61579709686","1100246.0038369037","669916.29238690063","430329.71145000309"
1998-08-01,"161066","650941.09895400051","141638.09895400051","509303","812007.09895400051","210288.93047290016","-84483.203117499594","33205.503837999888","284572.25807410059","443583.48926750105","368423.60968649946","331010.24608650059","37413.363599998876"
1998-09-01,"-216219","337318.51206399966","-271075.48793600034","608394","121099.51206399966","-190275.35793170054","21331.119769599754","325025.56257939991","-191705.93011200009","-35624.605694700964","156724.11775870062","185378.55770870298","-28654.439950002357"
1998-10-01,"-28610","485405.66830400005","-291.33169599995017","485697","456795.66830400005","48554.651435400359","19119.7687396002","115857.85250829998","293472.23495410243","477004.50763740297","-20208.839333402924","-58097.435393404216","37888.596060001291"
1998-11-01,"-107217.92700000107","448495.65675400011","-43647.343245999888","492143","341277.72975399904","41208.611935799941","29311.541627599858","136467.80635720026","120120.76784449257","327108.72776509263","14169.001988906413","33040.369618903846","-18871.367629997432"
1998-12-01,"262651.92700000107","630189.6264860006","134353.6264860006","495836","892841.55348600168","-65699.495061299764","111880.92077620002","46009.769490900449","280055.63522020774","372246.83042600844","520594.72305999324","386377.37153999507","134217.35151999816"
1999-01-01,"-102320","-212161.76833600085","-31892.768336000852","-180269","-314481.76833600085","170301.43499999959","-96910","168487.26055079978","-205455.78887599986","36422.906674799509","-350904.67501080036","-150629.67501080036","-200275"
1999-02-01,"183073","177825.23762399983","32477.237623999827","145348","360898.23762399983","129652.42861159984","-14489.589902000036","65378.060566399246","122482.53091879888","303023.43019479793","57874.807429201901","288295.8074292019","-230421"
1999-03-01,"-114255.91299999971","60807.859819999896","-48345.140180000104","109153","-53448.053179999813","-259034.46988010034","-9062.6924264999107","97633.49665580038","68748.834556601942","-101714.83109419793","48266.777914198115","38459.484914198518","9807.2929999995977"
1999-04-01,"129424.38200000022","1867.142611999996","-74578.857388000004","76446","131291.52461200021","-15683.981695698574","-32995.101842500269","64243.745543799363","145694.91186019685","161259.57386579737","-29968.049253797159","115687.71074620262","-145655.76"
1999-05-01,"191515.88499999978","50903.386166000739","77670.386166000739","-26767","242419.27116600052","149151.77308330033","-89024.233578499407","-253088.77580699883","391133.35704299994","198172.12074080203","44247.150425198488","19879.900425199419","24367.249999999069"
