"MES","BCFA01","BCFA02","BCFA03","BCFA04","BCFA05","BCFA06","BCFA07","BCFA08","BCFA09","BCFA10","BCFA11","BCFA12","BCFA13","BCFA14","BCFA15","BCFA16","BCFA17","BCFA18"
1998-01-01,"3546016","6777416","3231400","652185",,"5473570.6933200005","5473570.6933200005","0","0","0","24258782","20714275","173625","3228366","142516","0","12290231.9366272","46220785.6299472"
1998-02-01,"3188253","6432187","3243934","654609",,"5332945.1276000002","5332945.1276000002","0","0","0","24535250","20951887","174265","3273226","135872","0","12213265.977208002","45924323.104808003"
1998-03-01,"3237347","6488773","3251426","659458",,"5384630.553208","5384630.553208","0","0","0","25012969","21353543","175544","3347056","136826","0","12409606.238604799","46704010.7918128"
1998-04-01,"3225937","6732285","3506348","663095",,"5224537.1580539998","5224537.1580539998","0","0","0","25741856","22005280","176544","3422480","137552","0","13027712.7173333","47883137.875387304"
1998-05-01,"4346367.03","7994646.3300000001","3648279.3","665519.61300000001",,"5218468.650138","5218468.650138","0","0","0","26247018","22457659","177184","3476512","135663","0","11477135.925918501","47954509.219056502"
1998-06-01,"4471224.2319999998","8033338.7220000001","3562114.49","667944.09629999998",,"5089645.0168119995","5089645.0168119995","0","0","0","26740973","22888863","177823","3536219","138068","0","11290894.256448299","48260680.601560295"
1998-07-01,"5080972","8639213","3558241","670369",,"5187233.8684459999","5187233.8684459999","0","0","0","27321920","23399932","178463","3607775","135750","0","11592959.4955259","49853454.363971904"
1998-08-01,"5242038","8778374","3536336","671581",,"5328871.9674000004","5328871.9674000004","0","0","0","27831223","23834966","178783","3664792","152682","0","11502580.900983199","50576294.868383199"
1998-09-01,"5025819","8584348","3558529","675218",,"5057796.4794640001","5057796.4794640001","0","0","0","28439617","24363707","179743","3737469","158698","0","11919725.449579999","51118175.929044001"
1998-10-01,"4997209","8721214","3724005","677642",,"5057505.1477680001","5057505.1477680001","0","0","0","28925314","24776112","180382","3815205","153615","0","11621539.972270301","51279210.120038301"
1998-11-01,"4889991.0729999989","8664577.0759999994","3774586.003","680066.49",,"5013857.8045220003","5013857.8045220003","0","0","0","29417457","25219088","181021","3866266","151082","0","11701621.826831698","51702994.1943537"
1998-12-01,"5152643","9258298","4105655","683703",,"5147166.4000080004","5147166.4000080004","0","0","0","29913293","25717864","181981","3857917","155531","0","11973670.045735599","52870475.445743598"
1999-01-01,"5050323","9004220","3953897","683703",,"5116318.662672","5116318.662672","0","0","0","29733024","25543047","181981","3849984","158012","0","12014342.7175896","52597711.3802616"
1999-02-01,"5233396","9133623","3900227","688552",,"5148795.9002959998","5148795.9002959998","0","0","0","29878372","25653231","183260","3881544","160337","0","12342444.1006344","53291560.000930399"
1999-03-01,"5119140.0870000003","8985839.4100000001","3866699.3229999999","692188.88800000004",,"5100450.7601159997","5100450.7601159997","0","0","0","29987525","25758881","184219","3881925","162500","0","11958524.494797699","52857829.229913704"
1999-04-01,"5248564.4690000005","9007168.5280000009","3758604.0589999999","703172.80700000003",,"5025871.9027279997","5025871.9027279997","0","0","0","30063971","25832132","185179","3884304","162356","0","11833657.112476001","52875237.291203998"
1999-05-01,"5440080.3540000003","8992695.1809999999","3552614.827","706847.92799999996",,"5103542.2888940005","5103542.2888940005","0","0","0","30037204","25816000","186138","3876354","158712","0","12090118.922970697","53377793.4938647"
1999-06-01,"5503568.1303999992","9074652.2263999991","3571084.0959999999","709298.00699999998",,"5023168.311338","5023168.311338","0","0","0","30071100","25837777","186778","3890530","156015","0","11522580.2751195","52829714.7238575"
1999-07-01,"5497832.1150000002","9049697.7589999996","3551865.6439999999","714198.16500000004",,"5124457.3900260003","5124457.3900260003","0","0","0","30301831","26090823","188058","3866025","156925","0","11560361.678782552","53198680.348808557"
1999-08-01,"5620684.2770000016","9151200.1900000013","3530515.9129999997","719098.397",,"5161341.6598390006","5161341.6598390006","0","0","0","30684434","26476450","189336","3858876","159772","0","3245824.5257466072","45431382.859585606"
1999-09-01,"6356204.0540000014","9889420.3570000008","3533216.3029999998","722773.446",,"5244627.8237299994","5244627.8237299994","0","0","0","30806450","26588068","190296","3867970","160116","0","3576678.5397753976","46706733.863505393"
1999-10-01,"5944471.1550000003","9303686.7870000005","3359215.6320000002","727673.60499999998",,"5548667.6685179994","5548667.6685179994","0","0","0","31109769","26875273","191576","3882350","160570","0","3765132.5723902509","47095714.000908248"
1999-11-01,"6679620.7410000004","9957204.1919999998","3277583.4509999999","730123.68500000006",,"5244273.5334120002","5244273.5334120002","0","0","0","30989299","26913572","192215","3722741","160771","0","3940075.8507381771","47583392.810150176"
1999-12-01,"6867262.659","10422822.343","3555559.6839999999","732572.52399999998",,"5175122.8899060003","5175122.8899060003","0","0","0","30801682","26768524","192854","3678038","162266","0","3752825.1350761051","47329465.207982108"
2000-01-01,"7449018.2739999993","10774930.029999999","3325911.7560000001","736247.63699999999",,"5312589.3643470006","5312589.3643470006","0","0","0","30609671","26577965","193814","3675992","161900","0","3386355.3990690005","47493881.674416006"
2000-02-01,"7404498.5639999993","10659468.311999999","3254969.7479999997","739922.75",,"5533947.4481879994","5533947.4481879994","0","0","0","30568195","26537286","194773","3669189","166947","0","3411321.8371399995","47657885.599328004"
2000-03-01,"7147863.2999999998","10383592.862","3235729.5619999999","744822.9",,"5424760.8015199993","5424760.8015199993","0","0","0","30689470.100000001","26660995","196052","3663581","168842.1","0","3928266.3861120008","47935183.487632006"
2000-04-01,"7040132.7859999985","10328140.686999999","3288007.9010000001","748498.01300000004",,"5656448.9676419999","5656448.9676419999","0","0","0","30884832.899999999","26762001.499999996","197012.1","3758248","167571.29999999999","0","3889888.3926286995","48219801.059270695"
2000-05-01,"6938038.9870000007","9995096.0040000007","3057057.017","752173.12600000005",,"5677237.7752579991","5677237.7752579991","0","0","0","30854460","26696480","197971","3801142","158867","0","3982044.8083097991","48203954.696567796"
2000-06-01,"7062595.8250000002","10138541.887","3075946.0619999999","755848.23899999994",,"5441156.0149689997","5441156.0149689997","0","0","0","30966600","26748533","198931","3860531","158605","0","4113639.1809390001","48339839.259908006"
2000-07-01,"7344628.6620000005","10252793.364","2908164.702","759523.35199999996",,"5609447.8718400011","5609447.8718400011","0","0","0","30961985","26753734","199890","3852055","156306","0","4320464.5196599998","48996049.405499995"
2000-08-01,"7865525.892","10669008.125","2803482.233","770518.71499999997",,"5755323.3347360007","5755323.3347360007","0","0","0","30858527","26631663","200850","3869571","156443","0","3867440.640443","49117335.582178995"
2000-09-01,"8249985.9209999992","10816105.393999999","2566119.4730000002","775465.86600000004",,"5601134.9013510002","5601134.9013510002","0","0","0","31021988","26760185","202129","3903125","156549","0","3652966.0464539998","49301540.734804995"
2000-10-01,"8091809.6520000007","10499662.491","2407852.8390000002","779176.22900000005",,"5865649.0801900001","5865649.0801900001","0","0","0","30907460","26588483","203088","3956960","158929","0","3530793.3559099999","49174888.317100003"
2000-11-01,"8221531.8049999988","10647080.289999999","2425548.4850000003","784123.38",,"5954376.5991200004","5954376.5991200004","0","0","0","30804994","26431991","204367","4009399","159237","0","3596569.9916619998","49361595.775782004"
2000-12-01,"8936860.0300000012","11283373.528000001","2346513.4980000001","789070.53",,"5974836.0269480003","5974836.0269480003","0","0","0","30400077","25970738","205647","4061395","162297","0","3979139.6610540003","50079983.248002"
2001-01-01,"9166759.9560000002","11197545.067","2030785.111","792780.89300000004",,"6343253.4696859997","6343253.4696859997","0","0","0","29935091","25420062","206606","4148002","160421","0","3966249.4661090001","50204134.784795001"
2001-02-01,"9315746.2189999986","11175738.162999999","1859991.9439999999","795254.46900000004",,"6419441.1581779998","6419441.1581779998","0","0","0","29851914","25321588","207246","4163620","159460","0","4740109.664185999","51122465.510363996"
2001-03-01,"9099385.8269999996","10683329.293","1583943.466","800201.61899999995",,"6527810.8821619991","6527810.8821619991","0","0","0","29593647","25037223","208526","4188696","159202","0","4806643.5653539989","50827688.893515997"
2001-04-01,"9299981.5","10799789.407","1499807.9070000001","803911.98199999996",,"6594745.8229","6594745.8229","0","0","0","29465744","24847948","209485","4250711","157600","0","4898013.7391999997","51062397.044100001"
2001-05-01,"9781493.9699999988","11189638.002999999","1408144.0330000001","810095.92099999997",,"6591497.2801299999","6591497.2801299999","0","0","0","29506410","24862260","211084","4281013","152053","0","4815269.5724200001","51504766.743550003"
2001-06-01,"9949925.0539999995","11388391.046","1438465.9920000001","813806.28399999999",,"6617326.9058680004","6617326.9058680004","0","0","0","29403244","24654786","212044","4326175","210239","0","5076096.1789379995","51860398.422806002"
2001-07-01,"10112023.057999998","11417580.267999999","1305557.21","821227.01",,"6811419.8873440009","6811419.8873440009","0","0","0","29365433","24586573","213962","4377908","186990","0","4933895.0855360013","52043998.040880002"
2001-08-01,"10439441.738","11694232.952","1254791.2140000002","834156.76",,"6760666.837328","6760666.837328","0","0","0","29159505","24344116","215241","4413131","187017","0","5152645.7890640004","52346416.124391995"
2001-09-01,"10586677.9","11784859.699000001","1198181.7989999999","839151.71100000001",,"6850939.150312","6850939.150312","0","0","0","29072646","24195524","216520","4439541","221061","0","5225300.2892800011","52574715.050592005"
2001-10-01,"10708292.595999999","11711396.858999999","1003104.263","846644.13699999999",,"7082620.7179260002","7082620.7179260002","0","0","0","29092063","24144023","218439","4484906","244695","0","5567107.3143539988","53296727.765279993"
2001-11-01,"11587507.302999999","12482433.134","894925.83100000001","850390.35",,"7300890.1018770002","7300890.1018770002","0","0","0","28967284","23990724","219399","4512242","244919","0","5594118.9247909999","54300190.679668002"
2001-12-01,"11995961.306","12877446.961999999","881485.65599999996","850390.35",,"7632149.6382579999","7632149.6382579999","0","0","0","28621727","23627092","219399","4529238","245998","0","5428508.1157680005","54528736.410025999"
2002-01-01,"12700335.485000001","13445514.481000001","745178.99600000004","860380.25100000005",,"7724892.1514020003","7724892.1514020003","0","0","0","28465486","23429517","221957","4548076","265936","0","5557812.6271919999","55308906.514593996"
2002-02-01,"12488655.113","13152439.478","663784.36500000011","869121.41500000004",,"7568493.8395280009","7568493.8395280009","0","0","0","28570308","23530194","224197","4560307","255610","0","5731818.543664","55228396.911192007"
2002-03-01,"12039724.236","12658459.043","618734.80699999991","875365.103",,"7578999.1156180007","7578999.1156180007","0","0","0","28696482","23632263","225796","4578238","260185","0","5682727.578458","54873298.033076003"
2002-04-01,"12155769.754999999","12764509.949999999","608740.19500000007","879111.31599999999",,"7510900.3846719991","7510900.3846719991","0","0","0","28781794","23687661","226755","4603533","263845","0","5839209.8986479994","55166785.354319997"
2002-05-01,"12020038.547999999","12732716.881999999","712678.33399999992","882857.52899999998",,"7526722.0797259994","7526722.0797259994","0","0","0","28706086","23574969","227714","4635560","267843","0","5653014.3022970017","54788718.459022999"
2002-06-01,"11038977.603","11978690.699999999","939713.09700000007","892847.43",,"7851309.5378699992","7851309.5378699992","0","0","0","28828477","23640608","230272","4687296","270301","0","5698547.1987549998","54310158.769624993"
2002-07-01,"7843204.8168100007","9106497.8548100013","1263293.0380000002","901588.59400000004",,"8080781.1379960002","8080781.1379960002","0","0","0","28714364","23465113","232512","4715862","300877","0","5979510.6962099988","51519449.245015994"
2002-08-01,"8692896.2200031988","9926791.4970031995","1233895.277","920838.22",,"8421568.2424240001","8421568.2424240001","0","0","0","28642845","23330968","234431","4734324","343122","0","5299304.8366288003","51977452.519056"
2002-09-01,"9401211.6490000002","10580115.899","1178904.25","927162.65800000005",,"8266159.0642140005","8266159.0642140005","0","0","0","28668529","23187280","236030","4769704","475515","0","5068774.4201779999","52331836.791391999"
