"MES","BCFP01","BCFP02","BCFP03","BCFP04","BCFP05","BCFP06","BCFP07","BCFP08","BCFP09","BCFP10","BCFP11","BCFP12","BCFP13","BCFP14","BCFP15","BCFP16","BCFP17","BCFP18","BCFP19","BCFP20","BCFP21","BCFP22","BCFP23","BCFP24","BCFP25","BCFP26","BCFP27","BCFP28","BCFP29","BCFP30","BCFP31","BCFP32"
1998-01-01,"5503191.6183799999","1812797","3690394.6183799999","1089595.6183799999","2598362","2437",,"16471267","4460599","284882","4168695","7022",,"11825587","132191","11450384","243012",,"185081","47549","135309","2223",,"4417438.1586378003","1944280.3816200001",,"2046301.7770178001","426856","92258","4014776.8482240001","11417299.095347","4304554.8091512006"
1998-02-01,"5516805.0031599998","1832754","3684051.0031599998","1129269.0031600001","2552157","2625",,"16320663","4379125","270724","4101340","7061",,"11728341","132850","11398052","197439",,"213197","56146","154851","2200",,"4327171.0644319998","1841015.9968399999",,"2067690.0675920001","418465","95225","3972901.8179199998","11363344.02637","4328213.1927659996"
1998-03-01,"5414806.7218900006","1710765","3704041.7218900002","1022070.72189","2679310","2661",,"16794274","4484593","274123","4202308","8162",,"12060401","153489","11714209","192703",,"249280","52571","195491","1218",,"4358223.135214","1966885.2781100001",,"1958213.8571039999","433124","101935","3958478.2773119998","11572051.3017336","4504242.3554563997"
1998-04-01,"5718890.2149200002","1846235","3872655.2149200002","1018509.2149199999","2851476","2670",,"17141030","4532744","262174","4264497","6073",,"12206698","169907","11870696","166095",,"401588","209201","187378","5009",,"4259809.3564694999","1892507.7850800001",,"1950309.5713895001","416992","98112","4120385.9718559999","12011883.206893101","4533027.1253626002"
1998-05-01,"5711727.5613799999","1799177.9269999999","3912549.6343799997","1030209.6343799999","2878539","3801",,"17132831.975234199","4592197","275992","4308705","7500",,"12268492","136735","11959629","172128",,"272142.97523420001","62855","194958.97523420001","14329",,"4432763.6368664997","2018370.6016199999",,"1979960.9102465","434432.125","100834.231","4083498.3315519998","12070352.5213675","4422500.6778280996"
1998-06-01,"5749334.7849500002","1844807.07","3904527.7149499999","1047268.7149500001","2853554","3705",,"17195787.125592399","4675111","286806","4379640","8665",,"12232553","142095","11911268","179190",,"288123.12559239997","57536","216265.1255924","14322",,"4313421.2013614997","1921176.1090500001",,"1931833.3453115001","460411.74699999997","99235.717000000004","4034289.1762879998","12176187.699290201","4692424.8928175"
1998-07-01,"6179664.4964000005","1910115","4269549.4964000005","1042226.4964000001","3226322","1001",,"17875076.136979301","4870100","305788","4559216","5096",,"12666682","152405","12324515","189762",,"338294.1369793","62809","261069.1369793","14416",,"4292570.6583845001","1907435.5035999999",,"1932939.1547844999","452196","104116","4188908.6760224998","12430534.0849186","4782584.3112714002"
1998-08-01,"6217077.8600000003","1888900","4328177.8600000003","1159123.8600000001","3166655","2399",,"18245563.209065799","4921357","302184","4613197","5976",,"12988227","167035","12652840","168352",,"335979.20906580001","52582","265669.20906580001","17728",,"4502859.5888574002","2084546.14",,"1989188.4488574001","429125","107502","4104425.4729050002","12583077.426980402","4815789.8151094001"
1998-09-01,"6188423.4200499998","1847510","4340913.4200499998","1124157.4200500001","3215644","1112",,"18376417.229774501","4991354","307487","4678695","5172",,"13024688","174401","12676440","173847",,"360375.22977450001","48530","293967.22977450001","17878",,"4312584.2309256997","2129482.5799500002",,"1728410.6509757","454691","114174","4125756.5926746","12860005.204147898","5140815.3776888"
1998-10-01,"6226312.0161100002","1927356","4298956.0161100002","1184143.01611","3114786","27",,"18361227.998381101","5016036","309272","4694058","12706",,"12974331","150827","12672373","151131",,"370860.99838110001","49002","295339.99838110001","26519",,"4361138.8823611001","2005544.98389",,"1891221.8984711","464372","111882","4144876.3614142002","12817099.6314706","5256673.2301971"
1998-11-01,"6207440.64848","1850806.5319999999","4356634.1164800003","1186621.1164800001","3170007","6",,"18404165.600000001","5008254","309920","4691173","7161",,"12958630","144375","12655014","159241",,"437281.6","49124","358575.6","29582",,"4402347.5842968998","2057000.8325199999",,"1870552.8527768999","474793.89899999998","117666.753","4174187.9030418","13004044.589698","5393141.0365543002"
1998-12-01,"6341658","2183162","4158496","1092478","3066007","11",,"18776592.7495832","5190854","313213","4872290","5351",,"13164381","138935","12865011","160435",,"421357.74958319997","38235","353860.74958319997","29262",,"4336648.4342355998","1936337",,"1910122.4342356001","490189","117774","4286068.823818","13572582.6320576","5439150.8060452007"
1999-01-01,"6141383","1861548","4279835","1052061","3227763","11",,"18663220.814946","5084866","282570","4796657","5639",,"13140891","125424","12854559","160908",,"437463.814946","38742","369783.814946","28938",,"4506949.4342355998","2236504",,"1760534.4342356001","509911","119352","4189158.823818","13370009.242058402","5607638.0665960005"
1999-02-01,"5910962","1812251","4098711","1062808","3035892","11",,"18930159.675519999","5094562","312598","4775702","6262",,"13391727","126915","13117687","147125",,"443870.67551999999","43586","371519.67551999999","28765",,"4636601.8628471997","2347771",,"1787627.8628471999","501203","120975","4174669.233916","13845176.101800401","5673016.1271623997"
1999-03-01,"5920769.2929999996","1774396.2930000001","4146373","1063582","3082780","11",,"18964831.4502928","5026621","304791","4714593","7237",,"13510084","113077","13246708","150299",,"428126.45029279997","40480","358708.45029279997","28938",,"4377567.3929671003","2027156.882",,"1875036.2149670999","475374.29600000003","125575.219","4165606.5414895001","13532829.703650199","5770649.6238182001"
1999-04-01,"5775113.5329999998","1828251.5330000001","3946862","984675","2962176","11",,"19152804.450897601","5021700","315922","4699863","5915",,"13654909","105391","13398417","151101",,"476195.45089760004","68913","378202.45089760004","29080",,"4361883.4082713993","2035182.7449999996",,"1841020.5052714001","485680.158","125692.629","4132611.4396469998","13492238.464511799","5834893.3693619994"
