"MES","BCBA01","BCBA02","BCBA03","BCBA04","BCBA05","BCBA06","BCBA07","BCBA08","BCBA09","BCBA10","BCBA11","BCBA12","BCBA13","BCBA14","BCBA15","BCBA16","BCBA17","BCBA18"
1998-01-01,"3523174","6745831","3222657","652185",,"5378891.6933200005","5378891.6933200005","0","0","0","21020242","20714275",,"173625","132342","0","11696305.9366272","42270798.6299472"
1998-02-01,"3162197","6398031","3235834","654609",,"5222758.1276000002","5222758.1276000002","0","0","0","21251714","20951887",,"174265","125562","0","11632771.977208002","41924050.104808003"
1998-03-01,"3211892","6455158","3243266","659458",,"5272067.553208","5272067.553208","0","0","0","21655987","21353543",,"175544","126900","0","11858914.238604799","42658318.7918128"
1998-04-01,"3192153","6686877","3494724","663095",,"5102576.1580539998","5102576.1580539998","0","0","0","22309233","22005280",,"176544","127409","0","12526137.7173333","43793194.875387304"
1998-05-01,"4289343.03","7924583.3300000001","3635240.3","665519.61300000001",,"5096227.650138","5096227.650138","0","0","0","22760121","22457659",,"177184","125278","0","10970310.925918501","43781522.219056502"
1998-06-01,"4364647.2319999998","7919185.7220000001","3554538.49","667944.09629999998",,"4950147.0168119995","4950147.0168119995","0","0","0","23192316","22888863",,"177823","125630","0","10847888.256448299","44022942.601560295"
1998-07-01,"4934172","8484809","3550637","670369",,"5052431.8684459999","5052431.8684459999","0","0","0","23704189","23399932",,"178463","125794","0","11082383.4955259","45443545.363971904"
1998-08-01,"5063704","8592422","3528718","671581",,"5177891.9674000004","5177891.9674000004","0","0","0","24156312","23834966",,"178783","142563","0","10991467.900983199","46060956.868383199"
1998-09-01,"4814354","8365920","3551566","675218",,"4943989.4794640001","4943989.4794640001","0","0","0","24691877","24363707",,"179743","148427","0","11397082.449579999","46522520.929044001"
1998-10-01,"4773706","8490723","3717017","677642",,"4946598.1477680001","4946598.1477680001","0","0","0","25099722","24776112",,"180382","143228","0","11171914.972270301","46669583.120038301"
1998-11-01,"4632379.0729999989","8397848.0759999994","3765469.003","680066.49",,"4902957.8045220003","4902957.8045220003","0","0","0","25540660","25219088",,"181021","140551","0","11307954.826831698","47064018.1943537"
1998-12-01,"4900119","8993648","4093529","683703",,"5028855.4000080004","5028855.4000080004","0","0","0","26042429","25717864",,"181981","142584","0","11551739.045735599","48206845.445743598"
1999-01-01,"4787982","8726792","3938810","683703",,"4999743.662672","4999743.662672","0","0","0","25872214","25543047",,"181981","147186","0","11576352.7175896","47919995.3802616"
1999-02-01,"4910965","8795998","3885033","688552",,"5048241.9002959998","5048241.9002959998","0","0","0","25985986","25653231",,"183260","149495","0","11921035.1006344","48554780.000930399"
1999-03-01,"4814578.0870000003","8669914.4100000001","3855336.3229999999","692188.88800000004",,"5000214.7601159997","5000214.7601159997","0","0","0","26094643","25758881",,"184219","151543","0","11519616.494797699","48121241.229913704"
1999-04-01,"4937338.4690000005","8684749.5280000009","3747411.0589999999","703172.80700000003",,"4968663.9027279997","4968663.9027279997","0","0","0","26168797","25832132",,"185179","151486","0","11363225.112476001","48141197.291203998"
1999-05-01,"5131715.3540000003","8673078.1809999999","3541362.827","706847.92799999996",,"5058754.2888940005","5058754.2888940005","0","0","0","26149893","25816000",,"186138","147755","0","11574981.922970697","48622192.4938647"
1999-06-01,"5188543.1303999992","8754561.2263999991","3566018.0959999999","709298.00699999998",,"4967805.311338","4967805.311338","0","0","0","26169562","25837777",,"186778","145007","0","11028891.2751195","48064099.7238575"
1999-07-01,"5176676.1150000002","8723440.7589999996","3546764.6439999999","714198.16500000004",,"5068986.3900260003","5068986.3900260003","0","0","0","26425718","26090823",,"188058","146837","0","11067995.678782552","48453574.348808557"
1999-08-01,"5299691.2770000016","8825071.1900000013","3525379.9129999997","719098.397",,"5112818.6598390006","5112818.6598390006","0","0","0","26814792","26476450",,"189336","149006","0","2730670.5257466072","40677070.859585606"
1999-09-01,"6038437.0540000014","9565015.3570000008","3526578.3029999998","722773.446",,"5208831.8237299994","5208831.8237299994","0","0","0","26927755","26588068",,"190296","149391","0","3032062.5397753976","41929859.863505393"
1999-10-01,"5623979.1550000003","8976511.7870000005","3352532.6320000002","727673.60499999998",,"5525633.6685179994","5525633.6685179994","0","0","0","27216628","26875273",,"191576","149779","0","3211680.5723902509","42305595.000908248"
1999-11-01,"6367307.7410000004","9638186.1919999998","3270878.4509999999","730123.68500000006",,"5223185.5334120002","5223185.5334120002","0","0","0","27255441","26913572",,"192215","149654","0","3384605.8507381771","42960663.810150176"
1999-12-01,"6538056.659","10087635.343","3549578.6839999999","732572.52399999998",,"5160644.8899060003","5160644.8899060003","0","0","0","27112376","26768524",,"192854","150998","0","3286207.1350761051","42829857.207982108"
2000-01-01,"7130479.2739999993","10450381.029999999","3319901.7560000001","736247.63699999999",,"5298222.3643470006","5298222.3643470006","0","0","0","26921980","26577965",,"193814","150201","0","2753092.3990690005","42840021.674416006"
