"MES","BCBP01","BCBP02","BCBP03","BCBP04","BCBP05","BCBP06","BCBP07","BCBP08","BCBP09","BCBP10","BCBP11","BCBP12","BCBP13","BCBP14","BCBP15","BCBP16","BCBP17","BCBP18","BCBP19","BCBP20","BCBP21","BCBP22","BCBP23","BCBP24","BCBP25","BCBP26","BCBP27","BCBP28","BCBP29","BCBP30","BCBP31","BCBP32"
1998-01-01,"5513976.6183799999","1825113","3688863.6183799999","1089595.6183799999","2597000","2268",,"13274563","3010418","222726","2783381","4311",,"10094178","125927","9725337","242914",,"169967","41006","128735","226",,"4404542.1586378003","1931679.3816200001",,"2046006.7770178001","426856","92258","4010507.8482240001","11139004.095347","3835946.8091512001"
1998-02-01,"5529581.0031599998","1846982","3682599.0031599998","1129265.0031600001","2550876","2458",,"13089472","2913872","206231","2702815","4826",,"9977900","126463","9654096","197341",,"197700","48915","148558","227",,"4314556.0644319998","1828677.9968399999",,"2067413.0675920001","418465","95225","3968622.8179199998","11074880.02637","3851713.1927659996"
1998-03-01,"5425818.7218900006","1723287","3702531.7218900002","1022062.72189","2677972","2497",,"13532453","3006153","208439","2792657","5057",,"10293100","148760","9951736","192604",,"233200","43739","189307","154",,"4346662.135214","1955631.2781100001",,"1957907.8571039999","433123","101935","3954181.2773119998","11279676.3017336","4017592.3554563997"
1998-04-01,"5731368.2149200002","1860248","3871120.2149200002","1018501.2149199999","2850112","2507",,"13820756","3026804","197285","2826164","3355",,"10409512","165836","10078890","164786",,"384440","199383","181179","3878",,"4250496.3564694999","1883534.7850800001",,"1949970.5713895001","416991","98112","4111287.9718559999","11722206.206893101","4058968.1253626002"
1998-05-01,"5723796.5613799999","1812747.9269999999","3911048.6343799997","1030202.6343799999","2877208","3638",,"13758916.975234199","3072770","210130","2857778","4862",,"10430110","132741","10126641","170728",,"256036.97523420001","55011","188844.97523420001","12181",,"4424137.6368664997","2010094.6016199999",,"1979611.9102465","434431.125","100834.231","4072201.3315519998","11741310.5213675","3960324.6778281"
1998-06-01,"5759420.7849500002","1856397.07","3903023.7149499999","1047261.7149500001","2852219","3543",,"13767662.125592399","3125155","221741","2897681","5733",,"10370355","138094","10062442","169819",,"272152.12559239997","50051","209875.1255924","12226",,"4305059.2013614997","1913271.1090500001",,"1931377.3453115001","460410.74699999997","99235.717000000004","4018364.1762879998","11855933.699290201","4217266.8928175"
1998-07-01,"6191798.4964000005","1923813","4267985.4964000005","1042219.4964000001","3224765","1001",,"14343949.136979301","3306747","237252","3067277","2218",,"10714218","147955","10385907","180356",,"322984.1369793","55978","254768.1369793","12238",,"4287429.6583845001","1902737.5035999999",,"1932497.1547844999","452195","104116","4172936.6760224998","12090153.0849186","4253162.3112714002"
1998-08-01,"6226910.8600000003","1900298","4326612.8600000003","1159119.8600000001","3165094","2399",,"14638881.209065801","3342483","234080","3105408","2995",,"10976327","162341","10657277","156709",,"320071.20906580001","45041","259479.20906580001","15551",,"4497597.5888574002","2079806.14",,"1988667.4488574001","429124","107502","4087803.4729050002","12225110.426980402","4277151.8151094001"
1998-09-01,"6197826.4200499998","1857810","4340016.4200499998","1124157.4200500001","3214747","1112",,"14718534.229774499","3393040","239851","3150116","3073",,"10982378","167947","10646488","167943",,"343116.22977450001","40212","287269.22977450001","15635",,"4307289.2309256997","2124703.5799500002",,"1727895.6509757","454690","114174","4106017.5926746","12493527.204147898","4585152.3776888"
1998-10-01,"6236196.0161100002","1938146","4298050.0161100002","1184143.01611","3113880","27",,"14715773.998381101","3419440","244553","3164393","10494",,"10942277","143957","10653115","145205",,"354056.99838110001","41370","288582.99838110001","24104",,"4355717.8823611001","2000669.98389",,"1890676.8984711","464371","111882","4122836.3614142002","12438543.6314706","4688633.2301971"
1998-11-01,"6217790.64848","1862083.5319999999","4355707.1164800003","1186621.1164800001","3169080","6",,"14786276.6","3409588","243560","3161222","4806",,"10956726","139930","10663502","153294",,"419962.6","41314","351361.6","27287",,"4396800.5842968998","2052000.8325199999",,"1870006.8527768999","474792.89899999998","117666.753","4141575.9030418","12615800.589698","4788107.0365543002"
