"MES","BCMA01","BCMA02","BCMA03","BCMA04","BCMA05","BCMA06","BCMA07","BCMA08","BCMA09","BCMA10","BCMA11","BCMA12","BCMA13","BCMA14","BCMA15","BCMA16","BCMA17","BCMA18"
1998-01-01,"3523174","6745831","3222657","652185",,"5210878","5210878","0","20846195","20714275","17972143",,"734158","2007974","131920","400995","11886257","42519684"
1998-02-01,"3162197","6398031","3235834","654609",,"5056549","5056549","0","21077122","20951887","18119019",,"836829","1996039","125235","390114","11823270","42163861"
1998-03-01,"3211892","6455158","3243266","659458",,"5128112","5128112","0","21480126","21353543","18566789",,"810855","1975899","126583","378134","12015913","42873635"
1998-04-01,"3192153","6686877","3494724","663095",,"4958158","4958158","0","22132372","22005280","19180811",,"836717","1987752","127092","326780","12722376","43994934"
1998-05-01,"4289343.03","7924583.3300000001","3635240.3","665519.61300000001",,"4950253.7439999999","4950253.7439999999","0","22582619","22457659","19584049",,"863533","2010077","124960","331490.49599999998","11249756.339","44068982.222000003"
1998-06-01,"4364647.2319999998","7919185.7220000001","3554538.49","667944.09629999998",,"4802573.7520000003","4802573.7520000003","0","23014174","22888863","20057439",,"835110","1996314","125311","362336.35399999999","11122038.684999999","44333714.119299993"
1998-07-01,"4934172","8484809","3550637","670369",,"4898253","4898253","0","23525406","23399932","20503492",,"888898","2007542","125474","350452","11449589","45828241"
1998-08-01,"5063704","8592422","3528718","671581",,"5025132","5025132","0","23977209","23834966","20875358",,"914917","2044691","142243","365094","11304332.620999999","46407052.620999999"
1998-09-01,"4814354","8365920","3551566","675218",,"4805178","4805178","0","24511812","24363707","21310956",,"951412","2101339","148105","355031","11629029","46790622"
1998-10-01,"4773706","8490723","3717017","677642",,"4807639","4807639","0","24919017","24776112","21776700",,"847572","2151840","142905","375396","11457273","47010673"
1998-11-01,"4632379.0729999989","8397848.0759999994","3765469.003","680066.49",,"4763684.9309999999","4763684.9309999999","0","25359315","25219088","22122697",,"932307","2164084","140227","381150.386","11556327.083999999","47372922.964000002"
1998-12-01,"4900119","8993648","4093529","683703",,"4888926","4888926","0","25860122","25717864","22916630",,"696250","2104984","142258","363011","11792789","48488670"
1999-01-01,"4787982","8726792","3938810","683703",,"4858341","4858341","0","25689907","25543047","22419998",,"963172","2159877","146860","379811","11734969","48134713"
1999-02-01,"4910965","8795998","3885033","688552",,"4907264","4907264","0","25802398","25653231","22333195",,"1072150","2247886","149167","386297","12081235","48776711"
1999-03-01,"4814578.0870000003","8669914.4100000001","3855336.3229999999","692188.88800000004",,"4860684.8959999997","4860684.8959999997","0","25910094","25758881","22400192",,"1087489","2271200","151213","388784.63299999997","11684035.902000001","48350366.406000003"
1999-04-01,"4937338.4690000005","8684749.5280000009","3747411.0589999999","703172.80700000003",,"4826391.0389999999","4826391.0389999999","0","25983286","25832132","22208633",,"1216696","2406803","151154","376604.15899999999","11513317.668000001","48340110.142000005"
1999-05-01,"5131715.3540000003","8673078.1809999999","3541362.827","706847.92799999996",,"4917264.1860000007","4917264.1860000007","0","25963422","25816000","22017652",,"1234820","2563528","147422","422543.70600000001","11808120.888","48949914.062000006"
1999-06-01,"5188543.1303999992","8754561.2263999991","3566018.0959999999","709298.00699999998",,"4794962.0279999999","4794962.0279999999","0","25982450","25837777","21827465",,"955637","3054675","144673","434440.67599999998","11319952.792000001","48429646.633400001"
1999-07-01,"5176676.1150000002","8723440.7589999996","3546764.6439999999","714198.16500000004",,"4895092.648","4895092.648","0","26237323","26090823","21924584",,"958604","3207635","146500","432292.25300000003","11401305.549999999","48856887.730999999"
1999-08-01,"5299691.2770000016","8825071.1900000013","3525379.9129999997","719098.397",,"4937441.199","4937441.199","0","26625117","26476450","22151005",,"1075547","3249898","148667","451568.24400000001","3020870.1940000001","41053786.311000004"
1999-09-01,"6038437.0540000014","9565015.3570000008","3526578.3029999998","722773.446",,"5033246.4289999995","5033246.4289999995","0","26737119","26588068","22030886",,"1382413","3174769","149051","508291.35399999999","3248093.6170000006","42287960.900000006"
1999-10-01,"5623979.1550000003","8976511.7870000005","3352532.6320000002","727673.60499999998",,"5349028.9509999994","5349028.9509999994","0","27024709","26875273","22364730",,"1303679","3206864","149436","576939.21","3382486.5479999995","42684816.468999997"
1999-11-01,"6367307.7410000004","9638186.1919999998","3270878.4509999999","730123.68500000006",,"5045754.6270000003","5045754.6270000003","0","27062882","26913572","22281744",,"1405317","3226511","149310","606907.94299999997","3562770.4509999994","43375746.447000004"
1999-12-01,"6567956.659","10087635.343","3519678.6839999999","732572.52399999998",,"4982201.2589999996","4982201.2589999996","0","26919177","26768524","22483985","0","1245008","3039531","150653","582097.45299999998","3696997.2940000007","43481002.189000003"
2000-01-01,"7160529.2739999993","10450381.029999999","3289851.7560000001","736247.63699999999",,"5118888.2860000003","5118888.2860000003","0","26727819","26577965","21768347","573454","1099957","3136207","149854","511820.35","3223952.29","43479256.836999997"
2000-02-01,"7111608.5639999993","10334113.311999999","3222504.7479999997","739922.75",,"5334339.6969999997","5334339.6969999997","0","26692207","26537286","21692484","417283","1249164","3178355","154921","518104.19799999997","3226804.4369999999","43622986.645999998"
