"MES","BCMP01","BCMP02","BCMP03","BCMP04","BCMP05","BCMP06","BCMP07","BCMP08","BCMP09","BCMP10","BCMP11","BCMP12","BCMP13","BCMP14","BCMP15","BCMP16","BCMP17","BCMP18","BCMP19","BCMP20","BCMP21","BCMP22","BCMP23","BCMP24","BCMP25","BCMP26","BCMP27","BCMP28","BCMP29","BCMP30","BCMP31","BCMP32","BCMP33","BCMP34","BCMP35","BCMP36","BCMP37","BCMP38","BCMP39","BCMP40","BCMP41","BCMP42","BCMP43","BCMP44","BCMP45","BCMP46","BCMP47","BCMP48"
1998-01-01,"1895416","3688863.6183799999","1089595.6183799999","2597000","2268",,"13274268","3010418","222726","2783381","4311",,"10093883","125927","9725042","242914",,"169967","41006","128735","226",,"4124624.3816200001","3261449.3816200001","1323886.3816200001",,"1512825","424738","103150","101032",,"0","2118","401458","264005",,"137453","0","358567","242683",,"115884","0","1298716","92258","3873864","10119252","4152422"
1998-02-01,"1923053","3682599.0031599998","1129265.0031600001","2550876","2458",,"13089176","2913872","206231","2702815","4826",,"9977604","126463","9653800","197341",,"197700","48915","148558","227",,"4045628.9968400002","3141848.9968400002","1183115.9968399999",,"1542400","416333","99535","97403",,"0","2132","411095","270379",,"140716","0","393150","277708",,"115442","0","1332061","95225","3804471","10021650","4169997"
1998-03-01,"1788754","3702531.7218900002","1022062.72189","2677972","2497",,"13532155","3006153","208439","2792657","5057",,"10292802","148760","9951438","192604",,"233200","43739","189307","154",,"4094405.2781100003","3150594.2781100003","1257847.2781100001",,"1461772","430975","119449","117301",,"0","2148","395222","260691",,"134531","0","429140","319718",,"109422","0","1334621","101935","3788498","10188784","4341951"
1998-04-01,"1930915","3871120.2149200002","1018501.2149199999","2850112","2507",,"13820458","3026804","197285","2826164","3355",,"10409214","165836","10078592","164786",,"384440","199383","181179","3878",,"3996848.7850799998","3110281.7850799998","1237671.7850800001",,"1457778","414832","129237","127078",,"0","2159","404978","280032",,"124946","0","352352","238679",,"113673","0","1376187","98112","3895461","10624992","4380840"
1998-05-01,"2014809.9269999999","3911048.6343799997","1030202.6343799999","2877208","3638",,"13758617.975234199","3072770","210130","2857778","4862",,"10429811","132741","10126342","170728",,"256036.97523420001","55011","188844.97523420001","12181",,"4169562.9226199999","3185501.8926200001","1254814.27462",,"1498430","432257.61800000002","135346.823","133173.31599999999",,"0","2173.5070000000001","455596.53","333827.64299999998",,"121768.887","0","393117.67700000003","288205.36800000002",,"104912.30899999999","0","1342061.598","100834.231","3855585.23","10637735.5067658","4278725.9139999999"
1998-06-01,"2037610.07","3903023.7149499999","1047261.7149500001","2852219","3543",,"13767362.125592399","3125155","221741","2897681","5733",,"10370055","138094","10062142","169819",,"272152.12559239997","50051","209875.1255924","12226",,"4089980.4630500004","3155040.1410500002","1217168.4640500001",,"1479642.355","458229.32199999999","140370.29399999999","138188.86900000001",,"0","2181.4250000000002","446836.97","325579.27399999998",,"121257.696","0","347733.05800000002","232260.50200000001",,"115472.556","0","1298586.8429999999","99235.717000000004","3809647.091","10800840.683407601","4527427.4069999997"
1998-07-01,"2153185","4267985.4964000005","1042219.4964000001","3224765","1001",,"14343648.136979301","3306747","237252","3067277","2218",,"10713917","147955","10385606","180356",,"322984.1369793","55978","254768.1369793","12238",,"4071570.5035999999","3197510.5035999999","1268799.5035999999",,"1478711","450000","93062","90867",,"0","2195","425391","304368",,"121023","0","355607","238629",,"116978","0","1330937","104116","3963462","11029928.863020699","4563408"
1998-08-01,"2112678","4326612.8600000003","1159119.8600000001","3165094","2399",,"14638579.209065801","3342483","234080","3105408","2995",,"10976025","162341","10656975","156709",,"320071.20906580001","45041","259479.20906580001","15551",,"4293690.1399999997","3210202.14","1255888.1399999999",,"1527390","426924","184000","181800",,"0","2200","474850","327826",,"147024","0","424638","314218",,"110420","0","1318422","107502","3884044","11140565.790934201","4584959"
1998-09-01,"2059299","4340016.4200499998","1124157.4200500001","3214747","1112",,"14718230.229774499","3393040","239851","3150116","3073",,"10982074","167947","10646184","167943",,"343116.22977450001","40212","287269.22977450001","15635",,"4102279.5799500002","3051123.5799500002","1335252.5799499999",,"1263321","452550","171908","169768",,"0","2140","475538","332937",,"142601","0","403710","286672",,"117038","0","1260223","114174","3900834","11407875.770225499","4887690"
1998-10-01,"2177278","4298050.0161100002","1184143.01611","3113880","27",,"14715468.998381101","3419440","244553","3164393","10494",,"10941972","143957","10652810","145205",,"354056.99838110001","41370","288582.99838110001","24104",,"4172231.9838899998","3184925.9838899998","1257448.98389",,"1465260","462217","197741","195587",,"0","2154","469674","340163",,"129511","0","319891","207397",,"112494","0","1293320","111882","3926038","11327740.001618899","4988664"
1998-11-01,"2075688.5319999999","4355707.1164800003","1186621.1164800001","3169080","6",,"14785970.6","3409588","243560","3161222","4806",,"10956420","139930","10663196","153294",,"419962.6","41314","351361.6","27287",,"4212658.4715200001","3225066.5405199998","1293789.6365199999",,"1458646.442","472630.462","202592.413","200429.976",,"0","2162.4369999999999","476295.10499999998","350403.27600000001",,"125891.829","0","308704.413","207303.94399999999",,"101400.469","0","1300196.2520000001","117666.753","3944073.4330000002","11495271.723999999","5085690.0030000005"
1998-12-01,"2418574","4158496","1092478","3066007","11",,"15123901.7495832","3578125","249617","3325725","2783",,"11140710","134335","10851888","154487",,"405066.74958319997","31546","346088.74958319997","27432",,"4135433","3259439","1242991",,"1528433","488015","177367","175193",,"0","2174","461660","335103",,"126557","0","236967","167528",,"69439","0","1323348","117774","4056933","12033222.2504168","5120988"
