"MES","BCCA01","BCCA02","BCCA03","BCCA04","BCCA05","BCCA06","BCCA07","BCCA08","BCCA09","BCCA10","BCCA11","BCCA12","BCCA13","BCCA14","BCCA15","BCCA16"
1998-01-01,"6037376","213227","4045986","1778163","652185",,"3373929","3373929","0","0","0","3029297","2628302","400995","8885880","21978667"
1998-02-01,"5773380","214018","4097273","1462089","654609",,"3408339","3408339","0","0","0","3245611","2855497","390114","8752161","21834100"
1998-03-01,"5832826","215602","4187157","1430067","659458",,"3317870","3317870","0","0","0","3143626","2765492","378134","8774674","21728454"
1998-04-01,"6052407","216790","4451485","1384132","663095",,"3268972","3268972","0","0","0","3078496","2751716","326780","8964364","22027334"
1998-05-01,"6458831.3300000001","1439471.308","3527599.824","1491760.1980000001","665519.61300000001",,"3340485.7439999999","3340485.7439999999","0","0","0","3205462.216","2873971.72","331490.49599999998","7777626.9009999996","21447925.803999998"
1998-06-01,"6461567.7220000001","1443680.406","3679406.236","1338481.08","667944.09629999998",,"3449919.7519999999","3449919.7519999999","0","0","0","3212399.8759999997","2850063.5219999999","362336.35399999999","7817795.4529999997","21609626.899300002"
1998-07-01,"6497045","1431316","3107291","1958438","670369",,"3555536","3555536","0","0","0","2987552","2637100","350452","8009264","21719766"
1998-08-01,"6650154","1351645","3385242","1913267","671581",,"3405364","3405364","0","0","0","2942253","2577159","365094","8173941.8499999996","21843293.850000001"
1998-09-01,"6425840","1471470","2694329","2260041","675218",,"3320838","3320838","0","0","0","3040561","2685530","355031","8333235","21795692"
1998-10-01,"6313889","1466762","2355533","2491594","677642",,"3388833","3388833","0","0","0","3125446","2750050","375396","8256197","21762007"
1998-11-01,"6360842.0759999994","1482754.63","2366254.6710000001","2511832.7749999999","680066.49",,"3365064.9309999999","3365064.9309999999","0","0","0","3248276.47","2867126.0839999998","381150.386","8450260","22104509.967"
1998-12-01,"6727461","1448640","3886932","1391889","683703",,"3566679","3566679","0","0","0","3089706","2726695","363011","8692721","22760270"
1999-01-01,"6522583","1427233","3066691","2028659","683703",,"3539770","3539770","0","0","0","3004057","2624246","379811","8582574","22332687"
1999-02-01,"6530810","1452080","3118926","1959804","688552",,"3672051","3672051","0","0","0","3075944","2689647","386297","8753236","22720593"
1999-03-01,"6321782.4100000001","1424826.929","2997646.503","1899308.9779999999","692188.88800000004",,"3597490.8960000002","3597490.8960000002","0","0","0","3044093.5090000001","2655308.8760000002","388784.63299999997","8515817.4130000006","22171373.116"
1999-04-01,"6157042.5279999999","1449723.037","2930369.2420000001","1776950.2490000001","703172.80700000003",,"3602835.0389999999","3602835.0389999999","0","0","0","3067147.642","2690543.483","376604.15899999999","8585697.2139999997","22115895.229999997"
1999-05-01,"6265713.1809999999","1383144.969","3026733.7949999999","1855834.4169999999","706847.92799999996",,"3630094.1860000002","3630094.1860000002","0","0","0","3325422.085","2902878.3790000002","422543.70600000001","8596510.2640000004","22524587.644000001"
1999-06-01,"6534921.2264","1358707.4950000001","3314713.2659999998","1861500.4654000001","709298.00699999998",,"3695724.0279999999","3695724.0279999999","0","0","0","3355022.2119999998","2920581.5359999998","434440.67599999998","8393826.8320000004","22688792.305399999"
1999-07-01,"6193153.7589999996","1325825.5209999999","2876347.0819999999","1990981.156","714198.16500000004",,"3857142.648","3857142.648","0","0","0","3295342.7250000001","2863050.4720000001","432292.25300000003","8391775.5289999992","22451612.825999998"
1999-08-01,"6313790.1900000004","1334366.7560000001","3087652.5660000001","1891770.868","719098.397",,"4013310.199","4013310.199","0","0","0","3342788.1329999999","2891219.889","451568.24400000001","403353.38799999998","14792340.307"
1999-09-01,"6991011.3569999998","1622317.6070000001","3447037.477","1921656.273","722773.446",,"3907787.429","3907787.429","0","0","0","3231665.1779999998","2723373.824","508291.35399999999","706328.53500000003","15559565.944999998"
1999-10-01,"6590947.7869999995","1576123.696","3177427.7289999998","1837396.362","727673.60499999998",,"4138698.9509999999","4138698.9509999999","0","0","0","3447861.6949999998","2870922.4849999999","576939.21","730191.772","15635373.809999999"
1999-11-01,"6563501.1919999998","1560072.3359999999","3314218.7340000002","1689210.122","730123.68500000006",,"4158728.6269999999","4158728.6269999999","0","0","0","3596599.74","2989691.7969999998","606907.94299999997","549377.94700000004","15598331.191000002"
1999-12-01,"7311574.3430000003","1554580.406","3318266.3569999998","2438727.58","732572.52399999998",,"4056974.2590000001","4056974.2590000001","0","0","0","3375461.4910000004","2793364.0380000002","582097.45299999998","719811.777","16196394.394000001"
2000-01-01,"7241372.0299999993","1538176.183","3855149.9070000001","1848045.94","736247.63699999999",,"4140834.2859999998","4140834.2859999998","0","0","0","3216547.4080000003","2704727.0580000002","511820.35","648486.99699999997","15983488.357999999"
2000-02-01,"7227225.3119999999","1576847.2849999999","3842134.5090000001","1808243.5179999999","739922.75",,"4347341.6969999997","4347341.6969999997","0","0","0","3223557.7829999998","2705453.585","518104.19799999997","619726.13100000005","16157773.673"
2000-03-01,"6960845.8620000007","1496391.7390000001","3652726.5610000002","1811727.5619999999","744822.9",,"4224254.5769999996","4224254.5769999996","0","0","0","3269755.0959999999","2731530.1570000001","538224.93900000001","661302.66500000004","15860981.100000001"
2000-04-01,"6807660.3870000001","1505138.601","2316198.7740000002","2986323.0120000001","748498.01300000004",,"4437606.6529999999","4437606.6529999999","0","0","0","3310449.1040000003","2781022.1529999999","529426.95100000012","613977.98","15918192.137"
2000-05-01,"6966133.0039999997","1496901.7379999999","2639813.2779999999","2829417.9879999999","752173.12600000005",,"4462504.4919999996","4462504.4919999996","0","0","0","3220114.9759999998","2732561.3489999999","487553.62699999998","599511.91399999999","16000437.512"
2000-06-01,"7068323.8870000001","1595629.3570000001","2779574.784","2693119.7459999998","755848.23899999994",,"4299558.5489999996","4299558.5489999996","0","0","0","3244481.0630000001","2727229.0329999998","517252.03","622520.40700000001","15990732.145000001"
2000-07-01,"6784014.3640000001","1538920.135","2590519.9849999999","2654574.2439999999","759523.35199999996",,"4501458.03","4501458.03","0","0","0","3190384.8310000002","2662528.1570000001","527856.674","650254.70400000003","15885635.280999999"
2000-08-01,"6766613.125","1518671.3659999999","2246078.1669999999","3001863.5920000002","770518.71499999997",,"4553513.4970000004","4553513.4970000004","0","0","0","3172134.5410000002","2643975.642","528158.89899999998","651644.49699999997","15914424.375000002"
2000-09-01,"6751790.3939999994","1545758.7220000001","2277061.122","2928970.55","775465.86600000004",,"4394780.6220000004","4394780.6220000004","0","0","0","2860018.2779999999","2383363.0219999999","476655.25599999999","984720.64899999998","15766775.809"
2000-10-01,"6749397.4910000004","1487690.6869999999","2354413.7740000002","2907293.03","779176.22900000005",,"4607161.2","4607161.2","0","0","0","2836927.4789999998","2362199.3489999999","474728.13","1000132.236","15972794.635000002"
2000-11-01,"6723111.29","1521735.183","2245342.0109999999","2956034.0959999999","784123.38",,"4634875.9730000002","4634875.9730000002","0","0","0","2808676.5010000002","2315896.483","492780.01799999998","975694.58499999996","15926481.728999998"
2000-12-01,"7398951.5280000009","1561780.6580000001","2629351.6460000002","3207819.2239999999","789070.53",,"4660548.5109999999","4660548.5109999999","0","0","0","2707238.0520000001","2224361.8110000002","482876.24099999998","998119.92500000005","16553928.546000004"
2001-01-01,"6697806.0669999998","1594536.534","1993558.1839999999","3109711.3489999999","792780.89300000004",,"4882438.4579999996","4882438.4579999996","0","0","0","2698538.6690000002","2242644.5240000002","455894.14500000002","1002347.727","16073911.813999999"
2001-02-01,"6760681.1629999997","1572345.0419999999","2028820.6440000001","3159515.477","795254.46900000004",,"4765669.034","4765669.034","0","0","0","2642180.716","2173629.466","468551.25","996674.33499999996","15960459.717"
