"MES","BCCP01","BCCP02","BCCP03","BCCP04","BCCP05","BCCP06","BCCP07","BCCP08","BCCP09","BCCP10","BCCP11","BCCP12","BCCP13","BCCP14","BCCP15","BCCP16","BCCP17","BCCP18","BCCP19","BCCP20","BCCP21","BCCP22","BCCP23","BCCP24","BCCP25","BCCP26","BCCP27","BCCP28","BCCP29","BCCP30","BCCP31","BCCP32"
1998-01-01,"1895416","2416870","2158942","257928","657406","1257190","-599784","92258","2602726","7515179","0","0","0","2818760","3980052","3116877","1179849",,"1512290","424738","103150","101032",,"2118","401458","264005",,"137453","358567","242683",,"115884"
1998-02-01,"1923053","2527099","2255184","271915","637701","1238342","-600641","95225","2566790","7365789","0","0","0","2820774","3897669","2993889","1035568",,"1541988","416333","99535","97403",,"2132","411095","270379",,"140716","393150","277708",,"115442"
1998-03-01,"1788754","2390016","2110857","279159","732426","1339081","-606655","101935","2480692","7353003","0","0","0","2941364","3940264","2996453","1104233",,"1461245","430975","119449","117301",,"2148","395222","260691",,"134531","429140","319718",,"109422"
1998-04-01,"1930915","2514524","2205259","309265","721656","1335641","-613985","98112","2498071","7504519","0","0","0","2978167","3781370","2894803","1022711",,"1457260","414832","129237","127078",,"2159","404978","280032",,"124946","352352","238679",,"113673"
1998-05-01,"2014809.9269999999","1486270.88","1217478.2819999999","268792.598","720790.3","1330334.878","-609544.57799999998","100834.231","2452804.23","7718680.5067657996","10993.975234200001","10993.975234200001","0","2885457.9139999999","4057283.5569999996","3073222.5269999998","1143008.909",,"1497956","432257.61800000002","135346.823","133173.31599999999",,"2173.5070000000001","455596.53","333827.64299999998",,"121768.887","393117.67700000003","288205.36800000002",,"104912.30899999999"
1998-06-01,"2037610.07","1660169.1329999999","1442032.29","218136.84299999999","696275.49","1295236.9240000001","-598961.43400000001","99235.717000000004","2395975.091","7772560.6834076","27936.125592399996","27936.125592399996","0","2932724.4070000001","3987140.1780000003","3052199.8560000001","1114791.179",,"1479179.355","458229.32199999999","140370.29399999999","138188.86900000001",,"2181.4250000000002","446836.97","325579.27399999998",,"121257.696","347733.05800000002","232260.50200000001",,"115472.556"
1998-07-01,"2153185","1428697","1191324","237373","674025","1289696","-615671","104116","2392381","8001120.8630207004","35255.136979299998","35255.136979299998","0","2965331","3965655","3091595","1163414",,"1478181","450000","93062","90867",,"2195","425391","304368",,"121023","355607","238629",,"116978"
1998-08-01,"2112678","1290373.2290000001","1067261.2290000001","223112","652782","1269665","-616883","107502","2391508","8126258.7909342004","48481.209065799994","48481.209065799994","0","2936139","4177572","3094084","1140277",,"1526883","426924","184000","181800",,"2200","474850","327826",,"147024","424638","314218",,"110420"
1998-09-01,"2059299","1126472","965614","160858","676537","1293080","-616543","114174","2425841","8214022.7702254998","105291.22977450001","105291.22977450001","0","3093688","3980367","2929211","1213901",,"1262760","452550","171908","169768",,"2140","475538","332937",,"142601","403710","286672",,"117038"
1998-10-01,"2177278","902102","708098","194004","783159","1443910","-660751","111882","2436701","8048958.0016189003","118575.9983811","118575.9983811","0","3140147","4043204","3055898","1131500",,"1462181","462217","197741","195587",,"2154","469674","340163",,"129511","319891","207397",,"112494"
1998-11-01,"2075688.5319999999","1079918.2520000001","906110","173808.25200000001","758315.00299999991","1425344.9839999999","-667029.98100000003","117666.753","2432049.4330000002","8222092.7240000004","131323.6","131323.6","0","3187072.003","4100383.5880000005","3112791.6570000001","1185827.753",,"1454333.442","472630.462","202592.413","200429.976",,"2162.4369999999999","476295.10499999998","350403.27600000001",,"125891.829","308704.413","207303.94399999999",,"101400.469"
1998-12-01,"2418574","1149852","992214","157638","729818","1418239","-688421","117774","2454840","8507150.2504168004","154390.7495832","154390.7495832","0","3220983","4006888","3130894","1119662",,"1523217","488015","177367","175193",,"2174","461660","335103",,"126557","236967","167528",,"69439"
1999-01-01,"2060518","1008667","858198","150469","727533","1385706","-658173","119352","2462003","8380610.1850540005","173683.81494599997","173683.81494599997","0","3236217","4164103","3255410","1376941",,"1370535","507934","180259","178282",,"1977","436663","313449",,"123214","291771","216652",,"75119"
1999-02-01,"2026411","1098092","969633","128459","701709","1367696","-665987","120975","2451633","8546604.3244800009","186323.67551999999","186323.67551999999","0","3305657","4283188","3313667","1430022",,"1383460","500185","176103","175086",,"1017","443696","319669",,"124027","349722","263445",,"86277"
1999-03-01,"1988254.2930000001","1034215.769","885339.38699999999","148876.38200000001","673058.32300000009","1337516.0360000001","-664457.71299999999","125575.219","2426181.75","8340856.1937071998","200176.4502928","200176.4502928","0","3326012.0720000002","4057043.04","3196209.3109999998","1238180.4990000001",,"1483676.983","474351.82900000003","187590.86300000001","186568.39600000001",,"1022.467","398635.92499999999","280592.41800000001",,"118043.507","274606.94099999999","185019.56899999999",,"89587.372000000003"
