"MES","BCPA01","BCPA02","BCPA03","BCPA04","BCPA05","BCPA06","BCPA07","BCPA08","BCPA09","BCPA10","BCPA11","BCPA12","BCPA13","BCPA14","BCPA15"
1998-01-01,"3276460","70293","2096895","1109272","708455","20846195","20714275","17972143",,"734158","2007974","131920","1836949","2752994","29421053"
1998-02-01,"3407470","76059","2205325","1126086","624651","21077122","20951887","18119019",,"836829","1996039","125235","1648210","2827316","29584769"
1998-03-01,"3425513","65462","2054142","1305909","622332","21480126","21353543","18566789",,"810855","1975899","126583","1810242","2813379","30151592"
1998-04-01,"3541130","70662","2109891","1360577","634470","22132372","22005280","19180811",,"836717","1987752","127092","1689186","3286890","31284048"
1998-05-01,"2438046","202057","1176189","1059800","1465752","22582619","22457659","19584049",,"863533","2010077","124960","1609768","2976233","31072418"
1998-06-01,"2332242","181208","1156718","994316","1457618","23014174","22888863","20057439",,"835110","1996314","125311","1352654","3033222","31189910"
1998-07-01,"2534471","229367","1164591","1140513","1987764","23525406","23399932","20503492",,"888898","2007542","125474","1342717","2779665","32170023"
1998-08-01,"2293624","212375","1028846","1052403","1942268","23977209","23834966","20875358",,"914917","2044691","142243","1619768","2755916","32588785"
1998-09-01,"2392839","201484","983886","1207469","1940080","24511812","24363707","21310956",,"951412","2101339","148105","1484340","2783607","33112678"
1998-10-01,"2206538","239127","752249","1215162","2176834","24919017","24776112","21776700",,"847572","2151840","142905","1418806","2416331","33137526"
1998-11-01,"2123084","213600","852691","1056793","2037006","25359315","25219088","22122697",,"932307","2164084","140227","1398620","2504462","33422487"
1998-12-01,"2250414","225687","1052989","971738","2266187","25860122","25717864","22916630",,"696250","2104984","142258","1322247","2476740","34175710"
1999-01-01,"2266308","189779","991345","1085184","2204209","25689907","25543047","22419998",,"963172","2159877","146860","1318571","2472821","33951816"
1999-02-01,"2401942","204363","1056451","1141128","2265188","25802398","25653231","22333195",,"1072150","2247886","149167","1235213","2605389","34310130"
1999-03-01,"2325658","203737","1004186","1117735","2348132","25910094","25758881","22400192",,"1087489","2271200","151213","1263194","2475289","34322367"
1999-04-01,"2172018","189267","834338","1148413","2527707","25983286","25832132","22208633",,"1216696","2406803","151154","1223556","2252768","34159335"
1999-05-01,"2403614","249839","980526","1173249","2407365","25963422","25816000","22017652",,"1234820","2563528","147422","1287170","2799210","34860781"
1999-06-01,"2416242","195380","892359","1328503","2219640","25982450","25837777","21827465",,"955637","3054675","144673","1099238","2826138","34543708"
1999-07-01,"2491349","202857","859239","1429253","2530287","26237323","26090823","21924584",,"958604","3207635","146500","1037950","2717644","35014553"
1999-08-01,"2723479","204485","1002211","1516783","2511281","26625117","26476450","22151005",,"1075547","3249898","148667","924131","2558741","35342749"
