"MES","BCPP01","BCPP02","BCPP03","BCPP04","BCPP05","BCPP06","BCPP07","BCPP08","BCPP09","BCPP10","BCPP11","BCPP12","BCPP13","BCPP14","BCPP15","BCPP16","BCPP17","BCPP18","BCPP19","BCPP20","BCPP21","BCPP22","BCPP23","BCPP24","BCPP25","BCPP26","BCPP27","BCPP28","BCPP29","BCPP30","BCPP31","BCPP32","BCPP33","BCPP34"
2000-01-01,"20308240","3848472","1029231","2819229","12",,"16459768","3975649","224437","3748575","2637",,"12246295","133691","11983677","128927",,"237824","44095","192574","1155",,"5690501","3153929","1015162","1521410","109812","100549","9263","0","2657632","1569524","4798280","1535371"
2000-02-01,"20227216","3800520","1013903","2786605","12",,"16426696","4043281","265417","3775786","2078",,"12111984","133558","11848708","129718",,"271431","43884","226386","1161",,"5819367","3145288","1140259","1533820","118482","109445","9037","0","2519750","1506290","4925181","1543353"
2000-03-01,"20292911.199999999","3780074.2","996732.8","2783329.4","12",,"16512837","3996703","259931","3735699","1073",,"12262719","134913","11996452","131354",,"253415","38480","213766","1169",,"5909823","3125087","1229862","1554874","122790.2","112334.7","10455.5","0","2505097.5","1587132.1","5117942","1517587.2"
2000-04-01,"20393304.900000002","3981092.9","1014298.6","2966782.1","12.2",,"16412212.000000002","3959868.3","229211","3729582","1075.3",,"12215939.600000001","127015.9","11964810.800000001","124112.9",,"236404.1","42424","192806.1","1174",,"5967164.1999999993","3143143.1","1275432.7","1548588.4","189972.3","174089","15883.3","0","2590234.2999999998","1408008","5121495.2","1511580.5"
2000-05-01,"20336419","3901049","1052050","2848987","12",,"16435370","4000257","256238","3742938","1081",,"12176866","107879","11948662","120325",,"258247","36441","220626","1180",,"5730763","3082817","1180875","1467071","119952","104457","15495","0","2373298","1330513","5086418","1509692"
2000-06-01,"20124066","3621524","868873","2752651","0",,"16502542","3962233","270526","3690594","1113",,"12280036","132788","12028704","118544",,"260273","36505","222583","1185",,"5609523","3056925","1115022","1437576","107813","97014","10799","0","2438154","1184719","5208415","1552089"
2000-07-01,"20419844","3868779","1020323","2848456","0",,"16551065","4075775","268097","3806559","1119",,"12186664","137239","11929688","119737",,"288626","46858","240910","858",,"5676819","3078362","1127164","1471293","145940","134808","11132","0","2296704","1230180","5393663","1562718"
2000-08-01,"20471852","3912986","968403","2944583","0",,"16558866","4133183","267253","3865930","0",,"12194446","136794","11936983","120669",,"231237","36251","194167","819",,"5584702","3009886","1199382","1375434","99080","88842","10238","0","2204338","1240417","5450522","1534569"
2000-09-01,"20478717","3829876","1011744","2818132","0",,"16648841","4256200","260565","3995635","0",,"12159588","132303","11911503","115782",,"233053","38840","193389","824",,"5985554","3380855","1225277","1379422","115102","104638","10464","0","1978578","1206186","5726316","1457056"
2000-10-01,"20148666","3779723","906455","2873268","0",,"16368943","4149975","223437","3926538","0",,"12010525","132501","11757861","120163",,"208443","42339","165292","812",,"5941495","3337601","1220568","1383326","119815","109709","10106","0","1896968","1176924","5496189","1512871"
2000-11-01,"20181594","3961136","933912","3027224","0",,"16220458","4156034","241727","3914307","0",,"11863986","126159","11625050","112777",,"200438","38507","161114","817",,"5950286","3318800","1250906","1380580","105064","94050","11014","0","1930235","1074314","5772329","1443148"
2000-12-01,"20792659","4230588","1111815","3118773","0",,"16562071","4515872","284788","4231084","0",,"11855569","120212","11619586","115771",,"190630","38099","151709","822",,"5849348","3308316","1194683","1346349","116307","105422","10885","0","1868571","1079264","5790234","1410867"
2001-01-01,"20733285","4189089","1004639","3184450","0",,"16544196","4509098","252376","4256722","0",,"11834592","130169","11587481","116942",,"200506","38677","161003","826",,"5585983","3302579","950447","1332957","114350","101736","12614","0","1576787","1116470","5686758","1361286"
2001-02-01,"21615798","4440924","1254591","3186333","0",,"17174874","4551892","238499","4313393","0",,"12398967","140975","12140874","117118",,"224015","40873","182314","828",,"5491946","3223480","932368","1336098","134985","122445","12540","0","1405759","1097166","5815395","1411297"
2001-03-01,"21377417","4417107","1117603","3299504","0",,"16960310","4550928","257640","4293288","0",,"12184534","133253","11935912","115369",,"224848","41609","182405","834",,"5460698","3199606","936293","1324799","106201","92665","13536","0","1161410","1095506","5913665","1406919"
2001-04-01,"21102262","4087185","1032318","3054867","0",,"17015077","4409850","231091","4178759","0",,"12339242","131042","11910169","298031",,"265985","83913","181234","838",,"5473789","3208828","954449","1310512","242591","229807","12784","0","1063483","1067414","5941159","1325467"
2001-05-01,"21518351","4396899","1000171","3396728","0",,"17121452","4657056","252101","4404955","0",,"12255836","133046","11831168","291622",,"208560","40804","166912","844",,"5482190","3204165","979687","1298338","102378","89119","13259","0","1002383","1047499","5966338","1333313"
2001-06-01,"21258946","4537092","969417","3567675","0",,"16721854","4531907","247506","4284401","0",,"11959493","118291","11547685","293517",,"230454","53212","176394","848",,"5517849","3316910","905668","1295271","91369","77883","13486","0","936023","1000292","5987641","1341721"
2001-07-01,"20951147","4362324","1095419","3266905","0",,"16588823","4577095","257384","4319711","0",,"11799717","107647","11412611","279459",,"212011","45849","165306","856",,"5434054","3231623","895135","1307296","107041","93042","13999","0","802572","1040630","6112637","1350490"
2001-08-01,"21112890","4787090","1126907","3660183","0",,"16325800","4739045","273120","4465925","0",,"11386735","104067","11001398","281270",,"200020","37094","162065","861",,"5360966","3216725","820296","1323945","90021","77603","12418","0","715945","1022769","6119179","1295234"
2001-09-01,"20981117","4675125","1024809","3650316","0",,"16305992","4690958","271186","4419772","0",,"11398737","113857","10924121","360759",,"216297","48831","166600","866",,"5505517","3215619","874268","1415630","80776","79965","811","0","658328","1006269","6185588","1332814"
2001-10-01,"21099484","4802705","1097901","3704804","0",,"16296779","4878109","254533","4623576","0",,"11202673","134300","10563045","505328",,"215997","39008","176115","874",,"5906464","3246055","905558","1754851","65564","64730","834","0","567661","973112","6207767","1342810"
2001-11-01,"21238469","4996271","1052866","3943405","0",,"16242198","5342072","283142","5058930","0",,"10681564","123118","10152073","406373",,"218562","45163","172522","877",,"6071783","3202808","891399","1977576","116322","80144","36178","0","483470","966520","6226441","1374682"
2001-12-01,"21417553","5133629","1309999","3823630","0",,"16283924","5522097","387463","5134634","0",,"10561365","94192","10069295","397878",,"200462","43192","156393","877",,"6626600","3213587","958544","2454469","138654","80380","58274","0","527266","936800","6295832","1322062"
2002-01-01,"21384458","5405540","1122206","4283334","0",,"15978918","5708305","267522","5440783","0",,"10077625","95877","9579111","402637",,"192988","44655","147445","888",,"6567528","3215012","920817","2431699","68437","67755","682","0","331481","877633","6358016","1330697"
2002-02-01,"21160547","5433493","1139008","4294485","0",,"15727054","5581606","254376","5327230","0",,"9941726","93740","9432310","415676",,"203722","43056","159769","897",,"6619810","3231411","911020","2477379","74414","73916","498","0","242380","847342","6370235","1353170"
2002-03-01,"20730773","4961825","1006916","3954909","0",,"15768948","5541556","242890","5298666","0",,"10036754","99010","9533737","404007",,"190638","37165","152570","903",,"6907422","3305149","1080334","2521939","60973","60414","559","0","197623","836943","6467569","1370119"
2002-04-01,"20816086","5118575","989291","4129284","0",,"15697511","5497318","235697","5261621","0",,"9989567","99544","9460091","408212","21720","210626","46887","162832","907",,"6859518","3241522","1115400","2502596","246834","246373","461","0","171813","809711","6662817","1341301"
2002-05-01,"20391122","4995544","973143","4022401","0",,"15395578","5351920","262891","5089029","0",,"9827650","95901","9292777","392687","46285","216008","40727","174370","911",,"6667044","3219482","960989","2486573","80496","79604","892","0","267898","800839","6635896","1378120"
2002-06-01,"19996625","5144976","1084845","4060131","0",,"14851649","5137893","246430","4891463","0",,"9494783","92501","8998130","381276","22876","218973","39985","178067","921",,"6795694","3371840","893209","2530645","65070","64556","514","0","519929","793121","7016672","1451783"
