"MES","BCYA01","BCYA02","BCYA03","BCYA04","BCYA05","BCYA06","BCYA07","BCYA08","BCYA09","BCYA10","BCYA11","BCYA12","BCYA13","BCYA14","BCYA15"
2014-07-01,"1139241.6467299999","144858.71219999998","404007.34828999999","590375.58623999998","358199.1777","6789129.619930001","6788332.6211800007","6700429.1318899998","0","43816.235809999998","44087.253479999999","796.99875000000009","37706.128079999995","350651.0567800001","8674927.6292200014"
2014-08-01,"1181246.7949999999","142924.30460000003","417222.51668","621099.97372000001","396865.27126999997","6851992.6170000006","6851195.6182500003","6752644.1259399997","0","50049.472499999996","48502.019809999991","796.99875000000009","36865.209329999998","348449.19658999983","8815419.0891899988"
2014-09-01,"1314735.79804","130304.60139999999","518513.88383000001","665917.31281000003","410590.65573999996","6931926.3569700019","6931129.3582200017","6832282.8047000011","0","47235.893430000011","51610.660089999998","796.99875000000009","36718.661310000003","345554.13902000012","9039525.611080002"
2014-10-01,"1289289.5159400001","128655.72990000001","536079.13550000009","624554.65053999994","413720.37219999998","7010879.5395600013","7010082.5408100011","6914586.8016800014","0","42284.173489999994","53211.565640000015","796.99875000000009","36789.396500000003","353023.79003000003","9103702.6142300032"
2014-11-01,"1158854.7277600002","132808.71290000001","481168.99795999995","544877.01690000005","390759.40215999994","7079873.1124400012","7079076.113690001","6979236.9562100014","0","42518.639639999994","57320.51784","796.99875000000009","36632.377759999996","350529.04102999991","9016648.661150001"
2014-12-01,"1168206.6330899999","144383.06929999997","425146.46031999995","598677.10346999997","414194.44743000006","7163335.34473","7162538.3459799998","7066800.6672499999","0","36153.330420000006","59584.348310000001","796.99875000000009","36912.202880000004","351441.72134000016","9134090.3494700007"
2015-01-01,"1274042.82259","146005.47200000001","422983.87490999995","705053.47567999992","376723.42021000001","7178585.6687600007","7177788.6700100005","7075622.9138300009","0","37590.303469999999","64575.452709999998","796.99875000000009","36501.505770000003","354810.08110000007","9220663.4984300006"
2015-02-01,"1541427.7887299997","142157.85830000002","555045.00911999983","844224.92131000001","374320.37657999998","6937260.8609099993","6936463.8621599991","6810993.3283599997","0","55879.235399999998","69591.2984","796.99875000000009","35227.893990000004","347272.03630000004","9235508.9565099999"
2015-03-01,"1385439.4119500001","144222.9731","569138.38510000007","672078.05374999996","328769.53544000001","6995330.2096499996","6994522.9208999993","6874922.2968799993","0","45310.390180000002","74290.233840000001","807.28875000000005","36617.620450000002","357368.25121000002","9103525.0286999997"
2015-04-01,"1190818.1601499999","138569.49530000001","447304.97437999997","604943.69047000003","354038.65346999996","7060602.461050001","7059795.1723000007","6928100.0817499999","0","54357.143329999999","77337.947220000002","807.28875000000005","38049.936240000003","355857.42189000011","8999366.6328000017"
2015-05-01,"1285964.8006700003","141070.6581","467971.0729700001","676923.06960000005","351960.35829999996","7116418.0563300019","7115610.7675800016","6986855.1747400016","0","50904.315009999998","77851.277830000006","807.28875000000005","38967.221490000004","361510.49458000006","9154820.9313700013"
2015-06-01,"1285363.37714","139213.20119999998","490253.41620999994","655896.75973000005","356650.73621","7201191.1090799998","7200383.8203299996","7070764.0965199992","0","50300.70618999999","79319.017619999999","807.28875000000005","37876.989710000002","353256.49502999987","9234338.7071699984"
2015-07-01,"1303058.9304900002","136191.927","466665.54248000006","700201.46100999997","338340.51655000006","7254294.4587500002","7253487.1699999999","7133620.06128","0","37763.503490000003","82103.605229999986","807.28875000000005","37928.69","361746.81640999991","9295369.4122000001"
2015-08-01,"1275609.7435700002","150314.6839","553778.61352000013","571516.44614999997","386548.00715999992","7313658.6407199977","7312851.3519699974","7184948.0559499981","0","44337.761989999999","83565.534029999981","807.28875000000005","37715.237299999993","352584.6160000001","9366116.2447499968"
2015-09-01,"1173913.2344499999","152259.55561000001","384199.08343999996","637454.59539999999","380090.02757999999","7400127.43346","7399402.9311899999","7273493.5633200007","0","38564.68103","87344.686839999995","724.50227000000007","37034.422850000003","355603.33260999998","9346768.4509499986"
2015-10-01,"1125670.0370800002","145210.34841000001","428450.77549000003","552008.91318000003","361434.28716000001","7505153.0484999996","7504428.5462299995","7369716.2352599995","0","41738.611730000004","92973.699240000031","724.50227000000007","35819.267850000004","357710.66830000002","9385787.30889"
2015-11-01,"1055107.64885","137216.86931000001","413578.34821999993","504312.43131999997","369654.22923","7550896.6589000011","7550167.2319000009","7407865.890110001","0","45486.55092999999","96814.790860000008","729.42700000000002","34474.133630000004","358762.22957000002","9368894.9001800008"
2015-12-01,"1096366.1680399999","153092.53231000001","408395.23551000003","534878.40021999995","401947.10973000003","7573685.0778999999","7572955.7736299997","7437917.27018","0","43161.160969999997","91877.342479999992","729.30427000000009","33034.221179999993","358743.81773999991","9463776.3945899997"
