"MES","BCYP01","BCYP02","BCYP03","BCYP04","BCYP05","BCYP06","BCYP07","BCYP08","BCYP09","BCYP10","BCYP11","BCYP12","BCYP13","BCYP14","BCYP15","BCYP16","BCYP17","BCYP18","BCYP19","BCYP20","BCYP21","BCYP22","BCYP23","BCYP24","BCYP25","BCYP26","BCYP27","BCYP28","BCYP29","BCYP30","BCYP31"
2014-07-01,"6353094.0223500002","72604.368090000004","57498.279500000004","15106.088589999999","0","1718154.39344","1426537.9799500001","291543.67058999994","0","72.742899999999992","4180165.5518","3635794.8133999999","544135.02951000002","0","235.70889","382169.70902000007","70537.049339999998","311632.65968000004","0","629949.72057999996","0","548456.97272999992","81492.74785","5351.0480499999994","5333.9167099999995","17.131340000000002","0","0","127981.72818999999","755424.01882","803127.09133999993"
2014-08-01,"6498085.2302700002","73004.662259999997","57871.794669999996","15132.86759","0","1720906.8449299999","1430348.8626599999","290484.80580999993","0","73.176460000000006","4323194.7687400011","3773746.1556600002","549211.58844000008","0","237.02464000000001","380978.95434","68560.04234","312418.91200000001","0","574386.40934000001","0","495065.41149000003","79320.99785","5238.2783700000018","5222.0185200000014","16.25985","0","0","147990.06155000001","780092.2938300001","809626.81589999993"
2014-09-01,"6671496.3599700006","73092.32031000001","57841.770720000008","15250.549590000001","0","1712474.6111300001","1421682.7053100001","290718.33786000003","0","73.567959999999999","4503491.01822","3941060.7858500001","562191.84648000007","0","238.38589000000002","382438.41030999995","68111.7647","314326.64560999995","0","581157.23388999992","0","503074.84446999995","78082.389419999992","5252.8207299999995","5220.6556299999993","32.165099999999995","0","0","158280.06155000001","804275.69629000011","819063.43871999998"
2014-10-01,"6738031.3198699998","71209.709499999997","55046.913220000002","16162.796279999999","0","1732969.9173399999","1431616.43879","301311.28110999998","0","42.19744","4605285.30265","4039965.8182299994","565080.13585000008","0","239.34857","328566.39038","66669.917149999994","261896.47323","0","565473.26151999994","0","488217.25816999993","77256.003349999999","5585.9410800000005","5567.6764000000003","18.264680000000002","0","0","143416.72819999998","823223.33007000003","827972.03345999995"
2014-11-01,"6619231.4168900009","83264.626090000005","66614.057119999998","16650.56897","0","1534682.8825600001","1241952.5997500001","292701.46489","0","28.817920000000001","4655006.2880300004","4108319.0942600002","546447.13721000007","0","240.05655999999999","346277.62021000002","82179.786770000006","264097.83344000002","0","562906.77882999997","0","487013.27548000001","75893.503349999999","6782.334609999999","6763.3808399999989","18.953769999999999","0","0","141968.50597999999","848821.33624999993","836938.28863999993"
2014-12-01,"6739280.6588399997","88192.299959999989","68565.130569999994","19627.169389999999","0","1518641.30648","1222277.7993999999","296347.59393999993","0","15.91314","4791141.8875899995","4249397.8451299993","541520.17682000005","0","223.86564000000001","341305.16480999999","82281.72421","259023.4406","0","575934.50502000004","0","500478.50167000003","75456.003349999999","5674.2878899999996","5659.2142699999995","15.07362","0","0","140097.59875999999","816600.0656999998","856503.23310999991"
2015-01-01,"6825256.9775799997","105176.57282","82862.878889999993","22313.693930000005","0","1450888.4177800003","1163900.0163800002","286984.86187999998","0","3.53952","4923883.7385","4407905.8277200004","515753.17801999999","0","224.73276000000001","345308.24847999995","83119.771529999998","262188.47694999998","0","576001.17355999991","0","503170.17020999995","72831.003349999999","6982.9459900000002","6960.7199300000002","22.22606","0","0","119357.07468999999","829045.18530999962","864020.14119999995"
2015-02-01,"6855546.7469699997","128435.00292000001","104287.61708000001","24147.385839999999","0","1431347.5677399999","1146043.1176499999","285301.57149","0","2.8786","4950486.7231599996","4447464.3539699996","502796.60151999997","0","225.76767000000001","345277.45315000002","83773.679510000002","261503.77364","0","561451.74734","0","490792.49398999999","70659.253349999999","14206.021809999998","14179.407549999998","26.614259999999998","0","0","125645.40805000001","866327.1287799998","812331.9034999999"
2015-03-01,"6736727.3943799986","130773.73871999999","112403.26354","18370.475180000001","0","1405092.2645699999","1135471.89717","269618.07671000005","0","2.2906900000000001","4854937.6214699987","4336341.3934199987","518369.39653999999","0","226.83151000000001","345923.76962000004","83684.419309999997","262239.35031000001","0","568537.56371000002","0","499116.91878000007","69420.644929999995","14516.25726","14491.92505","24.33221","0","0","120500.40805000001","840941.11872000003","822302.28649999981"
2015-04-01,"6666902.4300899999","120907.72571","100025.59045","20882.135259999999","0","1378837.3342699998","1113003.4892899999","265831.54506000003","0","2.2999200000000002","4820543.8049500007","4334022.4331400003","486521.37180999998","0","0","346613.56516","82280.156839999996","264333.40831999999","0","581434.35849999997","0","502550.09964000003","78884.258859999987","7725.9083799999999","7693.7100099999998","32.198369999999997","0","0","114783.74127000001","801001.18933000008","827519.00485000014"
