"MES","BCSA01","BCSA02","BCSA03","BCSA04","BCSA05","BCSA06","BCSA07","BCSA08","BCSA09","BCSA10","BCSA11","BCSA12","BCSA13","BCSA14"
1998-01-01,"444","0","4","440","9442","92030","91128","28","0","91100","902","0","182446","284362"
1998-02-01,"444","0","4","440","9478","92370","91464","28","0","91436","906","0","182794","285086"
1998-03-01,"444","0","4","440","9548","93049","92137","28","0","92109","912","0","183492","286533"
1998-04-01,"444","0","4","440","9601","93559","92642","29","0","92613","917","0","184015","287619"
1998-05-01,"444","0","4","440","9635","93900","92979","29","0","92950","921","0","184364","288343"
1998-06-01,"444","0","4","440","9671","94239","93315","29","0","93286","924","0","184713","289067"
1998-07-01,"444","0","4","440","9671","94239","93315","29","0","93286","924","0","184713","289067"
1998-08-01,"444","0","4","440","9723","94749","93820","29","0","93791","929","0","185237","290153"
1998-09-01,"444","0","4","440","9775","95258","94324","29","0","94295","934","0","185761","291238"
1998-10-01,"444","0","4","440","9811","95597","94660","29","0","94631","937","0","186109","291961"
1998-11-01,"444","0","4","440","9845","95938","94997","29","0","94968","941","0","186458","292685"
1998-12-01,"444","0","4","440","9898","96447","95501","29","0","95472","946","0","186982","293771"
1999-01-01,"444","0","4","440","9898","96447","95501","29","0","95472","946","0","186982","293771"
1999-02-01,"444","0","4","440","9968","97127","96175","30","0","96145","952","0","187679","295218"
1999-03-01,"444","0","4","440","10021","97636","96679","30","0","96649","957","0","188203","296304"
1999-04-01,"444","0","4","440","10074","98146","97184","30","0","97154","962","0","188725","297389"
1999-05-01,"444","0","4","440","10127","98655","97688","30","0","97658","967","0","189249","298475"
1999-06-01,"444","0","4","440","10161","98995","98024","30","0","97994","971","0","189599","299199"
1999-07-01,"444","0","4","440","10232","99674","98697","30","0","98667","977","0","190296","300646"
1999-08-01,"444","0","4","440","10303","100354","99370","31","0","99339","984","0","190992","302093"
1999-09-01,"444","0","4","440","10354","100864","99875","31","0","99844","989","0","191517","303179"
1999-10-01,"444","0","4","440","10425","101544","100548","31","0","100517","996","0","192214","304627"
1999-11-01,"444","0","4","440","10460","101883","100884","31","0","100853","999","0","192563","305350"
1999-12-01,"444","0","4","440","10496","102222","101220","31","0","101189","1002","0","192912","306074"
2000-01-01,"444","0","4","440","10548","102732","101725","31","0","101694","1007","0","193435","307159"
2000-02-01,"444","0","4","440","10600","103242","102230","32","0","102198","1012","0","193959","308245"
2000-03-01,"444","0","4","440","10670","103922","102903","32","0","102871","1019","0","194657","309693"
2000-04-01,"443.7","0","3.8","439.9","10723.4","104430.9","103407","31.9","0","103375.1","1023.9","0","195180.1","310778.09999999998"
2000-05-01,"444","0","4","440","10776","104941","103912","32","0","103880","1029","0","195703","311864"
2000-06-01,"444","0","4","440","10829","105450","104416","32","0","104384","1034","0","196226","312949"
2000-07-01,"444","0","4","440","10882","105959","104920","32","0","104888","1039","0","196750","314035"
2000-08-01,"444","0","4","440","10934","106470","105426","33","0","105393","1044","0","197272","315120"
2000-09-01,"444","0","4","440","11005","107149","106098","33","0","106065","1051","0","197970","316568"
2000-10-01,"444","0","4","440","11057","107659","106603","33","0","106570","1056","0","198494","317654"
2000-11-01,"444","0","4","440","11127","108338","107276","33","0","107243","1062","0","199192","319101"
2000-12-01,"444","0","4","440","11198","109017","107948","33","0","107915","1069","0","199889","320548"
2001-01-01,"444","0","4","440","11250","109527","108453","33","0","108420","1074","0","200413","321634"
2001-02-01,"444","0","4","440","11285","109867","108790","34","0","108756","1077","0","200762","322358"
2001-03-01,"444","0","4","440","11355","110546","109462","34","0","109428","1084","0","201460","323805"
2001-04-01,"444","0","4","440","11408","111056","109967","34","0","109933","1089","0","201983","324891"
2001-05-01,"444","0","4","440","11495","111905","110808","34","0","110774","1097","0","202856","326700"
2001-06-01,"444","0","4","440","11548","112414","111312","34","0","111278","1102","0","203380","327786"
2001-07-01,"444","0","4","440","11654","113434","112322","35","0","112287","1112","0","204425","329957"
2001-08-01,"444","0","4","440","11724","114114","112995","35","0","112960","1119","0","205122","331404"
2001-09-01,"444","0","4","440","11794","114793","113667","35","0","113632","1126","0","205821","332852"
2001-10-01,"444","0","4","440","11899","115812","114676","35","0","114641","1136","0","206867","335022"
2001-11-01,"444","0","4","440","11952","116323","115182","36","0","115146","1141","0","207390","336109"
2001-12-01,"444","0","4","440","11952","116323","115182","36","0","115146","1141","0","207390","336109"
2002-01-01,"444",,"4","440","12092","117681","116527","36","0","116491","1154","0","208786","339003"
2002-02-01,"444",,"4","440","12215","118870","117704","36","0","117668","1166","0","210007","341536"
2002-03-01,"444",,"4","440","12303","119720","118546","37","0","118509","1174","0","210880","343347"
2002-04-01,"444","0","4","440","12356","120229","119050","37","0","119013","1179","0","211402","344431"
2002-05-01,"444","0","4","440","12408","120738","119554","37","0","119517","1184","0","211927","345517"
2002-06-01,"444","0","4","440","12549","122097","120900","37","0","120863","1197","0","213322","348412"
2002-07-01,"444","0","4","440","12671","123287","122078","38","0","122040","1209","0","214543","350945"
2002-08-01,"444","0","4","440","12777","124306","123087","38","0","123049","1219","0","215589","353116"
2002-09-01,"444","0","4","440","12865","125154","123927","38","0","123889","1227","0","216462","354925"
2002-10-01,"444","0","4","440","12952","126005","124769","39","0","124730","1236","0","217334","356735"
2002-11-01,"444","0","4","440","13040","126854","125610","39","0","125571","1244","0","218206","358544"
2002-12-01,"444","0","4","440","13128","127703","126451","39","0","126412","1252","0","219078","360353"
2003-01-01,"444","0","4","440","13216","128552","127291","39","0","127252","1261","0","219951","362163"
2003-02-01,"444","0","4","440","13251","128892","127628","39","0","127589","1264","0","220300","362887"
2003-03-01,"444","0","4","440","13303","129402","128133","40","0","128093","1269","0","220823","363972"
2003-04-01,"444","0","4","440","13321","129572","128301","40","0","128261","1271","0","220998","364335"
2003-05-01,"444","0","4","440","13356","129912","128638","40","0","128598","1274","0","221346","365058"
2003-06-01,"444","0","4","440","13409","130421","129142","40","0","129102","1279","0","221869","366143"
2003-07-01,"444","0","4","440","13461","130930","129646","40","0","129606","1284","0","222394","367229"
2003-08-01,"444","0","4","440","13532","131610","130319","40","0","130279","1291","0","223090","368676"
2003-09-01,"444","0","4","440","13566","131949","130655","40","0","130615","1294","0","223440","369399"
2003-10-01,"444","0","4","440","13602","132290","130993","41","0","130952","1297","0","223788","370124"
2003-11-01,"444","0","4","440","13637","132630","131329","41","0","131288","1301","0","224136","370847"
2003-12-01,"444","0","4","440","13725","133479","132170","41","0","132129","1309","0","225009","372657"
2004-01-01,"444","0","4","440","13759","133818","132506","41","0","132465","1312","0","225359","373380"
2004-02-01,"444","0","4","440","13777","133988","132674","41","0","132633","1314","0","225533","373742"
2004-03-01,"444","0","4","440","13830","134498","133179","41","0","133138","1319","0","226056","374828"
2004-04-01,"444","0","4","440","13848","134668","133347","41","0","133306","1321","0","226230","375190"
2004-05-01,"444","0","4","440","13865","134837","133515","41","0","133474","1322","0","226405","375551"
2004-06-01,"444","0","4","440","13900","135177","133851","41","0","133810","1326","0","226754","376275"
2004-07-01,"444","0","4","440","13918","135347","134020","42","0","133978","1327","0","226928","376637"
2004-08-01,"444","0","4","440","13971","135857","134525","42","0","134483","1332","0","227451","377723"
2004-09-01,"444","0","4","440","14005","136197","134861","42","0","134819","1336","0","227801","378447"
