"MES","BCSP01","BCSP02","BCSP03","BCSP04","BCSP05","BCSP06","BCSP07","BCSP08"
1998-01-01,"36","0","0","0","0","840","152860","130626"
1998-02-01,"36","0","0","0","0","843","153581","130626"
1998-03-01,"36","0","0","0","0","849","155022","130626"
1998-04-01,"36","0","0","0","0","854","156103","130626"
1998-05-01,"36","0","0","0","0","857","156824","130626"
1998-06-01,"36","0","0","0","0","860","157545","130626"
1998-07-01,"36","0","0","0","0","860","157545","130626"
1998-08-01,"36","0","0","0","0","865","158626","130626"
1998-09-01,"36","0","0","0","0","869","159707","130626"
1998-10-01,"36","0","0","0","0","873","160426","130626"
1998-11-01,"36","0","0","0","0","876","161147","130626"
1998-12-01,"36","0","0","0","0","880","162229","130626"
1999-01-01,"36","0","0","0","0","880","162229","130626"
1999-02-01,"36","0","0","0","0","887","163669","130626"
1999-03-01,"36","0","0","0","0","891","164751","130626"
1999-04-01,"36","0","0","0","0","896","165831","130626"
1999-05-01,"36","0","0","0","0","901","166912","130626"
1999-06-01,"36","0","0","0","0","904","167633","130626"
1999-07-01,"36",,,,,"910","169074","130626"
1999-08-01,"36",,,,,"916","170515","130626"
1999-09-01,"36",,,,,"921","171596","130626"
1999-10-01,"36",,,,,"927","173038","130626"
1999-11-01,"36",,,,,"930","173758","130626"
1999-12-01,"36",,,,,"933","174479","130626"
2000-01-01,"36",,,,,"938","175559","130626"
2000-02-01,"36",,,,,"943","176640","130626"
2000-03-01,"36",,,,,"949","178082","130626"
2000-04-01,"36",,,,,"953.7","179162.9","130625.60000000001"
2000-05-01,"36",,,,,"958","180244","130626"
2000-06-01,"36",,,,,"963","181324","130626"
2000-07-01,"36",,,,,"968","182405","130626"
2000-08-01,"36",,,,,"972","183486","130626"
2000-09-01,"36",,,,,"979","184927","130626"
2000-10-01,"36",,,,,"983","186009","130626"
2000-11-01,"36",,,,,"990","187449","130626"
2000-12-01,"36",,,,,"996","188890","130626"
2001-01-01,"36",,,,,"1001","189971","130626"
2001-02-01,"36",,,,,"1004","190692","130626"
2001-03-01,"36",,,,,"1010","192133","130626"
2001-04-01,"36",,,,,"1015","193214","130626"
2001-05-01,"36",,,,,"1022","195016","130626"
2001-06-01,"36",,,,,"1027","196097","130626"
2001-07-01,"36",,,,,"1036","198259","130626"
2001-08-01,"36",,,,,"1043","199699","130626"
2001-09-01,"36",,,,,"1049","201141","130626"
2001-10-01,"36",,,,,"1058","203302","130626"
2001-11-01,"36",,,,,"1063","204384","130626"
2001-12-01,"36",,,,,"1063","204384","130626"
2002-01-01,"36",,,,,"1075","207266","130626"
2002-02-01,"36",,,,,"1086","209788","130626"
2002-03-01,"36",,,,,"1094","211591","130626"
2002-04-01,"36",,,,,"1099","212670","130626"
2002-05-01,"36",,,,,"1104","213751","130626"
2002-06-01,"36",,,,,"1116","216634","130626"
2002-07-01,"36",,,,,"1127","219156","130626"
2002-08-01,"36",,,,,"1136","221318","130626"
2002-09-01,"36",,,,,"1144","223119","130626"
2002-10-01,"36",,,,,"1152","224921","130626"
2002-11-01,"36",,,,,"1160","226722","130626"
2002-12-01,"36",,,,,"1168","228523","130626"
2003-01-01,"36",,,,,"1175","230326","130626"
2003-02-01,"36",,,,,"1178","231047","130626"
2003-03-01,"36",,,,,"1183","232127","130626"
2003-04-01,"36",,,,,"1185","232488","130626"
2003-05-01,"36",,,,,"1188","233208","130626"
2003-06-01,"36",,,,,"1192","234289","130626"
2003-07-01,"36",,,,,"1197","235370","130626"
2003-08-01,"36",,,,,"1203","236811","130626"
2003-09-01,"36",,,,,"1207","237530","130626"
2003-10-01,"36",,,,,"1210","238252","130626"
2003-11-01,"36",,,,,"1213","238972","130626"
2003-12-01,"36",,,,,"1221","240774","130626"
2004-01-01,"36",,,,,"1224","241494","130626"
2004-02-01,"36",,,,,"1225","241855","130626"
2004-03-01,"36",,,,,"1230","242936","130626"
2004-04-01,"36",,,,,"1232","243296","130626"
2004-05-01,"36",,,,,"1233","243656","130626"
2004-06-01,"36",,,,,"1236","244377","130626"
2004-07-01,"36",,,,,"1238","244737","130626"
2004-08-01,"36",,,,,"1242","245819","130626"
2004-09-01,"36",,,,,"1246","246539","130626"
2004-10-01,"36",,,,,"1250","247620","130626"
2004-11-01,"36",,,,,"1251.7992924953139","247980","130626"
2004-12-01,"36",,,,,"1255","248701","130626"
2005-01-01,"36",,,,,"1256.48","249061.73","130625.59"
2005-02-01,"36",,,,,"1258.0426804878093","249422.05318943234","130625.59227999998"
2005-03-01,"36",,,,,"1261.1643744840569","250142.68791389742","130625.59227999998"
2005-04-01,"36",,,,,"1261.1643744840569","250142.68791389742","130625.59227999998"
2005-05-01,"36",,,,,"1261.1643744840569","250142.68791389742","130625.59227999998"
2005-06-01,"36",,,,,"0.16437448405690702","240803.68791389742","124625.59228"
2005-07-01,"36",,,,,"0.48183348968564133","238817.73482719981","117125.59228"
2005-08-01,"36",,,,,"0.3601394934378277","227306.10010273466","117125.59228"
2005-09-01,"36",,,,,"0","221294.58274050214","117125.59228"
2005-10-01,"36",,,,,"0","220570.96101603704","117125.59228"
2005-11-01,"36",,,,,"0","214524.16401603702","117056.592284128"
2005-12-01,"36",,,,,"0","207776.17571030016","117056.592284128"
2006-01-01,"36",,,,,"0","207776.17571030016","117056.592284128"
2006-02-01,"36",,,,,"0","206826.96244270168","117056.592284128"
2006-03-01,"36",,,,,"0","206229.50090750464","117056.592284128"
2006-04-01,"36",,,,,"0","205930.77063990617","116490.55020000001"
2006-05-01,"36",,,,,"0","205828.44263990619","115472.55020000001"
2006-06-01,"36",,,,,"0","205828.44263990619","115472.55020000001"
2006-07-01,"36",,,,,"0","205276.90514789868","113161.37226000002"
2006-08-01,"36",,,,,"0","204983.8515072983","113161.37226000002"
2006-09-01,"36",,,,,"0","204543.97750729829","107136.78925999999"
2006-10-01,"36",,,,,"0","200238.29036729829","107136.78925999999"
2006-11-01,"36",,,,,"0","200238.29036729829","107136.78925999999"
2006-12-01,"36",,,,,"0","199663.01508609756","105906.37479999999"
2007-01-01,"36",,,,,"0","198219.67591675423","105906.37479999999"
2007-02-01,"36",,,,,"0","197648.02313716704","105906.37479999999"
2007-03-01,"36",,,,,"0","197502.34011840529","105906.37479999999"
2007-04-01,"36",,,,,"0","197069.61581258915","105906.37479999999"
2007-05-01,"36",,,,,"0","196499.42953826071","105906.37479999999"
2007-06-01,"36",,,,,"0","195951.50822421364","105815.22380000001"
2007-07-01,"36","0","0","0","0","0","193373.16462033306","105815.22380000001"
2007-08-01,"36","0","0","0","0","0","191665.43478233824","105815.22380000001"
2007-09-01,"36","0","0","0","0","0","191665.43478233824","105815.22380000001"
2007-10-01,"36",,,,,"0","190204.44389034164","105815.22380000001"
2007-11-01,"36",,,,,"0","188860.90002836383","105708.11480000001"
2007-12-01,"36",,,,,"0","185584.65205662587","105708.11480000001"
2008-01-01,"36",,,,,"0","184457.80722159267","105708.11480000001"
2008-02-01,"36",,,,,"0","183057.1047856214","105708.11480000001"
2008-03-01,"36",,,,,"0","179036.87765468602","105708.11480000001"
2008-04-01,"36",,,,,"0","176243.53148796322","105708.11480000001"
2008-05-01,"36",,,,,"0","173582.9085315119","105041.54519863013"
2008-06-01,"36",,,,,"0","171069.06197656156","105041.54519863013"
2008-07-01,"36",,,,,"0","169068.31037216124","104807.76519863014"
2008-08-01,"36",,,,,"0","166100.29463070436","104361.14119920417"
2008-09-01,"36",,,,,"0","165543.30781916148","104361.14119920417"
2008-10-01,"36",,,,,"0","164986.3200076186","104361.14119920417"
2008-11-01,"36",,,,,"0","164984.7550076186","104337.1411992042"
2008-12-01,"36",,,,,"0","164582.4878076186","104337.1411992042"
2009-01-01,"36",,,,,"0","164582.4878076186","104337.1411992042"
2009-02-01,"36",,,,,"0","164582.4878076186","102324.39938698828"
2009-03-01,"36",,,,,"0","163822.59980761859","102324.39938698828"
2009-04-01,"36",,,,,"0","162866.61614908013","101847.3993869883"
