"MES","BCXA01","BCXA02","BCXA03","BCXA04","BCXA05","BCXA06","BCXA07","BCXA08","BCXA09","BCXA10","BCXA11","BCXA12","BCXA13","BCXA14","BCXA15","BCXA16"
1998-01-01,"3276016","70293","2096891","1108832","699013","20754165","20623147","17972115",,"734158","1916874","131018","1836949","0","2570548","29136691"
1998-02-01,"3407026","76059","2205321","1125646","615173","20984752","20860423","18118991",,"836829","1904603","124329","1648210","0","2644522","29299683"
1998-03-01,"3425069","65462","2054138","1305469","612784","21387077","21261406","18566761",,"810855","1883790","125671","1810242","0","2629887","29865059"
1998-04-01,"3540686","70662","2109887","1360137","624869","22038813","21912638","19180782",,"836717","1895139","126175","1689186","0","3102875","30996429"
1998-05-01,"2437602","202057","1176185","1059360","1456117","22488719","22364680","19584020",,"863533","1917127","124039","1609768","0","2791869","30784075"
1998-06-01,"2331798","181208","1156714","993876","1447947","22919935","22795548","20057410",,"835110","1903028","124387","1352654","0","2848509","30900843"
1998-07-01,"2534027","229367","1164587","1140073","1978093","23431167","23306617","20503463",,"888898","1914256","124550","1342717","0","2594952","31880956"
1998-08-01,"2293180","212375","1028842","1051963","1932545","23882460","23741146","20875329",,"914917","1950900","141314","1619768","0","2570679","32298632"
1998-09-01,"2392395","201484","983882","1207029","1930305","24416554","24269383","21310927",,"951412","2007044","147171","1484340","0","2597846","32821440"
1998-10-01,"2206094","239127","752245","1214722","2167023","24823420","24681452","21776671",,"847572","2057209","141968","1418806","0","2230222","32845565"
1998-11-01,"2122640","213600","852687","1056353","2027161","25263377","25124091","22122668",,"932307","2069116","139286","1398620","0","2318004","33129802"
1998-12-01,"2249970","225687","1052985","971298","2256289","25763675","25622363","22916601",,"696250","2009512","141312","1322247","0","2289758","33881939"
1999-01-01,"2265864","189779","991341","1084744","2194311","25593460","25447546","22419969",,"963172","2064405","145914","1318571","0","2285839","33658045"
1999-02-01,"2401498","204363","1056447","1140688","2255220","25705271","25557056","22333165",,"1072150","2151741","148215","1235213","0","2417710","34014912"
1999-03-01,"2325214","203737","1004182","1117295","2338111","25812458","25662202","22400162",,"1087489","2174551","150256","1263194","0","2287086","34026063"
1999-04-01,"2171574","189267","834334","1147973","2517633","25885140","25734948","22208603",,"1216696","2309649","150192","1223556","0","2064043","33861946"
1999-05-01,"2403170","249839","980522","1172809","2397238","25864767","25718312","22017622",,"1234820","2465870","146455","1287170","0","2609961","34562306"
1999-06-01,"2415798","195380","892355","1328063","2209479","25883455","25739753","21827435",,"955637","2956681","143702","1099238","0","2636539","34244509"
1999-07-01,"2490905","202857","859235","1428813","2520055","26137649","25992126","21924554",,"958604","3108968","145523","1037950","0","2527348","34713907"
1999-08-01,"2723035","204485","1002207","1516343","2500978","26524763","26377080","22150974",,"1075547","3150559","147683","924131","0","2367749","35040656"
1999-09-01,"2662580","182127","857178","1623275","2563650","26636255","26488193","22030855",,"1382413","3074925","148062","1125459","0","2603630","35591574"
1999-10-01,"2623650","190171","841706","1591773","2375139","26923165","26774725","22364699",,"1303679","3106347","148440","1210330","0","2608253","35740537"
1999-11-01,"2572160","204102","926168","1441890","3064225","26960999","26812688","22281713",,"1405317","3125658","148311","887026","0","2647293","36131703"
1999-12-01,"2929599","246545","1243117","1439937","2765565","26816955","26667304","22483954",,"1245008","2938342","149651","925227","0","2767943","36205289"
2000-01-01,"2716797","214746","1076852","1425199","3198461","26625087","26476240","21768316","573454","1099957","3034513","148847","978054","0","2843802","36362201"
2000-02-01,"2685663","200807","898797","1586059","3096288","26588965","26435056","21692452","417283","1249164","3076157","153909","986998","0","2993480","36351394"
2000-03-01,"2995555.7","211910.6","1048487.5","1735157.6","3085990","26713815.100000001","26558092","21799474","353240.7","1282301.2","3123076.1","155723.1","996873.9","0","2951355.5","36743590.200000003"
2000-04-01,"2846045.4","164075.6","909964.1","1772005.7","3165701.9","26812775.699999999","26658594.5","21719457.899999999","453078.7","1174920.1000000001","3311137.8","154181.20000000001","1014534.5","0","3031923.4","36870980.899999999"
2000-05-01,"2735474","171846","882357","1681271","2674087","26737976","26592568","21555700","381634","1230901","3424333","145408","1011114","0","3016540","36175191"
2000-06-01,"2501898","156126","832758","1513014","2698118","26789154","26644117","21856728","302931","1030555","3453903","145037","940294","0","2982366","35911830"
2000-07-01,"2574908","199164","861066","1514678","3072855","26791677","26648814","21504557","524287","1051836","3568134","142863","878890","0","3093503","36411833"
2000-08-01,"2431332","187965","878158","1365209","3499709","26669152","26526237","21165307","523277","1138167","3699486","142915","910528","0","2759639","36270360"
2000-09-01,"2629625","209354","946163","1474108","3660028","26797028","26654087","20741107","582320","1589903","3740757","142941","901222","0","2643039","36630942"
2000-10-01,"2554213","197801","851725","1504687","3339545","26627075","26481880","20385916","566685","1692944","3836335","145195","951627","0","2502814","35975274"
2000-11-01,"2584184","176519","875240","1532425","3511257","26469933","26324715","20042237","619399","1694643","3968436","145218","1013423","0","2559072","36137869"
2000-12-01,"3353758","234930","1561647","1557181","3468143","26010821","25862790","20286992","296392","1434799","3844607","148031","1053368","0","2700612","36586702"
2001-01-01,"2758287","214119","1090602","1453566","4058761","25457574","25311609","19453614","682238","1359865","3815892","145965","1113903","0","2464760","35853285"
2001-02-01,"2792108","219070","1075954","1497084","3960338","25357879","25212798","19106068","633041","1575133","3898556","145081","1251105","0","3288558","36649988"
2001-03-01,"2904815","160571","1087529","1656715","3550374","25072326","24927761","18731322","608433","1634104","3953902","144565","1274478","0","3396018","36198011"
2001-04-01,"2806333","210251","856160","1739922","3520844","24880879","24737981","18493031","523955","1633480","4087515","142898","1257601","0","3425617","35891274"
2001-05-01,"2849601","182686","1059748","1607167","3765125","24888675","24751452","18407198","459988","1588428","4295838","137223","1214756","0","3407595","36125752"
2001-06-01,"2915119","180799","1078396","1655924","3487878","24738822","24543474","18306348","390848","1511480","4334798","195348","1225782","0","3438454","35806055"
2001-07-01,"2576934","236725","979861","1360348","3388232","24646117","24474251","17813450","668929","1542133","4449739","171866","1288133","0","3569198","35468614"
2001-08-01,"2446817","251841","935065","1259911","3678508","24402975","24231121","17510024","521572","1676194","4523331","171854","1199925","0","3657375","35385600"
2001-09-01,"2505400","210465","922999","1371936","3846619","24287939","24081857","17266762","586310","1641738","4587047","206082","1234067","0","3543532","35417557"
2001-10-01,"2750400","213879","1009787","1526734","3779993","24259158","24029347","17091135","660755","1563749","4713708","229811","1400388","0","3637901","35827840"
2001-11-01,"2738708","169365","1021428","1547915","4028239","24105530","23875542","16909985","638731","1589145","4737681","229988","1571005","0","3698096","36141578"
