"MES","BCXP01","BCXP02","BCXP03","BCXP04","BCXP05","BCXP06","BCXP07","BCXP08","BCXP09","BCXP10","BCXP11","BCXP12","BCXP13","BCXP14","BCXP15","BCXP16","BCXP17","BCXP18","BCXP19","BCXP20","BCXP21","BCXP22","BCXP23","BCXP24","BCXP25","BCXP26","BCXP27","BCXP28","BCXP29","BCXP30","BCXP31","BCXP32","BCXP33","BCXP34"
1998-01-01,"16963131.618379999","3688863.6183799999","1089595.6183799999","2597000","2268",,"13274268","3010418","222726","2783381","4311",,"10093883","125927","9725042","242914",,"169967","41006","128735","226",,"4539189","2738101","760300","1040788","144572.38162","144037.38162","535","0","2565251","1270298","2451213","1203036"
1998-02-01,"16771775.00316","3682599.0031599998","1129265.0031600001","2550876","2458",,"13089176","2913872","206231","2702815","4826",,"9977604","126463","9653800","197341",,"197700","48915","148558","227",,"4824100","2925805","838149","1060146","147959.99684000001","147547.99684000001","412","0","2598133","1236838","2502280","1218597"
1998-03-01,"17234686.721889999","3702531.7218900002","1022062.72189","2677972","2497",,"13532155","3006153","208439","2792657","5057",,"10292802","148760","9951438","192604",,"233200","43739","189307","154",,"4707714","2819893","832359","1055462","154141.27811000001","153614.27811000001","527","0","2510840","1306957","2680759","1269961"
1998-04-01,"17691578.214919999","3871120.2149200002","1018501.2149199999","2850112","2507",,"13820458","3026804","197285","2826164","3355",,"10409214","165836","10078592","164786",,"384440","199383","181179","3878",,"4683351","2837982","778447","1066922","215478.78508","214960.78508","518","0","2773068","1396536","2964370","1272047"
1998-05-01,"17658672.634379998","3911048.6343799997","1030202.6343799999","2877208","3638",,"13747624","3072770","210130","2857778","4862",,"10429811","132741","10126342","170728",,"245043","55011","177851","12181",,"4671876","2846164","752443","1073269","112279.36562","111805.36562","474","0","2914450","1401924","2762231","1262642"
1998-06-01,"17642449.714949999","3903023.7149499999","1047261.7149500001","2852219","3543",,"13739426","3125155","221741","2897681","5733",,"10370055","138094","10062142","169819",,"244216","50051","181939","12226",,"4549666","2919429","549787","1080450","102840.28505000001","102377.28505000001","463","0","2858263","1412812","2870735","1464077"
1998-07-01,"18576378.496399999","4267985.4964000005","1042219.4964000001","3224765","1001",,"14308393","3306747","237252","3067277","2218",,"10713917","147955","10385606","180356",,"287729","55978","219513","12238",,"4413115","2748528","571023","1093564","105915.5036","105385.5036","530","0","2876612","1570221","2871263","1467451"
1998-08-01,"18916710.859999999","4326612.8600000003","1159119.8600000001","3165094","2399",,"14590098","3342483","234080","3105408","2995",,"10976025","162341","10656975","156709",,"271590","45041","210998","15551",,"4524321","2735947","693064","1095310","116118.14","115611.14","507","0","2875936","1491671","2855681","1518194"
1998-09-01,"18952955.420049999","4340016.4200499998","1124157.4200500001","3214747","1112",,"14612939","3393040","239851","3150116","3073",,"10982074","167947","10646184","167943",,"237825","40212","181978","15635",,"4699897","2799858","800674","1099365","121912.57995","121351.57995","561","0","2875029","1474124","3034146","1663376"
1998-10-01,"18894943.016109999","4298050.0161100002","1184143.01611","3113880","27",,"14596893","3419440","244553","3164393","10494",,"10941972","143957","10652810","145205",,"235481","41370","170007","24104",,"4563025","2794331","669378","1099316","129027.98389","125948.98389","3079","0","2933858","1488464","3118356","1717891"
1998-11-01,"19010354.11648","4355707.1164800003","1186621.1164800001","3169080","6",,"14654647","3409588","243560","3161222","4806",,"10956420","139930","10663196","153294",,"288639","41314","220038","27287",,"4608847","2863396","619063","1126388","112274.88352","107961.88352","4313","0","3007154","1511148","3112032","1767992"
1998-12-01,"19128007","4158496","1092478","3066007","11",,"14969511","3578125","249617","3325725","2783",,"11140710","134335","10851888","154487",,"250676","31546","191698","27432",,"4527241","2733558","627973","1165710","128545","123329","5216","0","3363711","1601213","3363843","1769379"
1999-01-01,"19121253","4279835","1052061","3227763","11",,"14841418","3468903","219585","3245884","3434",,"11125294","118662","10851672","154960",,"247221","31663","188125","27433",,"4500991","2738744","614002","1148245","142764","136764","6000","0","3211277","1497140","3281652","1902968"
1999-02-01,"19160918","4098711","1062808","3035892","11",,"15062207","3478844","249684","3225173","3987",,"11342203","119212","11081815","141176",,"241160","36210","177323","27627",,"4569945","2804464","594846","1170635","152274","145304","6970","0","3183324","1491490","3565786","1891175"
1999-03-01,"19235304","4146359","1063582","3082766","11",,"15088945","3422414","243402","3174036","4976",,"11454528","106902","11203277","144349",,"212003","33390","150840","27773",,"4571422","2832746","569916","1168760","131852","123552","8300","0","3182278","1505122","3439929","1960156"
1999-04-01,"19220068","3946862","984675","2962176","11",,"15273206","3422143","257603","3160802","3738",,"11602724","99227","11358346","145151",,"248339","61791","158629","27919",,"4667475","2867811","631197","1168467","120833","111893","8940","0","3093167","1493708","3301041","1965654"
1999-05-01,"19348179","4028761","1030548","2998202","11",,"15319418","3379884","221597","3155189","3098",,"11694975","87838","11468202","138935",,"244559","53815","162730","28014",,"5176001","3070245","883935","1221821","114765","105827","8938","0","2891350","1432560","3861925","1737526"
1999-06-01,"19016295","3756281","968547","2787722","12",,"15260014","3294952","206716","3085061","3175",,"11748722","82465","11518608","147649",,"216340","46013","169233","1094",,"5395594","3166606","953833","1275155","170965","102225","40708","28032","2828827","1411282","4221284","1200262"
1999-07-01,"19357224","3697590","984296","2713282","12",,"15659634","3392382","194361","3196250","1771",,"12076249","124770","11818157","133322",,"191003","44977","144924","1102",,"5394503","3122209","972605","1299689","188316","126018","34072","28226","2793031","1488120","4287237","1205476"
1999-08-01,"19516635","3677303","956982","2720309","12",,"15839332","3439583","195138","3241543","2902",,"12211449","122937","11958133","130379",,"188300","41924","145266","1110",,"5597475","3134209","1138676","1324590","165750","102508","34823","28419","2761589","1505507","4284297","1209403"
1999-09-01,"19959807","3678792","956926","2721854","12",,"16281015","3578720","219005","3356924","2791",,"12398597","119189","12148370","131038",,"303698","45614","256969","1115",,"5699091","3137583","1213947","1347561","169125","105693","34868","28564","2752147","1519258","4263810","1228336"
1999-10-01,"19938247","3632849","1004679","2628158","12",,"16305398","3612039","194214","3414681","3144",,"12478514","121134","12224895","132485",,"214845","44326","169396","1123",,"5828657","3246313","1152473","1429871","101389","91049","10340","0","2635311","1535494","4438518","1262921"
1999-11-01,"20465969","4360970","990857","3370101","12",,"16104999","3637487","220702","3414313","2472",,"12242469","124419","11984744","133306",,"225043","42128","181788","1127",,"5677245","3229561","974590","1473094","117004","106685","10319","0","2575939","1565605","4421599","1308342"
1999-12-01,"19949542","3735163","995036","2740115","12",,"16214379","3804947","281791","3520859","2297",,"12189679","122929","11930657","136093",,"219753","36327","182296","1130",,"5674842","3167922","983514","1523406","95521","86518","9003","0","2867703","1591550","4686391","1339740"
2000-01-01,"20308240",,"1029231","2819229","12",,"16459768","3975649","224437","3748575","2637",,"12246295","133691","11983677","128927",,"237824","44095","192574","1155",,"5690465","3153893","1015162","1521410","109812","100549","9263","0","2657632","1568586","4622721","1404745"
2000-02-01,"20227216","3800520","1013903","2786605","12",,"16426696","4043281","265417","3775786","2078",,"12111984","133558","11848708","129718",,"271431","43884","226386","1161",,"5819331","3145252","1140259","1533820","118482","109445","9037","0","2519750","1505347","4748541","1412727"
2000-03-01,"20292911.199999999","3780074.2","996732.8","2783329.4","12",,"16512837","3996703","259931","3735699","1073",,"12262719","134913","11996452","131354",,"253415","38480","213766","1169",,"5909787","3125051","1229862","1554874","122790.2","112334.7","10455.5","0","2505097.5","1586183.1","4939860","1386961.2"
2000-04-01,"20393304.900000002","3981092.9","1014298.6","2966782.1","12.2",,"16412212.000000002","3959868.3","229211","3729582","1075.3",,"12215939.600000001","127015.9","11964810.800000001","124112.9",,"236404.1","42424","192806.1","1174",,"5967128.1999999993","3143107.1","1275432.7","1548588.4","189972.3","174089","15883.3","0","2590234.2999999998","1407054.3","4942332.3","1380954.9"
2000-05-01,"20336419","3901049","1052050","2848987","12",,"16435370","4000257","256238","3742938","1081",,"12176866","107879","11948662","120325",,"258247","36441","220626","1180",,"5730727","3082781","1180875","1467071","119952","104457","15495","0","2373298","1329555","4906174","1379066"
2000-06-01,"20124066","3621524","868873","2752651","0",,"16502542","3962233","270526","3690594","1113",,"12280036","132788","12028704","118544",,"260273","36505","222583","1185",,"5609487","3056889","1115022","1437576","107813","97014","10799","0","2438154","1183756","5027091","1421463"
2000-07-01,"20419844","3868779","1020323","2848456","0",,"16551065","4075775","268097","3806559","1119",,"12186664","137239","11929688","119737",,"288626","46858","240910","858",,"5676783","3078326","1127164","1471293","145940","134808","11132","0","2296704","1229212","5211258","1432092"
2000-08-01,"20471852","3912986","968403","2944583","0",,"16558866","4133183","267253","3865930","0",,"12194446","136794","11936983","120669",,"231237","36251","194167","819",,"5584666","3009850","1199382","1375434","99080","88842","10238","0","2204338","1239445","5267036","1403943"
2000-09-01,"20478717","3829876","1011744","2818132","0",,"16648841","4256200","260565","3995635","0",,"12159588","132303","11911503","115782",,"233053","38840","193389","824",,"5985518","3380819","1225277","1379422","115102","104638","10464","0","1978578","1205207","5541389","1326430"
2000-10-01,"20148666","3779723","906455","2873268","0",,"16368943","4149975","223437","3926538","0",,"12010525","132501","11757861","120163",,"208443","42339","165292","812",,"5941459","3337565","1220568","1383326","119815","109709","10106","0","1896968","1175941","5310180","1382245"
2000-11-01,"20181594","3961136","933912","3027224","0",,"16220458","4156034","241727","3914307","0",,"11863986","126159","11625050","112777",,"200438","38507","161114","817",,"5950250","3318764","1250906","1380580","105064","94050","11014","0","1930235","1073324","5584880","1312522"
2000-12-01,"20792659","4230588","1111815","3118773","0",,"16562071","4515872","284788","4231084","0",,"11855569","120212","11619586","115771",,"190630","38099","151709","822",,"5849312","3308280","1194683","1346349","116307","105422","10885","0","1868571","1078268","5601344","1280241"
