"MES","BCEA01","BCEA02","BCEA03","BCEA04","BCEA05","BCEA06","BCEA07","BCEA08","BCEA09","BCEA10","BCEA11","BCEA12"
1998-01-01,"31249","10","1","31238","0","2887","174047","173625","422","-","137697","345880"
1998-02-01,"32549","12","1","32536","0","939","174592","174265","327","-","137208","345288"
1998-03-01,"33298","5","1","33292","0","948","175861","175544","317","-","138088","348195"
1998-04-01,"33298","5","1","33292","0","948","176861","176544","317","-","140678","351785"
1998-05-01,"33420","5","1","33414","0","948","177502","177184","318","-","140903","352773"
1998-06-01,"33541","5","1","33535","0","948","178142","177823","319","-","141129","353760"
1998-07-01,"33663","5","1","33657","0","948","178783","178463","320","-","141354","354748"
1998-08-01,"33724","5","1","33718","0","948","179103","178783","320","-","141466","355241"
1998-09-01,"33906","5","1","33900","0","948","180065","179743","322","-","141805","356724"
1998-10-01,"34028","5","1","34022","0","948","180705","180382","323","-","142033","357714"
1998-11-01,"34149","5","1","34143","0","948","181345","181021","324","-","142255","358697"
1998-12-01,"34332","5","1","34326","0","948","182307","181981","326","-","142592","360179"
1999-01-01,"34332","5","1","34326","0","948","182307","181981","326","-","142592","360179"
1999-02-01,"34575","5","1","34569","0","948","183588","183260","328","-","143043","362154"
1999-03-01,"34757","5","1","34751","0","948","184549","184219","330","-","143380","363634"
1999-04-01,"34940","5","1","34934","0","948","185511","185179","332","-","143718","365117"
1999-05-01,"35122","5","1","35116","0","948","186471","186138","333","-","144058","366599"
1999-06-01,"35244","5","1","35238","0","948","187112","186778","334","-","144282","367586"
1999-07-01,"35487","5","1","35481","0","948","188395","188058","337","-","144731","369561"
1999-08-01,"35730","5","1","35724","0","948","189675","189336","339","-","145184","371537"
1999-09-01,"35913","5","1","35907","0","948","190636","190296","340","-","145521","373018"
1999-10-01,"36156","5","1","36150","0","948","191919","191576","343","-","145970","374993"
1999-11-01,"36278","5","1","36272","0","948","192559","192215","344","-","146196","375981"
1999-12-01,"36399","5","1","36393","0","948","193199","192854","345","-","146422","376968"
2000-01-01,"36582","5","1","36576","0","948","194161","193814","347","-","146759","378450"
2000-02-01,"36764","5","1","36758","0","948","195121","194773","348","-","147098","379931"
2000-03-01,"37007","5","1","37001","0","948","196403","196052","351","-","147548","381906"
2000-04-01,"37190","5","0.7","37184.300000000003","0","947.8","197364.3","197012.1","352.2","-","147885.9","383388"
2000-05-01,"37372","5","1","37366","0","948","198325","197971","354","-","148224","384869"
2000-06-01,"37555","5","1","37549","0","948","199287","198931","356","-","148561","386351"
2000-07-01,"37737","5","1","37731","0","948","200247","199890","357","-","148899","387831"
2000-08-01,"37919","5","1","37913","0","948","201209","200850","359","-","149237","389313"
2000-09-01,"38163","5","1","38157","0","948","202490","202129","361","-","149687","391288"
2000-10-01,"38345","5","1","38339","0","948","203451","203088","363","-","150026","392770"
2000-11-01,"38588","5","1","38582","0","948","204732","204367","365","-","150477","394745"
2000-12-01,"38832","5","1","38826","0","948","206014","205647","367","-","150926","396720"
2001-01-01,"39014","5","1","39008","0","948","206975","206606","369","-","151264","398201"
2001-02-01,"39136","5","1","39130","0","948","207616","207246","370","-","151489","399189"
2001-03-01,"39379","5","1","39373","0","948","208898","208526","372","-","151939","401164"
2001-04-01,"39561","5","1","39555","0","948","209859","209485","374","-","152278","402646"
2001-05-01,"39865","5","1","39859","0","948","211461","211084","377","-","152841","405115"
2001-06-01,"40048","5","1","40042","0","948","212422","212044","378","-","153178","406596"
2001-07-01,"40413","5","1","40407","0","948","214344","213962","382","-","153854","409559"
2001-08-01,"40656","5","1","40650","0","948","215625","215241","384","-","154305","411534"
2001-09-01,"40899","5","1","40893","0","948","216906","216520","386","-","154756","413509"
2001-10-01,"41264","5","1","41258","0","948","218828","218439","389","-","155432","416472"
2001-11-01,"41446","5","1","41440","0","948","219790","219399","391","-","155770","417954"
2001-12-01,"41446","5","1","41440","0","948","219790","219399","391","-","155770","417954"
2002-01-01,"41933","5","1","41927","0","948","222353","221957","396","-","156670","421904"
2002-02-01,"42358","5","1","42352","0","948","224596","224197","399","-","157459","425361"
2002-03-01,"42663","5","1","42657","0","948","226198","225796","402","-","158021","427830"
2002-04-01,"42845","5","1","42839","0","948","227159","226755","404","-","158359","429311"
2002-05-01,"43027","5","1","43021","0","948","228120","227714","406","-","158698","430793"
2002-06-01,"43514","5","1","43508","0","948","230682","230272","410","-","159598","434742"
2002-07-01,"43939","5","1","43933","0","948","232926","232512","414","-","160387","438200"
2002-08-01,"44304","5","1","44298","0","948","234848","234431","417","-","161063","441163"
2002-09-01,"44608","5","1","44602","0","948","236450","236030","420","-","161626","443632"
2002-10-01,"44912","5","1","44906","0","948","238052","237629","423","-","162189","446101"
2002-11-01,"45216","5","1","45210","0","948","239654","239228","426","-","162752","448570"
2002-12-01,"45520","5","1","45514","0","948","241255","240827","428","-","163316","451039"
2003-01-01,"45825","5","1","45819","0","948","242856","242425","431","-","163879","453508"
2003-02-01,"45946","5","1","45940","0","948","243497","243065","432","-","164104","454495"
2003-03-01,"46129","5","1","46123","0","948","244458","244024","434","-","164441","455976"
2003-04-01,"46189","5","1","46183","0","948","244779","244345","434","-","164555","456471"
2003-05-01,"46311","5","1","46305","0","948","245420","244984","436","-","164780","457459"
2003-06-01,"46493","5","1","46487","0","948","246381","245944","437","-","165118","458940"
2003-07-01,"46676","5","1","46670","0","948","247342","246903","439","-","165455","460421"
2003-08-01,"46919","5","1","46913","0","948","248623","248182","441","-","165906","462396"
2003-09-01,"47041","5","1","47035","0","948","249264","248822","442","-","166131","463384"
2003-10-01,"47162","5","1","47156","0","948","249905","249462","443","-","166357","464372"
2003-11-01,"47284","5","1","47278","0","948","250545","250101","444","-","166581","465358"
2003-12-01,"47588","5","1","47582","0","948","252147","251700","447","-","167145","467828"
2004-01-01,"47710","5","1","47704","0","948","252788","252340","448","-","167370","468816"
2004-02-01,"47770","5","1","47764","0","948","253108","252659","449","-","167483","469309"
2004-03-01,"47953","5","1","47947","0","948","254070","253619","451","-","167820","470791"
2004-04-01,"48014","5","1","48008","0","948","254390","253939","451","-","167933","471285"
2004-05-01,"48074","5","1","48068","0","948","254710","254258","452","-","168046","471778"
2004-06-01,"48196","5","1","48190","0","948","255352","254899","453","-","168271","472767"
2004-07-01,"48257","5","1","48251","0","948","255671","255218","453","-","168383","473259"
2004-08-01,"48439","5","1","48433","0","948","256633","256178","455","-","168722","474742"
2004-09-01,"48561","5","1","48555","0","948","257273","256817","456","-","168947","475729"
2004-10-01,"48743","5","1","48737","0","948","258234","257776","458","-","169286","477211"
2004-11-01,"48804","5","1","48798","0","948","258555","258097","458","-","169398","477705"
2004-12-01,"48926","5","1","48920","0","948","259196","258736","460","-","169622","478692"
2005-01-01,"48986.27","5","0.72","48980.55","0","947.77","259516.02","259055.96","460.06","-","169735.91","479185.97"
2005-02-01,"49047.090355466185","4.55","0.72299999999999998","49041.817355466184","0","947.774","259836.38424190134","259375.76527385745","460.61896804387573","-","169848.54536223027","479679.79395959777"
2005-03-01,"49168.70648160878","4.55","0.72299999999999998","49163.433481608779","0","947.774","260477.12404577702","260015.39271056678","461.73133521023766","-","170073.81280281523","480667.41733020102"
2005-04-01,"49168.70648160878","4.55","0.72299999999999998","49163.433481608779","0","947.774","260477.12404577702","260015.39271056678","461.73133521023766","-","170073.81280281523","480667.41733020102"
2005-05-01,"49168.249481608778","4.55","0.72299999999999986","49162.976481608777","0","947.774","260477.12404577702","260015.39271056678","461.73133521023766","-","170073.81280281523","480666.96033020102"
2005-06-01,"49168.249481608778","4.55","0.72299999999999986","49162.976481608777","0","947.774","260477.12404577702","260015.39271056678","461.73133521023766","-","170073.81280281523","480666.96033020102"
2005-07-01,"47985.825292394882","4.55","0.72299999999999986","47980.552292394881","0","947.774","258516.01433996347","258055.95155550278","460.06278446069473","-","169735.91169678234","477185.52532914071"
2005-08-01,"45050.20916625228","4.55","0.72299999999999986","45044.936166252279","0","947.774","256448.27453608779","255989.32411879345","458.95041729433268","-","166358.64447557574","468804.90217791579"
2005-09-01,"44989.401103180986","4.55","0.72299999999999986","44984.128103180985","0","947.774","253799.90463414995","253341.5104004388","458.39423371115168","-","166246.01091981705","465983.09065714793"
2005-10-01,"44867.784977038391","4.55","0.72299999999999986","44862.51197703839","0","947.774","253502.61356862893","253045.33170208414","457.28186654478975","-","166020.77316844591","465338.94571411324"
2005-11-01,"44867.784977038391","4.55","0.72299999999999986","44862.51197703839","0","947.774","253357.61356862893","252900.33170208414","457.28186654478975","-","166020.77316844591","465193.94571411324"
2005-12-01,"43849.817426764173","5","0.72299999999999986","43844.094426764175","0","0","251417.69106062158","250960.40919407678","457.28186654478975","-","165947.3939926874","461214.90248007316"
2006-01-01,"43849.817426764173","5","0.72299999999999998","43844.094426764175","0","0","251158.64906062157","250701.36719407677","457.28186654478975","-","165947.3939926874","460955.86048007314"
2006-02-01,"43789.326885630719","0","0","43789.326885630719","0","0","250846.3997508958","250389.67406793419","456.72568296160875","-","165838.71483912249","460474.44147564902"
2006-03-01,"43679.791803363805","0","0","43679.791803363805","0","0","250221.90113144423","249766.28781564898","455.61331579524676","-","165621.3565319927","459523.04946680076"
2006-04-01,"43622.484920365634","0","0","43622.484920365634","0","0","249589.54922574037","249163.59629828151","425.9529274588665","-","165512.67737842776","458724.71152453375"
2006-05-01,"43607.27092036559","0","0","43607.27092036559","0","0","243255.31422574038","242829.36129828152","425.9529274588665","-","165512.67737842779","452375.26252453378"
2006-06-01,"43607.27092036559","0","0","43607.27092036559","0","0","243255.31422574038","242829.36129828152","425.9529274588665","-","164377.67737842779","451240.26252453378"
2006-07-01,"41527.019140475328","0","0","41527.019140475328","0","0","241948.81710508227","241535.19917762341","413.61792745886652","-","162962.70661425957","446438.54285981716"
2006-08-01,"41474.887284168195","0","0","41474.887284168195","0","0","241638.59576610604","241225.49745915906","413.09830694698354","-","162855.80506215722","445969.28811243147"
2006-09-01,"41444.825764168192","0","0","41444.825764168192","0","0","236073.68296903107","235660.58466208409","413.09830694698354","-","162855.80506215719","440374.31379535643"
2006-10-01,"39623.825764168192","0","0","39623.825764168192","0","0","236073.68296903107","235660.58466208409","413.09830694698354","-","162646.63774405848","438344.14647725772"
2006-11-01,"39623.825764168192","0","0","39623.825764168192","0","0","236073.68296903107","235660.58466208409","413.09830694698354","-","162646.63774405848","438344.14647725772"
2006-12-01,"39519.562051553934","0","0","39519.562051553934","0","0","233861.33179170016","233449.27272577694","412.05906592321753","-","162432.84249725775","435813.73634051182"
2007-01-01,"36586.786745886653","0","0","36586.786745886653","0","0","227770.88889436924","227359.8690694698","411.01982489945158","-","162219.04713473492","426576.72277499083"
2007-02-01,"36494.279067641677","0","0","36494.279067641677","0","0","226525.98272775888","226116.0021438832","409.98058387568557","-","162008.12167330898","425028.38346870954"
2007-03-01,"35944.279067641677","0","0","35944.279067641677","0","0","223641.15640234755","223231.17581847188","409.98058387568557","-","162008.12167330898","421593.55714329821"
2007-04-01,"35944.279067641677","0","0","35944.279067641677","0","0","222829.90313347371","222450.17581847188","379.72731500182812","-","161153.07779762341","419927.25999873877"
2007-05-01,"35851.771389396708","0","0","35851.771389396708","0","0","222263.08208624061","221884.31732463549","378.76476160511885","-","160942.15233619744","419057.00581183477"
2007-06-01,"32032.664076782447","0","0","32032.664076782447","0","0","221318.45883079903","221318.45883079903","0","-","160731.2268747715","414082.34978235298"
2007-07-01,"31706.216544789757","0","0","31706.216544789757","0","0","218898.77257026135","218898.77257026135","0","-","159687.52502906765","410292.51414411876"
2007-08-01,"30051.87449725777","0","0","30051.87449725777","0","0","218224.62377979411","218224.62377979411","0","-","156036.85741263255","404313.35568968445"
2007-09-01,"30051.87449725777","0","0","30051.87449725777","0","0","218224.62377979411","218224.62377979411","0","-","156036.85741263255","404313.35568968445"
2007-10-01,"29194.866453382081","0","0","29194.866453382081","0","0","217775.19125281594","217775.19125281594","0","-","154629.63171829985","401599.68942449789"
2007-11-01,"29042.611608775136","0","0","29042.611608775136","0","0","217325.75872583778","217325.75872583778","0","-","151245.21319396709","397613.58352858003"
2007-12-01,"28814.229341864717","0","0","28814.229341864717","0","0","216651.60993537054","216651.60993537054","0","-","146168.58665246802","391634.42592970328"
2008-01-01,"28661.974497257768","0","0","28661.974497257768","0","0","212113.29696963553","212113.29696963553","0","-","145761.36095813531","386536.6324250286"
2008-02-01,"28509.71965265082","0","0","28509.71965265082","0","0","210982.38436953124","210982.38436953124","0","-","142684.98619208942","382177.09021427145"
2008-03-01,"28167.146252285191","0","0","28167.146252285191","0","0","208437.83101929654","208437.83101929654","0","-","133481.37901603818","370086.35628761991"
2008-04-01,"26585.412248628883","0","0","26585.412248628883","0","0","205056.99741665914","205056.99741665914","0","-","128535.81425128269","360178.22391657071"
2008-05-01,"26257.646892138939","0","0","26257.646892138939","0","0","202265.2777044501","202265.2777044501","0","-","127637.65515932656","356160.57975591556"
2008-06-01,"24628.236197440583","0","0","24628.236197440583","0","0","198438.82307450791","198438.82307450791","0","-","124179.28771919561","347246.34699114412"
2008-07-01,"24351.514442413161","0","0","24351.514442413161","0","0","196209.17337704153","196209.17337704153","0","-","118761.89908190128","339322.586901356"
2008-08-01,"24107.231862888479","0","0","24107.231862888479","0","0","193963.36552659766","193963.36552659766","0","-","118281.0370835466","336351.63447303273"
2008-09-01,"24038.453617915904","0","0","24038.453617915904","0","0","193409.97504007386","193409.97504007386","0","-","116922.26649414991","334370.6951521397"
2008-10-01,"23969.675372943326","0","0","23969.675372943326","0","0","192856.58455355006","192856.58455355006","0","-","115563.4959047532","332389.75583124661"
2008-11-01,"23969.675372943326","0","0","23969.675372943326","0","0","192767.38894111858","192767.38894111858","0","-","115563.4959047532","332300.56021881511"
2008-12-01,"23969.675372943326","0","0","23969.675372943326","0","0","192767.38894111858","192767.38894111858","0","-","112089.32690475321","328826.39121881512"
2009-01-01,"23969.675372943326","0","0","23969.675372943326","0","0","192767.38894111858","192767.38894111858","0","-","112089.32690475321","328826.39121881512"
2009-02-01,"23842.253069469833","0","0","23842.253069469833","0","0","192639.96663764509","192639.96663764509","0","-","112089.32690475319","328571.54661186808"
2009-03-01,"23842.253069469833","0","0","23842.253069469833","0","0","192385.12203069811","192385.12203069811","0","-","111089.32690475319","327316.70200492116"
2009-04-01,"23842.253069469833","0","0","23842.253069469833","0","0","191029.34872174016","191029.34872174016","0","-","109017.44025027423","323889.04204148421"
2009-05-01,"23842.253069469833","0","0","23842.253069469833","0","0","190799.98857548786","190799.98857548786","0","-","109017.44025027423","323659.68189523194"
2009-06-01,"23842.253069469833","0","0","23842.253069469833","0","0","190784.69789907103","190784.69789907103","0","-","108997.44025027423","323624.39121881512"
2009-07-01,"23765.799687385737","0","0","23765.799687385737","0","0","190759.21343837632","190759.21343837632","0","-","108317.36060127971","322842.37372704176"
2009-08-01,"23637.920383912246","0","0","23637.920383912246","0","0","189612.41270711494","189612.41270711494","0","-","105680.70608391224","318931.03917493945"
2009-09-01,"23637.920383912246","0","0","23637.920383912246","0","0","189561.44378572554","189561.44378572554","0","-","105680.70608391224","318880.07025355002"
2009-10-01,"23637.920383912246","0","0","23637.920383912246","0","0","189306.59917877853","189306.59917877853","0","-","104506.70608391224","317451.22564660304"
2009-11-01,"23637.920383912246","0","0","23637.920383912246","0","0","188414.6430544641","188414.6430544641","0","-","104379.28378043875","316431.84721881512"
2009-12-01,"23482.465173674587","0","0","23482.465173674587","0","0","188339.46389541475","188339.46389541475","0","-","102412.86147696526","314234.7905460546"
2010-01-01,"23456.98071297989","0","0","23456.98071297989","0","0","188263.01051333064","188263.01051333064","0","-","101138.63844223035","312858.6296685409"
2010-02-01,"23442.964259597804","0","0","23442.964259597804","0","0","188020.90813673101","188020.90813673101","0","-","101023.95844223035","312487.83083855914"
2010-03-01,"23430.222029250457","0","0","23430.222029250457","0","0","187613.15676561586","187613.15676561586","0","-","99548.949301462504","310592.32809632883"
2010-04-01,"23430.222029250457","0","0","23430.222029250457","0","0","185039.22623545129","185039.22623545129","0","-","98822.64217166361","307292.09043636534"
2010-05-01,"22155.998994515536","0","0","22155.998994515536","0","0","181942.86426104547","181942.86426104547","0","-","92780.19610219376","296879.05935775477"
2010-06-01,"20881.775959780618","0","0","20881.775959780618","0","0","179649.2627985226","179649.2627985226","0","-","88361.973067458865","288893.01182576211"
2010-07-01,"19607.552925045708","0","0","19607.552925045708","0","0","174170.10374916246","174170.10374916246","0","0","85532.973067458879","279310.62974166707"
2010-08-01,"18460.752193784279","0","0","18460.752193784279","0","0","170347.43464495771","170347.43464495771","0","0","80181.236321572214","268989.42316031421"
2010-09-01,"18205.907586837297","0","0","18205.907586837297","0","0","170309.20795391564","170309.20795391564","0","0","77634.236321572214","266149.35186232516"
2010-10-01,"18103.969744058504","0","0","18103.969744058504","0","0","170054.36334696866","170054.36334696866","0","0","75214.814018098725","263373.14710912586"
2010-11-01,"18077.995612431449","0","0","18077.995612431449","0","0","169810.38291175064","169810.38291175064","0","0","73073.501195978068","260961.87972016016"
2010-12-01,"18026.047349177334","0","0","18026.047349177334","0","0","169322.4220413146","169322.4220413146","0","0","69995.759551736744","257344.22894222866"
2011-01-01,"17899.173491773312","0","0","17899.173491773312","0","0","168547.22277257603","168547.22277257603","0","0","67670.516407312622","254116.91267166196"
2011-02-01,"17847.590859232179","0","0","17847.590859232179","0","0","168061.49590579624","168061.49590579624","0","0","66339.305547349184","252248.3923123776"
2011-03-01,"17796.008226691047","0","0","17796.008226691047","0","0","167563.15477941869","167563.15477941869","0","0","64893.873687385742","250253.03669349547"
2011-04-01,"17770.216910420477","0","0","17770.216910420477","0","0","167320.30962756445","167320.30962756445","0","0","64223.312757404012","249313.83929538896"
2011-05-01,"17518.29734917733","0","0","17518.29734917733","0","0","166690.51072445657","166690.51072445657","0","0","62743.433415539301","246952.2414891732"
2011-06-01,"17065.229981718465","0","0","17065.229981718465","0","0","165945.4717883245","165945.4717883245","0","0","61420.451001096895","244431.15277113987"
2011-07-01,"17040.425868372946","0","0","17040.425868372946","0","0","164950.70707522711","164950.70707522711","0","0","60452.149147897624","242443.28209149768"
2011-08-01,"17040.425868372946","0","0","17040.425868372946","0","0","164536.24638052873","164536.24638052873","0","0","59021.178398354663","240597.85064725636"
2011-09-01,"17027.866453382085","0","0","17027.866453382085","0","0","164285.05808071158","164285.05808071158","0","0","58273.059568372948","239585.98410246661"
2011-10-01,"16776.678153564902","0","0","16776.678153564902","0","0","163405.89903135144","163405.89903135144","0","0","57623.059568372948","237805.63675328926"
2011-11-01,"15372.733272394882","0","0","15372.733272394882","0","0","162917.22206962516","162917.22206962516","0","0","56785.046355027429","235075.0016970475"
2011-12-01,"15121.910603290677","0","0","15121.910603290677","0","0","162415.57673141675","162415.57673141675","0","0","55260.214545155402","232797.70187986284"
2012-01-01,"15121.910603290677","0","0","15121.910603290677","0","0","162365.41219759593","162365.41219759593","0","0","53547.101199634366","231034.42400052099"
2012-02-01,"14871.087934186475","0","0","14871.087934186475","0","0","161487.5328557312","161487.5328557312","0","0","52508.044526873869","228866.66531679156"
2012-03-01,"14745.676599634371","0","0","14745.676599634371","0","0","158853.89483013705","158853.89483013705","0","0","52136.044526873869","225735.61595664528"
2012-04-01,"13867.797257769653","0","0","13867.797257769653","0","0","158302.08495810779","158302.08495810779","0","0","51676.633192321766","223846.51540819922"
2012-05-01,"13742.385923217553","0","0","13742.385923217553","0","0","158051.26228900361","158051.26228900361","0","0","51251.221857769662","223044.87006999081"
2012-06-01,"13491.563254113347","0","0","13491.563254113347","0","0","156922.56027803468","156922.56027803468","0","0","48292.742188665456","218706.86572081348"
2012-07-01,"13115.32925045704","0","0","13115.32925045704","0","0","156546.32627437837","156546.32627437837","0","0","47916.508185009152","217578.16370984455"
2012-08-01,"12613.683912248631","0","0","12613.683912248631","0","0","156295.50360527416","156295.50360527416","0","0","47791.096850457048","216700.28436797985"
2012-09-01,"11359.570566727607","0","0","11359.570566727607","0","0","153787.27691423212","153787.27691423212","0","0","46536.983504936026","211683.83098589577"
2012-10-01,"11359.570566727607","0","0","11359.570566727607","0","0","153160.2202414716","153160.2202414716","0","0","46286.160835831819","210805.95164403104"
2012-11-01,"10105.457221206581","0","0","10105.457221206581","0","0","151141.09775518277","151141.09775518277","0","0","45157.458824862901","206404.01380125224"
2012-12-01,"8851.3438756855594","0","0","8851.3438756855594","0","0","150764.86375152646","150764.86375152646","0","0","43903.345479341871","203519.55310655388"
2013-01-01,"8036.1702010968938","0","0","8036.1702010968938","0","0","150012.39574421383","150012.39574421383","0","0","42649.232133820849","200697.79807913158"
2013-02-01,"7534.5248628884838","0","0","7534.5248628884838","0","0","148758.28239869283","148758.28239869283","0","0","42523.820799268753","198816.62806085005"
2013-03-01,"7534.5248628884838","0","0","7534.5248628884838","0","0","148382.04839503649","148382.04839503649","0","0","38761.480762705673","194678.05402063063"
2013-04-01,"7534.5248628884838","0","0","7534.5248628884838","0","0","147629.58038772389","147629.58038772389","0","0","37632.778751736754","192796.88400234911"
2013-05-01,"6907.4681901279719","0","0","6907.4681901279719","0","0","145999.23303854658","145999.23303854658","0","0","35124.552060694703","188031.25328936926"
2013-06-01,"6907.4681901279719","0","0","6907.4681901279719","0","0","144368.88568936923","144368.88568936923","0","0","33870.438715173681","185146.7925946709"
2013-07-01,"6531.2341864716645","0","0","6531.2341864716645","0","0","142876.49080819922","142876.49080819922","0","0","32616.325369652652","182024.05036432354"
2013-08-01,"5277.1208409506407","0","0","5277.1208409506407","0","0","142249.4341354387","142249.4341354387","0","0","25091.645296526513","172618.20027291586"
2013-09-01,"5277.1208409506407","0","0","5277.1208409506407","0","0","141120.7321244698","141120.7321244698","0","0","24840.822627422305","171238.67559284274"
2013-10-01,"5277.1208409506407","0","0","5277.1208409506407","0","0","140368.26411715714","140368.26411715714","0","0","23837.531951005487","169482.91690911326"
2013-11-01,"5277.1208409506407","0","0","5277.1208409506407","0","0","140054.73578077689","140054.73578077689","0","0","23210.475278244976","168542.33189997249"
2013-12-01,"5026.2981718464353","0","0","5026.2981718464353","0","0","139176.85643891222","139176.85643891222","0","0","22583.418605484461","166786.57321624312"
2014-01-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","138549.7997661517","138549.7997661517","0","0","22458.007270932361","165908.6938743784"
2014-02-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","137671.92042428697","137671.92042428697","0","0","22332.595936380261","164905.40319796157"
2014-03-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","136668.62974787015","136668.62974787015","0","0","21705.539263619747","163275.05584878422"
2014-04-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","135853.45607328147","135853.45607328147","0","0","20576.837252650825","161331.18016322661"
2014-05-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","134850.16539686467","134850.16539686467","0","0","20075.191914442414","159826.2441486014"
2014-06-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","134599.34272776046","134599.34272776046","0","0","19448.135241681903","158948.3648067367"
2014-07-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","133721.46338589577","133721.46338589577","0","0","18695.667234369288","157318.01745755938"
2014-08-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","133219.81804768735","133219.81804768735","0","0","18194.021896160877","156314.72678114256"
2014-09-01,"4900.8868372943325","0","0","4900.8868372943325","0","0","130084.53468388479","130084.53468388479","0","0","18194.021896160877","153179.44341733999"
2014-10-01,"4775.4755027422307","0","0","4775.4755027422307","0","0","128579.59866925955","128579.59866925955","0","0","17566.965223400366","150922.03939540213"
2014-11-01,"4650.0641681901279","0","0","4650.0641681901279","0","0","127576.30799284272","127576.30799284272","0","0","16312.85187787934","148539.22403891219"
2014-12-01,"4148.4188299817188","0","0","4148.4188299817188","0","0","45164.294950795185","45164.294950795185","0","0","16062.02920877514","65374.742989552047"
2015-01-01,"4148.4188299817188","0","0","4148.4188299817188","0","0","45164.294950795185","45164.294950795185","0","0","13553.802517733089","62866.516298509989"
2015-02-01,"3897.5961608775142","0","0","3897.5961608775142","0","0","43151.51827803468","43151.51827803468","0","0","12299.689172212067","59348.803611124255"
2015-03-01,"3772.1848263254114","0","0","3772.1848263254114","0","0","43151.51827803468","43151.51827803468","0","0","11045.575826691042","57969.278931051136"
2015-04-01,"3521.3621572212064","0","0","3521.3621572212064","0","0","43026.106943482577","43026.106943482577","0","0","10669.341823034736","57216.810923738522"
2015-05-01,"3395.9508226691046","0","0","3395.9508226691046","0","0","43026.106943482577","43026.106943482577","0","0","9791.4624811700196","56213.5202473217"
2015-06-01,"3395.9508226691046","0","0","3395.9508226691046","0","0","43026.106943482577","43026.106943482577","0","0","9791.4624811700196","56213.5202473217"
2015-07-01,"2894.305484460695","0","0","2894.305484460695","0","0","42900.695608930473","42900.695608930473","0","0","9791.4624811700196","55586.463574561189"
2015-08-01,"2518.0714808043876","0","0","2518.0714808043876","0","0","42900.695608930473","42900.695608930473","0","0","9540.6398120658159","54959.40690180067"
2015-09-01,"2518.0714808043876","0","0","2518.0714808043876","0","0","42900.695608930473","42900.695608930473","0","0","8913.5831393053049","54332.350229040167"
