"MES","BCEP01","BCEP02","BCEP03","BCEP04","BCEP05","BCEP06","BCEP07"
1998-01-01,"295","295","  73","23628","-","821052","-499168"
1998-02-01,"296","296","  72","23716","-","821357","-500153"
1998-03-01,"298","298","  74","23892","-","827293","-503362"
1998-04-01,"298","298","  74","23992","-","830783","-503362"
1998-05-01,"299","299","  74","24080","-","831682","-503362"
1998-06-01,"300","300","  74","24167","-","832581","-503362"
1998-07-01,"301","301","  74","24199","-","833536","-503362"
1998-08-01,"302","302","  74","24214","-","834013","-503362"
1998-09-01,"304","304","  74","24260","-","835448","-503362"
1998-10-01,"305","305","  74","24635","-","836062","-503362"
1998-11-01,"306","306","  74","24723","-","836956","-503362"
1998-12-01,"307","307","  74","24855","-","838305","-503362"
1999-01-01,"307","307","  74","24855","-","838305","-503362"
1999-02-01,"310","310","  74","25031","-","840101","-503362"
1999-03-01,"311","311","  74","25164","-","841447","-503362"
1999-04-01,"313","313","  74","25296","-","842796","-503362"
1999-05-01,"315","315","  74","25428","-","844144","-503362"
1999-06-01,"316","316","  74","25516","-","845042","-503362"
1999-07-01,"318","318","  74","25692","-","846839","-503362"
1999-08-01,"320","320","  74","25869","-","848636","-503362"
1999-09-01,"322","322","  74","26001","-","849983","-503362"
1999-10-01,"324","324","  74","26177","-","851780","-503362"
1999-11-01,"325","325","  74","26265","-","852679","-503362"
1999-12-01,"326","326","  74","26353","-","853577","-503362"
2000-01-01,"328","328","74","26486","-","854924","-503362"
2000-02-01,"329","329","74","26618","-","856272","-503362"
2000-03-01,"331","331","74","26794","-","858069","-503362"
2000-04-01,"333.1","333","73.7","26926.3","-","859417","-503362.3"
2000-05-01,"335","335","74","27058","-","860764","-503362"
2000-06-01,"336","336","74","27191","-","862112","-503362"
2000-07-01,"338","338","74","27323","-","863458","-503362"
2000-08-01,"340","340","74","27455","-","864806","-503362"
2000-09-01,"342","342","74","27631","-","866603","-503362"
2000-10-01,"343","343","74","27764","-","867951","-503362"
2000-11-01,"346","346","74","27940","-","869747","-503362"
2000-12-01,"348","348","  74","28116","-","871544","-503362"
2001-01-01,"349","349","74","28248","-","872892","-503362"
2001-02-01,"351","351","74","28336","-","873790","-503362"
2001-03-01,"353","353","74","28513","-","875586","-503362"
2001-04-01,"354","354","74","28645","-","876935","-503362"
2001-05-01,"357","357","74","28865","-","879181","-503362"
2001-06-01,"359","359","74","28998","-","880527","-503362"
2001-07-01,"362","362","74","29262","-","883223","-503362"
2001-08-01,"364","364","74","29438","-","885020","-503362"
2001-09-01,"366","366","74","29614","-","886817","-503362"
2001-10-01,"370","370","74","29879","-","889511","-503362"
2001-11-01,"371","371","74","30011","-","890860","-503362"
2001-12-01,"371","371","74","30011","-","890860","-503362"
2002-01-01,"376","376","74","30364","-","894452","-503362"
2002-02-01,"379","379","74","30672","-","897598","-503362"
2002-03-01,"382","382","74","30892","-","899844","-503362"
2002-04-01,"384","384","74","31025","-","901190","-503362"
2002-05-01,"385","385","74","31157","-","902539","-503362"
2002-06-01,"390","390","74","31509","-","906131","-503362"
2002-07-01,"394","394","74","31818","-","909276","-503362"
2002-08-01,"397","397","74","32082","-","911972","-503362"
2002-09-01,"400","400","74","32303","-","888537","-477682"
2002-10-01,"402","402","74","32523","-","890784","-477682"
2002-11-01,"405","405","74","32743","-","893030","-477682"
2002-12-01,"408","408","74","32964","-","895275","-477682"
2003-01-01,"410","410","74","33184","-","897522","-477682"
2003-02-01,"411.584","411.584","74","33272","-","898419","-477682"
2003-03-01,"413","413","74","33404","-","899767","-477682"
2003-04-01,"413.76499999999999","413.76499999999999","74","33449","-","900216","-477682"
2003-05-01,"414.85500000000002","414.85500000000002","74","33537","-","901115","-477682"
2003-06-01,"416.49099999999999","416.49099999999999","74","33669","-","902463","-477682"
2003-07-01,"418.12599999999998","418.12599999999998","74","33801","-","903810","-477682"
2003-08-01,"420.30700000000002","420.30700000000002","74","33977","-","905607","-477682"
2003-09-01,"421.39699999999999","421.39699999999999","74","34065","-","906506","-477682"
2003-10-01,"422.48700000000002","422.48700000000002","74","34154","-","907404","-477682"
2003-11-01,"423.57799999999997","423.57799999999997","74","34242","-","908300","-477682"
2003-12-01,"426.303","426.303","74","34462","-","910548","-477682"
2004-01-01,"427.39400000000001","427.39400000000001","74","34550","-","911447","-477682"
2004-02-01,"427.93900000000002","427.93900000000002","74","34594","-","911895","-477682"
2004-03-01,"-","-","74","34727","-","913671.57400000002","-477682"
2004-04-01,"-","-","74","34771","-","914122","-477682"
2004-05-01,"-","-","74","34815","-","914571","-477682"
2004-06-01,"-","-","74","34903","-","915472","-477682"
2004-07-01,"-","-","74","34947","-","915920","-477682"
2004-08-01,"-","-","74","35079","-","917271","-477682"
2004-09-01,"-","-","74","35167","-","918170","-477682"
2004-10-01,"-","-","74","35299","-","919520","-477682"
2004-11-01,"-","-","74","35343","-","919970","-477682"
2004-12-01,"-","-","74","35432","-","920868","-477682"
2005-01-01,"-","-","73.72","35475.69","-","921318.88","-477682.31"
