"MES","BCDA01","BCDA02","BCDA03","BCDA04","BCDA05","BCDA06","BCDA07","BCDA08","BCDA09","BCDA10","BCDA11","BCDA12","BCDA13"
1998-01-01,,"23961.374","237687.85800000001",,,"313.54599999999999","7078.0349999999989","269040.81300000002",,,,"87425.23","181615.48300000001"
1998-02-01,,"58357.336000000003","236530.55300000001",,,"314.71300000000002","7819.8220000000001","303022.424",,,,"120446.667","182575.75699999998"
1998-03-01,,"10342.873","314748.38299999997",,,"317.04300000000001","6885.06","332293.359",,,,"153827.41399999999","178465.94500000001"
1998-04-01,,"1904.3920000000001","325505.26299999998",,,"318.791","6148.5779999999995","333877.02399999998",,,,"153302.22","180574.80399999997"
1998-05-01,,"5681.3639999999996","325595.58299999998",,,"319.95800000000003","6882.8029999999999","338479.70799999998",,,,"155862.42200000002","182617.285"
1998-06-01,,"5855.6260000000002","337295.05",,,"255.304","7967.9210000000003","351373.90099999995",,,,"166768.03","184605.87100000001"
1998-07-01,,"3236.511","325539.14",,,"17228.934000000001","9171.5479999999989","355176.13300000003",,,,"168774.94099999999","186401.19199999998"
1998-08-01,,"7679.65","347132.46899999998",,,"16734.524000000001","9413.0639999999985","380959.70699999999",,,,"192931.527","188028.18"
1998-09-01,,"13595.797","359812.50699999998",,,"39.649000000000001","9525.7260000000006","382973.679",,,,"192697.65699999998","190276.022"
1998-10-01,,"27627.432000000001","373247.103",,,"0","8890.0149999999994","409764.55",,,,"217451.85199999998","192312.698"
1998-11-01,,"16603.111000000001","392389.538",,,"0","9450.5460000000021","418443.19499999995",,,,"224386.99800000002","194056.19700000001"
1998-12-01,,"31895.096999999998","423334.27500000002",,,"0","10640.95","465870.32200000004",,,,"273156.00699999998","192714.315"
1999-01-01,,"17406.420999999998","439374.13400000002",,,"1045.0309999999999","11660.423000000001","469486.00900000002",,,,"275219.27600000001","194266.734"
1999-02-01,,"9814.005000000001","451283.16700000002",,,"1052.443","10354.904999999999","472504.52",,,,"275090.49300000002","197414.027"
1999-03-01,,"14176.572","473323.663",,,"1058.001","11594.531000000001","500152.76699999999",,,,"300690.40400000004","199462.36300000001"
1999-04-01,,"22535.367999999999","482542.87699999998",,,"1063.56","11150.094000000001","517291.89899999998",,,,"315068.7","202223.19899999999"
1999-05-01,,"9234.4950000000008","541248.58299999998",,,"949.86500000000001","10541.109000000002","561974.05200000003",,,"38082","321708.51200000005","202183.54"
1999-06-01,,"7438.5370000000003","569277.79099999997",,,"830.06799999999998","12144.391","589690.78699999989",,,"55005","330306.25100000005","204379.53600000002"
1999-07-01,,"3911.8640000000005","614268.13699999999",,,"698.72900000000004","14827.418","633706.14799999993",,,"78705","347419.79699999996","207581.351"
1999-08-01,,"4464.6880000000001","647072.01100000006",,,"529.65599999999995","16517.074000000001","668583.429",,,"93333","364267.70299999998","210982.72700000001"
1999-09-01,,"4021.55","665189.86300000001",,,"416.916","18509.800999999996","688138.13",,,"100890","373533.17600000004","213714.954"
1999-10-01,,"6237.2049999999999","751655.80200000003",,,"255.083","19674.126000000004","777822.21600000001",,,"172854","388361.21400000004","216607.00200000001"
1999-11-01,,"11131.091999999999","824524.41500000004",,,"80.795000000000002","16941.91","852678.21200000006",,,"208600","424802.62600000005","219275.58600000001"
1999-12-01,,"6718.9780000000001","896745.95",,,"1680.5530000000001","21954.909","927100.39","29900",,"218868","454465.96900000004","223866.42199999999"
2000-01-01,,"19146.462","892099.77300000004",,,"1688.9849999999999","25940.379000000001","938875.59900000005","30050","0","219966","467598.478","221261.12100000001"
2000-02-01,,"12101.654","900969.72499999998",,,"1697.4159999999999","27254.442000000003","942023.23699999996","30200","0","221064","466795.25799999997","223963.97899999999"
2000-03-01,,"5076.4529999999995","918166.38500000001",,,"1708.6569999999999","30531.625999999997","955483.12100000004","30400","3708.0459999999998","222528","471366.57599999994","227480.49799999999"
2000-04-01,,"7187.9989999999998","928062.24",,,"1717.155","31046.042000000001","968013.43599999999","30550","0","223626","497961.99900000001","215875.43700000001"
2000-05-01,,"42120.235000000001","896647.67799999996",,,"1514.452","27533.411","967815.77599999995","30700","0","224724","493555.23600000003","218836.541"
2000-06-01,,"15179.147000000001","907753.74399999995",,,"4390.68","27821.524999999998","955145.09600000002","0","0","225822","507671.51199999993","221651.584"
2000-07-01,,"6842.625","928738.88500000001",,,"4214.2299999999996","27351.800999999999","967147.54099999997","0","0","226920","515575.20399999997","224652.337"
2000-08-01,,"534.51400000000001","934585.1",,,"6775.7809999999999","27633.286","969528.68099999987","0","0","228018","513502.87599999993","228007.80499999999"
2000-09-01,,"687.91600000000005","937594.08900000004",,,"5300.4319999999998","30949.155999999999","974531.59299999999","0","0","229482","517383.516","227666.07800000001"
2000-10-01,,"2817.7750000000001","954520.13699999999",,,"5114.5200000000004","33761.014999999999","996213.44700000004","0","0","230580","535131.66700000002","230501.78"
2000-11-01,,"3286.5050000000001","960365.89",,,"4931.3490000000002","31706.163","1000289.9070000001","0","0","232044","534662.18400000001","233583.72399999999"
