"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
1998-01-01,"40681","1228","9269","30184","3764","693841","692453","584774",,"83447","24232","1388","6573","45925","790784"
1998-02-01,"36765","1499","16149","19117","2823","716266","714859","573880",,"114285","26694","1407","6768","46873","809495"
1998-03-01,"28657","1558","6854","20245","3339","745309","743853","599011",,"114104","30738","1456","6793","49235","833333"
1998-04-01,"39089","1589","17679","19821","2812","778280","776658","626257",,"123825","26576","1622","6512","50214","876907"
1998-05-01,"39942","1691","20608","17643","6277","807094","805386","644235",,"130014","31137","1708","6655","52197","912165"
1998-06-01,"20451","914","5324","14213","11465","836779","832462","684603",,"116511","31348","4317","5570","53594","927859"
1998-07-01,"34093","1209","9959","22925","20914","865837","864050","704551",,"126965","32534","1787","27413","57998","1006255"
1998-08-01,"44824","1561","5398","37865","28972","888134","886266","717602",,"132832","35832","1868","43511","62301","1067742"
1998-09-01,"72209","1529","10193","60487","38971","915674","913753","751029",,"124672","38052","1921","3513","64079","1094446"
1998-10-01,"32418","1357","11737","19324","42982","952618","950634","796755",,"114979","38900","1984","2821","65604","1096443"
1998-11-01,"27344","2029","3571","21744","45704","978421","976378","829196",,"107929","39253","2043","2083","66739","1120291"
1998-12-01,"38396","1235","11279","25882","49900","973694","969385","838809",,"91672","38904","4309","7759","65563","1135312"
1999-01-01,"43224","1880","11398","29946","57283","949202","947149","736687",,"168715","41747","2053","7034","69581","1126324"
1999-02-01,"44290","2400","11429","30461","60219","952112","950055","730518",,"176790","42747","2057","7034","69273","1132928"
1999-03-01,"35558","2032","8506","25020","61177","939471","937395","758015",,"134170","45210","2076","6229","69885","1112320"
1999-04-01,"31540","1887","10557","19096","61657","935087","933000","756517",,"130898","45585","2087","5900","68883","1103067"
1999-05-01,"44544","2211","9915","32418","61446","921252","919155","737608",,"151098","30449","2097","5882","70934","1104058"
1999-06-01,"37438","1671","9893","25874","60523","924792","922693","747469",,"143278","31946","2099","5777","71064","1099594"
1999-07-01,"42651","1698","5661","35292","63208","921328","919172","745627",,"152696","20849","2156","5182","82919","1115288"
1999-08-01,"43617","1241","9535","32841","62640","892640","890461","714152",,"155101","21208","2179","4504","97317","1100718"
1999-09-01,"49859","1656","9464","38739","62583","894857","892665","713451",,"156430","22784","2192","4247","97648","1109194"
1999-10-01,"44696","1483","9287","33926","61991","903423","901209","718531",,"157262","25416","2214","4002","97471","1111583"
1999-11-01,"68131","1890","4127","62114","56399","745560","743316","590757",,"118320","34239","2244","2271","97179","969540"
1999-12-01,"76759","1210","8232","67317","47705","702458","700205","586593",,"92008","21604","2253","4037","83916","914875"
2000-01-01,"86422","1520","23772","61130","44273","680067","677803","561278","49373","42132","25020","2264","4279","63566","878607"
2000-02-01,"78654","1614","16088","60952","39719","672946","670671","551258","49848","41471","28094","2275","3888","53353","848560"
2000-03-01,"93028","1559","14322","77147","35715","657807","655517","543147","42781","40857","28732","2290","3737","52308","842595"
2000-04-01,"91659","2856","4979","83824","38306","736080","733352","609216","50059","41669","32408","2728","3141","75798","944984"
2000-05-01,"79305","2592","7850","68863","34004","763578","760834","647535","38390","41098","33811","2744","3046","79252","959185"
2000-06-01,"88017","2541","9187","76289","35308","794558","791783","691085","34733","36237","29728","2775","2391","79099","999373"
2000-07-01,"90326","2948","5679","81699","40437","778053","775256","678247","47602","23555","25852","2797","2004","81155","991975"
2000-08-01,"109182.349","2186.3490000000002","6156","100840","39064","791593","788780","698483","32014","30994","27289","2813","1701","82346","1023886.3489999999"
2000-09-01,"98971","2601","5914","90456","38867","801744","798909","691514","43304","35463","28628","2835","1383","85802","1026767"
2000-10-01,"69229","3005","4935","61289","38924","813824","810966","700545","42622","34622","33177","2858","1025","90012","1013014"
2000-11-01,"79716","2470","4250","72996","38502","836892","833987","724876","35373","38017","35721","2905","676","79821","1035607"
2000-12-01,"93946","2079","20691","71176","38924","864130","861200","772492","23427","31990","33291","2930","3416","81051","1081467"
2001-01-01,"102677","2570","14762","85345","42408","860484","857541","744815","42190","32416","38120","2943","3320","81619","1090508"
2001-02-01,"89695","3429","16781","69485","42364","866422","863469","715206","64666","42908","40689","2953","3289","93898","1095668"
2001-03-01,"90708","2390","13364","74954","41682","873633","870657","746889","33961","50401","39406","2976","3276","94941","1104240"
2001-04-01,"96694","3364","11734","81596","42491","883734","880734","743124","40274","54192","43144","3000","3096","94036","1120051"
2001-05-01,"83116","2445","10757","69914","44024","904176","901150","766378","32112","55858","46802","3026","2927","103616","1137859"
2001-06-01,"71435","2342","9156","59937","45861","908143","905100","781374","28528","47371","47827","3043","2472","103289","1131200"
2001-07-01,"74619","3501","6399","64719","48986","919700","916654","781956","34982","49996","49720","3046","2113","104768","1150186"
2001-08-01,"78457","2906","8905","66646","51049","941895","938866","803832","28541","54841","51652","3029","1816","108036","1181253"
2001-09-01,"87122","3601","9592","73929","53326","958895","955877","817213","30174","55169","53321","3018","1518","108897","1209758"
2001-10-01,"79855","3472","9291","67092","56046","971282","968229","850972","24741","52345","40171","3053","1641","124496","1233320"
2001-11-01,"75534","3885","8101","63548","57613","996885","993817","875097","27199","49499","42022","3068","2210","124662","1256904"
2001-12-01,"94418","3519","8587","82312","53883","1011461","1008368","904311","18503","45343","40211","3093","3673","131999","1295434"
2002-01-01,"133362","4900","9333","119129","62177","1019925","1016795","892041","33782","49066","41906","3130","3453","133388","1352305"
2002-02-01,"143121","5275","8480","129366","63307","1031114","1027952","890820","36298","58535","42299","3162","3383","135868","1376793"
2002-03-01,"144192","4345","8970","130877","64070","1050727","1047541","909657","32074","62758","43052","3186","3216","140202","1402407"
2002-04-01,"103098","4953","8568","89577","65265","1074665","1071466","937637","29505","59953","44371","3199","3796","143376","1390200"
2002-05-01,"111962","5385","12817","93760","69928","1100373","1097160","959393","30007","61738","46022","3213","3829","142381","1428473"
2002-06-01,"97784","4863","9594","83327","70279","1143382","1140123","1006573","26562","59471","47517","3259","3539","145401","1460385"
2002-07-01,"101048.84874","5281","51999.848740000001","43768","37720.151259999999","1163105","1159814","1021207","28419","60452","49736","3291","3339","147739","1452952"
2002-08-01,"118958.1257296","5748","51604.125729599997","61606","33090.874270400003","1177360","1174042","1042961","26199","56231","48651","3318","3092","150822","1483323"
2002-09-01,"109128","6970","35258","66900","53044","1192805","1189463","1060854","29553","54423","44633","3342","2786","154930","1512693"
2002-10-01,"113247","6521","27854","78872","71433","1343436","1339816","1199731","28535","53855","57695","3620","9776","173667","1711559"
2002-11-01,"103952","5215","34738","63999","69276","1376857","1373212","1228501","30635","54435","59641","3645","8570","177042","1735697"
2002-12-01,"94561","7464","16105","70992","88239","1408443","1404766","1303686","0","48962","52118","3677","10024","182291","1783558"
