"MES","SFBP01","SFBP02","SFBP03","SFBP04","SFBP05","SFBP06","SFBP07","SFBP08","SFBP09","SFBP10","SFBP11","SFBP12","SFBP13","SFBP14","SFBP15","SFBP16","SFBP17","SFBP18","SFBP19","SFBP20","SFBP21","SFBP22","SFBP23","SFBP24","SFBP25","SFBP26","SFBP27","SFBP28","SFBP29","SFBP30","SFBP31"
1998-01-01,"535484","0","0","0","0","11499","183","11316","-","-","514284","1460","512824","0","0","9701","5500","4201","-","49306","0","40262","9044","8072","8072","-","-","4708","2690","85693","104831"
1998-02-01,"547921","0","0","0","0","12417","260","12157","-","-","525954","1661","524293","0","0","9550","5500","4050","-","49358","0","40977","8381","7775","7775","-","-","4725","2700","90130","106886"
1998-03-01,"550713","0","0","0","0","13239","245","12994","-","-","527329","1674","525655","0","0","10145","6065","4080","-","65095","0","53932","11163","6781","6781","-","-","4760","2720","93760","109504"
1998-04-01,"565019","0","0","0","0","13732","230","13502","-","-","539767","1699","536858","1210","1210","11520","7417","4103","-","84294","0","73191","11103","5999","5999","-","-","0","7521","100832","113242"
1998-05-01,"596885","0","0","0","0","16119","245","15874","-","-","570661","1694","567667","1300","1300","10105","5987","4118","-","71364","0","60288","11076","5197","5197","-","-","0","9745","114081","114893"
1998-06-01,"607550","0","0","0","0","11069","297","10772","-","-","586168","1941","574956","9271","9271","10313","6180","4133","-","76372","1873","61571","12928","4586","4586","-","-","0","9551","111507","118293"
1998-07-01,"676273","0","0","0","0","10838","216","10622","-","-","655372","2436","643631","9305","9305","10063","5500","4563","-","77171","0","61554","15617","1476","1476","-","-","0","9585","119649","122101"
1998-08-01,"732684","0","0","0","0","14737","263","14474","-","-","707798","2650","693606","11542","11542","10149","5994","4155","-","71598","0","55204","16394","1568","1568","-","-","0","10932","126132","124828"
1998-09-01,"746162","0","0","0","0","15543","304","15239","-","-","720158","4603","709753","5802","5802","10461","6283","4178","-","74154","0","48883","25271","1532","1532","-","-","0","13360","132261","126977"
1998-10-01,"729529","0","0","0","0","12100","342","11758","-","-","707525","5149","696553","5823","5823","9904","5711","4193","-","82047","6708","46188","29151","1719","1719","-","-","0","13408","137891","131849"
1998-11-01,"705697","0","0","0","0","17222","338","16884","-","-","678477","2839","669794","5844","5844","9998","5791","4207","-","83795","7854","46754","29187","1863","1863","-","-","2104","24681","140108","162043"
1998-12-01,"723581","0","0","0","0","17625","609","17016","-","-","696076","2853","687379","5844","5844","9880","5791","4089","-","76909","2256","38099","36554","7735","7735","-","-","5781","24529","132449","164328"
1999-01-01,"686796","0","0","0","0","20339","691","19648","-","-","656577","3574","647159","5844","5844","9880","5791","4089","-","104642","9870","53172","41600","7294","7294","-","-","3666","24529","134358","165039"
1999-02-01,"690891","0","0","0","0","18108","673","17435","-","-","662874","4549","652481","5844","5844","9909","5791","4118","-","104099","9870","53317","40912","7262","7261","1","-","3692","24637","137101","165246"
1999-03-01,"670600","14","0","14","0","19866","536","19330","-","-","640789","3024","631921","5844","5844","9931","5791","4140","-","99438","10107","43920","45411","7627","7626","1","-","857","27166","137121","169511"
1999-04-01,"657214","0","0","0","0","18999","641","18358","-","-","628263","2993","619426","5844","5844","9952","5791","4161","-","103451","10160","48438","44853","1793","1792","1","-","861","27261","145345","167142"
1999-05-01,"648990","0","0","0","0","17148","596","16552","-","-","621868","5069","610955","5844","5844","9974","5791","4183","-","108486","10098","53372","45016","1681","1681","-","-","866","38655","135949","169431"
1999-06-01,"646345","0","0","0","0","21681","675","21006","-","-","614820","5050","603926","5844","5844","9844","5791","4053","-","106327","10098","53427","42802","1728","1728","-","-","    -","38757","134845","171592"
1999-07-01,"673977","0","0","0","0","17077","714","16363","-","-","647244","5135","639189","2920","2920","9656","44","9612","-","94003","0","43164","50839","1346","1346","-","-","    -","41600","124571","179791"
1999-08-01,"664461","0","0","0","0","16546","523","16023","-","-","638193","5131","630122","2940","2940","9721","43","9678","-","91427","0","41254","50173","1308","1308","-","-","    -","43414","115271","184837"
1999-09-01,"664078","0","0","0","0","22051","677","21374","-","-","632214","5164","624095","2955","2955","9813","85","9728","-","90661","0","41808","48853","1358","1358","-","-","2213","52756","112615","185513"
1999-10-01,"657250","0","0","0","0","18711","705","18006","-","-","628653","5186","620492","2975","2975","9886","92","9794","-","97151","0","40000","57151","1306","1306","-","-","2228","52651","115094","185903"
