"MES","BCOA01","BCOA02","BCOA03","BCOA04","BCOA05","BCOA06","BCOA07","BCOA08","BCOA09","BCOA10","BCOA11","BCOA12","BCOA13","BCOA14","BCOA15"
1998-01-01,"100649","4369","43485","52795","13073","986066","978667","867858",,"68387","42422","7399","2629","153060","1255477"
1998-02-01,"101127","7150","43549","50428","14206","993121","985626","853523",,"89334","42769","7495","2597","158456","1269507"
1998-03-01,"89214","4106","44187","40921","12965","1009967","1002915","879535",,"78290","45090","7052","2547","162192","1276885"
1998-04-01,"102355","4349","44339","53667","13015","1030152","1023056","895380",,"81739","45937","7096","2924","162888","1311334"
1998-05-01,"104707","4706","40412","59589","17345","1044845","1037600","904892",,"84902","47806","7245","2871","166069","1335837"
1998-06-01,"102091","4628","12207","85256","20991","1054999","1048285","926375",,"73489","48421","6714","2424","165387","1345892"
1998-07-01,"99518","5282","11360","82876","28155","1077461","1070708","942541",,"79407","48760","6753","2248","166999","1374381"
1998-08-01,"109098","5602","8367","95129","29255","1092187","1085354","951590",,"81947","51817","6833","2143","168582","1401265"
1998-09-01,"115138","4838","6864","103436","32531","1118064","1111132","974684",,"84544","51904","6932","2050","170707","1438490"
1998-10-01,"103702","4372","8641","90689","35475","1143525","1136549","1003742",,"79100","53707","6976","1955","171361","1456018"
1998-11-01,"107526","4606","7017","95903","35866","1157762","1150705","1009509",,"86403","54793","7057","1847","169432","1472433"
1998-12-01,"108066","3817","7398","96851","38878","1150331","1143136","1022573",,"69287","51276","7195","3619","132685","1433579"
1999-01-01,"119196","3283","10063","105850","44340","1171019","1163689","1016016",,"104508","43165","7330","2601","143568","1480724"
1999-02-01,"132185","3506","5967","122712","49902","1169891","1162536","997278",,"120904","44354","7355","2514","149692","1504184"
1999-03-01,"136781","3678","6874","126229","47893","1177779","1170335","1003647",,"117637","49051","7444","2499","153924","1518876"
1999-04-01,"133768","3966","6063","123739","51667","1178355","1171015","991914",,"122575","56526","7340","2940","154860","1521590"
1999-05-01,"136893","5035","7548","124310","49607","1178224","1170864","980739",,"123965","66160","7360","3046","158423","1526193"
