"MES","BCOP01","BCOP02","BCOP03","BCOP04","BCOP05","BCOP06","BCOP07","BCOP08","BCOP09","BCOP10","BCOP11","BCOP12","BCOP13","BCOP14","BCOP15","BCOP16","BCOP17","BCOP18","BCOP19","BCOP20","BCOP21","BCOP22","BCOP23","BCOP24","BCOP25","BCOP26","BCOP27","BCOP28","BCOP29","BCOP30"
1998-01-01,"808470","1399","-","1230","169","290783","7175","281910","1698",,"514179","435","513744","-",,"2109","1043","1066","166875","1883","2802","162190","2903","2709","194","-","4035","1579","107332","164283"
1998-02-01,"818848","1418","4","1247","167","292792","7922","283872","998",,"521628","375","521253","-",,"3010","1731","1279","166094","1890","1907","162297","3028","2839","189","-","3375","1579","109584","166999"
1998-03-01,"823128","1473","8","1301","164","289770","6669","281847","1254",,"529606","352","529254","-",,"2279","1811","468","166265","1890","1405","162970","2810","2596","213","1","3400","1577","109121","170584"
1998-04-01,"841632","1535","8","1364","163","296372","7034","288456","882",,"541568","352","541216","-",,"2157","1445","712","167147","1890","1026","164231","2054","1804","249","1","11624","1577","114297","173003"
1998-05-01,"853112","1501","7","1331","163","298308","7351","289954","1003",,"550795","352","550443","-",,"2508","1857","651","167483","1890","1264","164329","2083","1822","260","1","13039","1552","123230","175338"
1998-06-01,"857268","1504","7","1335","162","305669","6748","297798","1123",,"548106","399","547707","-",,"1989","1305","684","169851","1890","3718","164243","2049","1694","354","1","7576","6374","121332","181442"
1998-07-01,"878753","1564","7","1557","-","314806","7123","306441","1242",,"560361","352","560009","-",,"2022","1331","691","168172","1890","2187","164095","1626","1286","339","1","7604","6387","127049","184790"
1998-08-01,"893255","1565","4","1561","-","317868","6498","310008","1362",,"571804","352","571452","-",,"2018","1547","471","170279","1890","4558","163831","1669","1243","425","1","7618","5690","134624","188130"
1998-09-01,"912238","897","-","897","-","323563","8106","314866","591",,"585027","352","584675","-",,"2751","2035","716","177147","1890","8479","166778","1741","1320","420","1","6963","6379","135384","198638"
1998-10-01,"921060","906","-","906","-","324670","8482","315488","700",,"593004","369","592635","-",,"2480","1921","559","176102","1890","7584","166628","1764","1319","444","1","6988","8632","139718","201754"
1998-11-01,"922572","927","-","927","-","324799","9473","314456","870",,"594276","369","593907","-",,"2570","2019","551","182623","1922","12379","168322","1691","1244","446","1","7013","7931","145566","205037"
1998-12-01,"922879","-","-","-","-","324150","6377","316726","1047",,"597049","519","596530","-",,"1680","898","782","151881","1883","19542","130456","5914","5392","522","-","6345","8982","137886","199692"
1999-01-01,"964562","0","-","0","0","332354","7926","323698","730",,"630027","1971","628056","0",,"2181","1288","893","141607","2820","27545","111242","5623","5130","493","-","11421","8982","134581","213948"
1999-02-01,"977903","0","-","0","0","329889","8585","320683","621",,"645311","1973","643338","0",,"2703","1585","1118","145817","0","31465","114352","5563","5145","417","1","11502","9010","140581","213808"
1999-03-01,"992687","0","-","0","0","321608","6955","314069","584",,"668595","1985","666610","0",,"2484","1299","1185","146205","0","28951","117254","3949","3436","513","-","10506","8193","146984","210352"
1999-04-01,"993101","0","-","0","0","316295","7236","308487","572",,"674148","1999","672149","0",,"2658","1331","1327","146548","0","29181","117367","1802","1285","517","-","10332","8228","152746","208833"
1999-05-01,"994558","0","-","0","0","316989","7505","308953","531",,"674777","2001","672776","0",,"2792","1517","1275","147809","0","29662","118147","2158","1600","558","-","10386","8238","156851","206193"
1999-06-01,"994135","0","-","0","0","315838","6955","308312","571",,"676439","2002","674437","0",,"1858","834","1024","144811","869","26234","117708","1837","1288","549","-","5066","12877","156545","209829"
1999-07-01,"953810","0","-","0","0","298508","7725","290232","551",,"652789","598","652191","0",,"2513","1449","1064","144161","583","25733","117845","1624","1076","548","-","5101","5390","149072","207167"
1999-08-01,"937950","0","-","0","0","293590","7585","285466","539",,"641826","605","641221","0",,"2534","1030","1504","147496","0","25277","122219","1594","1010","584","-","5136","5262","180444","203313"
1999-09-01,"941991","0","-","0","0","289052","7854","280651","547",,"650480","608","649872","0",,"2459","987","1472","143465","0","21546","121919","1686","1115","571","-","4425","5099","187603","195224"
1999-10-01,"950565","0","-","0","0","291792","8020","283444","328",,"656602","603","655999","0",,"2171","853","1318","134046","0","11877","122169","1590","1010","580","-","4455","5123","189131","196767"
1999-11-01,"936779","0","-","0","0","281551","7707","273516","328",,"652886","596","652290","0",,"2342","938","1404","119254","0","7331","111923","1700","1093","607","-","4470","5135","190290","199404"
1999-12-01,"917522","0","-","0","0","273096","9054","263767","275",,"642474","596","641878","0",,"1952","718","1234","117132","958","7425","108749","2688","2205","483","-","3738","5122","183276","198384"
2000-01-01,"977347","0","-","0","0","279727","9030","270697","0",,"694655","2100","692555","0",,"2965","1143","1822","118707","1","9967","108739","2249","1794","455","-","3756","8706","190816","201167"
2000-02-01,"989501","0","-","0","0","271405","10012","261393","0",,"715256","2103","713153","0",,"2840","1132","1708","119329","0","10821","108508","2415","2044","371","-","0","8742","192509","196467"
2000-03-01,"1011261","0","-","0","0","270507","9494","261013","0",,"738301","2148","736153","0",,"2453","929","1524","118981","0","10676","108305","2412","2107","305","-","0","8408","196313","196024"
2000-04-01,"1022174","0","-","0","0","271123","9141","261982","0",,"748321","2114","746207","0",,"2730","1022","1708","118753","0","10393","108360","1749","1391","358","-","0","8115","192062","201807"
2000-05-01,"1032656","0","-","0","0","270019","8857","261162","0",,"760308","2116","758192","0",,"2329","777","1552","118826","0","10720","108106","1620","1205","415","-","0","8652","202949","190105"
2000-06-01,"1055300","0","-","0","0","272556","9347","263209","0",,"780643","2182","778461","0",,"2101","570","1531","125204","0","8533","116671","1470","1051","419","-","0","11565","204988","194949"
2000-07-01,"1062691","0","-","0","0","272418","8554","263864","0",,"786416","2177","784239","0",,"3857","1645","2212","125504","0","9003","116501","1459","1038","421","-","0","11298","208852","191365"
2000-08-01,"1072908.1950600001","0","-","0","0","279417.98005999997","8918.9520599999996","270499.02799999999","0",,"791180.84399999992","2484.4479999999999","788696.39599999995","0",,"2309.3710000000001","735.96299999999997","1573.4079999999999","126425","0","9793","116632","1457","1019","438","-","0","11744","216390","189284"
2000-09-01,"1071989.0330000001","0","-","0","0","270230","9307","260923","0",,"799510","2496","797014","0",,"2249.0329999999999","1050.2249999999999","1198.808","125713","0","7966","117747","1607","1176","431","-","0","11367","228573","191020"
2000-10-01,"1067532.048","0","-","0","0","268457","8964","259493","0",,"796692","2499","794193","0",,"2383.0480000000002","967.87800000000004","1415.17","123642","0","5887","117755","1641","1226","415","-","0","11093","238254","197219"
2000-11-01,"1077603.9480000001","0","-","0","0","270664","9101","261563","0",,"804440","2506","801934","0",,"2499.9480000000003","1256.933","1243.0150000000001","124942","0","7118","117824","1479","1098","381","-","0","10157","239956","201394"
2000-12-01,"1094343.699","0","-","0","0","288509","10304","278205","0",,"803391","2506","800885","0",,"2443.6990000000001","1133.5730000000001","1310.126","109261","0","7122","102139","2072","1655","417","-","0","9960","233117","211011"
2001-01-01,"1202923.9580000001","243","175","68","0","327210","13057","314153","0",,"872660","2515","870145","0",,"2810.9580000000001","936.28499999999997","1874.673","110096","0","6147","103949","2266","1804","462","-","0","9987","246766","242992"
2001-02-01,"1214128.767","293","173","120","0","328334","12699","315635","0",,"881883","2512","879371","0",,"3618.7669999999998","1597.35","2021.4169999999999","106132","0","2162","103970","2072","1679","393","-","0","10086","249195","243221"
2001-03-01,"1245124.2709999999","279","175","104","0","334225","15403","318822","0",,"908075","839","907236","0",,"2545.2709999999997","873.82600000000002","1671.4449999999999","96090","0","3255","92835","2260","1775","485","-","0","10418","258811","240059"
