"MES","BCTA01","BCTA02","BCTA03","BCTA04","BCTA05","BCTA06","BCTA07","BCTA08","BCTA09","BCTA10","BCTA11","BCTA12","BCTA13","BCTA14","BCTA15"
1998-01-01,"499030","6719","138839","353472","14748","1558633","1557246","1389764",,"100732","66750","1387","85477","177465","2335353"
1998-02-01,"483891","5579","140880","337432","17127","1574149","1572741","1385757",,"120751","66233","1408","100822","177792","2353781"
1998-03-01,"484029","6858","144732","332439","17311","1601706","1600288","1429244",,"101237","69807","1418","103223","178189","2384458"
1998-04-01,"472191","8075","149624","314492","29581","1624191","1622766","1459866",,"93458","69442","1425","112525","138313","2376801"
1998-05-01,"460641","7173","120331","333137","46441","1634958","1633526","1465790",,"97815","69921","1432","112715","134106","2388861"
1998-06-01,"425302","6048","83083","336171","81697","1656879","1655472","1501231",,"83929","70312","1407","131504","126632","2422014"
1998-07-01,"431678","7207","75404","349067","105335","1674433","1673017","1509489",,"88413","75115","1416","105141","170432","2487019"
1998-08-01,"397022","4235","59968","332819","127725","1694590","1693172","1523356",,"98257","71559","1418","105326","170206","2494869"
1998-09-01,"379692","3933","45290","330469","146926","1714002","1712584","1541142",,"99163","72279","1418","108244","169015","2517879"
1998-10-01,"364310","5061","43972","315277","152034","1729449","1728022","1554863",,"98046","75113","1427","106131","167937","2519861"
1998-11-01,"315249","4642","43917","266690","185159","1740614","1739183","1557707",,"106254","75222","1431","106970","169195","2517187"
1998-12-01,"328282","4668","51317","272297","175872","1746839","1745396","1579471",,"89368","76557","1443","106933","170544","2528470"
1999-01-01,"313377","4023","45419","263935","175805","1740589","1739146","1564693",,"100312","74141","1443","106940","188229","2524940"
1999-02-01,"297341","3886","31348","262107","227504","1770383","1768953","1561511",,"126961","80481","1430","91006","172404","2558638"
1999-03-01,"314791","4406","52077","258308","206855","1775632","1774195","1577438",,"116097","80660","1437","91508","168181","2556967"
1999-04-01,"362713","4922","50741","307050","209095","1781732","1780289","1580116",,"117060","83113","1443","48368","165550","2567458"
1999-05-01,"386686","4106","50743","331837","208564","1787835","1786335","1579390",,"118367","88578","1500","35860","166852","2585797"
1999-06-01,"363885","3826","50930","309129","210397","1799959","1798324","1605214",,"105451","87659","1635","45364","167543","2587148"
1999-07-01,"349596","4052","51061","294483","213091","1818567","1816922","1607028",,"115661","94233","1645","46676","168630","2596560"
1999-08-01,"344822","4676","54268","285878","212474","1840894","1839230","1626231",,"117400","95599","1664","40875","168984","2608049"
1999-09-01,"359839","4448","51335","304056","210972","1854712","1853040","1627864",,"126146","99030","1672","28586","164709","2618818"
1999-10-01,"360657","3965","51025","305667","213733","1869287","1867601","1635968",,"131002","100631","1686","16657","164299","2624633"
1999-11-01,"338309","4633","51060","282616","212234","1883456","1881765","1648799",,"126948","106018","1691","16783","143942","2594724"
1999-12-01,"288194","9088","51222","227884","231327","1890435","1888734","1711554",,"71751","105429","1701","7951","141302","2559209"
2000-01-01,"403744","4565","52094","347085","224482","1894811","1893078","1651348","89322","42900","109508","1733","7979","145473","2676489"
2000-02-01,"443911","4807","54713","384391","225906","1903912","1902240","1662567","71290","58162","110221","1672","13658","126316","2713703"
2000-03-01,"489233","4821","54305","430107","230569","1916484","1914802","1683062","61369","58465","111906","1682","14233","131355","2781874"
2000-04-01,"514784","4859","51516","458409","236276","1931952","1930479","1702259","60510","49591","118119","1473","13812","134206","2831030"
2000-05-01,"538967","4700","50665","483602","240731","1948777","1947296","1734528","41556","51920","119292","1481","13632","136193","2878300"
2000-06-01,"581841","4183","51838","525820","242968","1967745","1966245","1768994","38864","41829","116558","1500","8926","138422","2939902"
2000-07-01,"592078","4721","54334","533023","249436","1973874","1972333","1739833","66102","43876","122522","1541","35843","138450","2989681"
2000-08-01,"561589.72699999996","5003.7269999999999","55609","500977","254552","1927470","1925919","1691250","66252","49107","119310","1551","94958","140351","2978920.727"
2000-09-01,"550049","4783","55268","489998","257583","1942238","1940676","1706413","67003","47144","120116","1562","124645","140576","3015091"
2000-10-01,"550755","6404","59715","484636","261511","1979294","1977717","1716478","72794","63243","125202","1577","125253","141500","3058313"
2000-11-01,"558734","5511","59274","493949","264744","1996222","1994628","1722975","74358","65600","131695","1594","126605","145075","3091380"
2000-12-01,"605217","6793","71013","527411","267644","2017991","2016371","1787969","41446","52314","134642","1620","145661","146835","3183348"
2001-01-01,"585293","5508","61204","518581","273355","2020236","2018607","1744481","77318","58110","138698","1629","214819","149393","3243096"
2001-02-01,"558714","5336","60472","492906","281581","2022670","2021166","1703802","112546","65979","138839","1504","262800","147535","3273300"
2001-03-01,"554423","4941","63996","485486","284276","2026478","2024955","1742583","67110","73715","141547","1523","318874","151123","3335174"
2001-04-01,"556185","7588","60407","488190","289251","2030362","2028831","1705604","108515","69076","145636","1531","352521","157730","3386049"
2001-05-01,"584165","6490","60272","517403","294262","2040345","2038797","1699881","88171","96058","154687","1548","375202","155823","3449797"
2001-06-01,"627691","6187","75479","546025","295117","2044640","2043077","1737901","53098","93253","158825","1563","371973","157911","3497332"
2001-07-01,"600486","6886","75479","518121","296674","2062251","2060679","1700997","102064","75797","181821","1572","435475","159751","3554637"
2001-08-01,"629316","6941","77156","545219","302019","2064890","2063309","1684617","87676","100245","190771","1581","457005","155517","3608747"
2001-09-01,"635868","6613","75619","553636","307399","2068269","2066678","1658466","86869","111107","210236","1591","484520","159828","3655884"
2001-10-01,"659528","7749","77382","574397","312774","2079445","2077840","1661477","98922","100629","216812","1605","503190","163446","3718383"
2001-11-01,"669446","7937","79804","581705","313592","2075709","2074095","1641040","95172","119691","218192","1614","519980","171038","3749765"
2001-12-01,"746110","8724","94188","643198","314345","2066005","2064391","1710801","48308","84747","220535","1614","548293","199603","3874356"
2002-01-01,"827319","8779","96971","721569","315078","2073035","2071403","1530170","210748","100296","230189","1632","543213","207262","3965907"
2002-02-01,"889969","9377","85328","795264","319069","2061357","2059717","1578553","107488","149374","224302","1640","498979","232552","4001926"
2002-03-01,"871804","8391","81108","782305","320449","2056222","2054560","1604598","91675","119450","238837","1662","530061","241607","4020143"
2002-04-01,"893252","9059","83242","800951","323960","2050380","2048711","1624077","80656","90227","253751","1669","498740","252462","4018794"
2002-05-01,"865287","8742","89281","767264","321573","2047700","2046024","1617702","80032","85807","262483","1676","501141","254107","3989808"
2002-06-01,"790567","9460","95797","685310","358585","2055957","2054262","1634746","82983","71217","265316","1695","451727","268487","3925323"
2002-07-01,"810855.32805000001","8672","241958.32805000001","560225","104133.67194","2062684","2060972","1629165","93661","60585","277561","1712","179314","267949","3424935.9999899999"
2002-08-01,"752406.72794719995","8191","231171.72794720001","513044","80178.272052800006","2068441","2066715","1671776","59093","56257","279589","1726","181731","273341","3356098"
2002-09-01,"652947","7923","148788","496236","172348","2074512","2072774","1675455","69550","51450","276319","1738","220913","269781","3390501"
2002-10-01,"596627","8910","112463","475254","214511","2085652","2083902","1692827","64841","50778","275456","1750","341933","272410","3511133"
2002-11-01,"587695","8774","126894","452027","225062","2101846","2100089","1726520","39896","58317","275356","1757","399566","279383","3593552"
2002-12-01,"564921","10439","75610","478872","285728","2118119","2116350","1809137","0","48077","259136","1769","474531","288069","3731368"
2003-01-01,"666748","9999","79282","577467","299798","2118457","2116669","1812279","0","54295","250095","1788","483735","291718","3860456"
2003-02-01,"570869","10662","78388","481819","285579","2121006","2119213","1799724","0","70833","248656","1793","483777","288306","3749537"
2003-03-01,"593894","7693","81385","504816","291570","2117377","2115576","1810854","0","63623","241099","1801","483529","287752","3774122"
2003-04-01,"614690","8547","77739","528404","299287","2116504","2114690","1817223","0","68550","228917","1814","557021","287571","3875073"
2003-05-01,"591034","7679","79630","503725","303717","2116646","2114861","1824934","0","58908","231019","1785","651426","287560","3950383"
2003-06-01,"597991","7395","82654","507942","308818","2127268","2124192","1838327","0","53267","232598","3076","696823","286657","4017557"
2003-07-01,"619665","9801","83364","526500","316782","2137942","2135237","1851258","0","51682","232297","2705","733214","287926","4095529"
2003-08-01,"575314","7318","81540","486456","323729","2155532","2153723","1870038","0","50882","232803","1809","807178","280394","4142147"
2003-09-01,"592356","8113","84605","499638","326980","2185422","2183597","1907414","0","46875","229308","1825","792075","269105","4165938"
2003-10-01,"720920","10393","251856","458671","161905","2191430","2189600","1912808","0","49787","227005","1830","780548","273862","4128665"
2003-11-01,"622048","10741","138956","472351","263759","2197294","2195465","1915203","0","52567","227695","1829","772766","275001","4130868"
2003-12-01,"578237","11111","81691","485435","317368","2210479","2207511","1937631","0","44512","225368","2968","764803","288326","4159213"
2004-01-01,"602804.97537","8167.9753699999992","94848","499789","321473","2209263","2206284","1928734","0","47615","229935","2979","742799","290035","4166374.9753700001"
2004-02-01,"488732","8048","81841","398843","315176","2203019","2200039","1914827","0","59952","225260","2980","823065","287246","4117238"
2004-03-01,"414572","10169","76499","327904","313167","2202308","2199327","1927114","0","53210","219003","2981","826863","287016","4043926"
2004-04-01,"377382","10645","77138","289599","304447","2205852","2204024","1928869","0","56046","219109","1828","805901","286801","3980383"
2004-05-01,"487842","10846","78151","398845","299482","2205321","2203490","1927523","0","57558","218409","1831","703136","274257","3970038"
2004-06-01,"430839","9529","85505","335805","309326","2200672","2198827","1935388","0","46160","217279","1845","714658","271392","3926887"
2004-07-01,"386425","10010","80717","295698","286926","2203693","2201850","1934198","0","50049","217603","1843","736468","270926","3884438"
2004-08-01,"396838","12767","80577","303494","285431","2217441","2215590","1948008","0","49345","218237","1851","768627","268698","3937035"
2004-09-01,"395982","12336","65550","318096","286220","2221453","2219693","1958315","0","43558","217820","1760","802203","265450","3971308"
2004-10-01,"394068","10592","78752","304724","287736","2229225","2227505","1964556","0","47193","215756","1720","812851","267638","3991518"
2004-11-01,"386787","10244","67198","309345","284628","2241422","2239699","1978652","0","45881","215166","1723","823076","269640","4005553"
2004-12-01,"401699","12446","52533","336720","287935","2224245","2222518","2000710","0","27442","194366","1727","876130","262227","4052236"
2005-01-01,"392362","9867","68238","314257","294253","2228697","2226973","1993587","0","39016","194370","1724","883745","266634","4065691"
2005-02-01,"491354.80163","12435.15525","73342.274770000004","405577.37160999997","295938.35058999999","2224140.6614100002","2222414.3314300003","1981356.4777500001","0","46618.61593","194439.23775","1726.32998","828410.87474","262873.18581000011","4102717.8741800003"
2005-03-01,"484257.46762000001","12325.84778","70359.877770000006","401571.74207000004","297684.07329000003","2231307.88332","2229577.29611","1999422.2688099998","0","39897.328529999999","190257.69877000002","1730.5872100000001","861959.48415999999","265757.60887999996","4140966.5172699997"
2005-04-01,"550312.81986999989","14813.298739999998","72028.58434999999","463470.93677999993","307565.58730000001","2233946.4314899999","2232215.8442799998","1998346.7462499999","0","45676.891250000001","188192.20678000001","1730.5872100000001","902006.14341999998","270835.89685999998","4264666.8789400002"
2005-05-01,"517546.94451","10797.97817","121954.73503","384794.23131","371082.50514999998","2232580.3966699997","2230849.8094599997","1996119.6551299999","0","46431.208619999998","188298.94570999997","1730.5872100000001","895570.35144","274890.37302","4291670.5707899993"
2005-06-01,"614229.02171","12385.264019999999","116566.91116","485276.84652999998","383424.65197999997","2216034.1902299998","2214293.28302","1981041.7062200001","0","51967.523549999998","181284.05324999997","1740.9072100000001","812912.22296000004","272446.05199000001","4299046.1388699999"
2005-07-01,"636794.76176999987","14122.19291","115082.11014999999","507590.45870999992","388829.80856000003","2211945.3707400002","2210232.0969000002","1972965.2500900002","0","57204.073980000001","180062.77283","1713.2738399999998","840799.91161999991","263472.76481000002","4341842.6174999997"
2005-08-01,"749735.30784999987","10986.01325","108700.08680000002","630049.20779999986","383512.46528","2207234.0605899994","2205524.3244399996","1983052.6832599998","0","47776.607469999995","174695.03370999999","1709.7361500000002","749652.21346999984","285873.72321000008","4376007.7703999998"
2005-09-01,"782243.59811999998","12406.48243","116074.54809999999","653762.56758999999","402390.88269000006","2203735.4611500003","2202028.8138900003","1977250.2908100002","0","54664.307979999998","170114.21510000003","1706.64726","709715.28437000012","280440.92483000003","4378526.1511600008"
2005-10-01,"799150.95371000003","19302.815990000003","126385.15402999998","653462.98369000002","395322.8946","2203384.3749600002","2201681.8245800002","1973586.49517","0","59055.89819","169039.43121999997","1702.5503799999999","685903.80376000004","284897.57443000004","4368659.6014600005"
2005-11-01,"804015.36885000009","16316.413929999999","139059.75390999997","648639.20101000008","389281.39623000001","2205348.4003299996","2203645.8499499997","1984872.3275099997","0","57189.945720000003","161583.57672000001","1702.5503799999999","651554.40167000005","286509.92881000007","4336709.4958899999"
2005-12-01,"793541.55474000005","19504.821070000002","114731.7488","659304.98487000004","395681.84072000004","2204183.7175899995","2202481.1672099996","1997605.2706499998","0","46093.335760000002","158782.56080000001","1702.5503799999999","611097.69472999999","276209.22427999985","4280714.0320600001"
2006-01-01,"892262.05157000001","18997.973040000001","250452.60024","622811.47829","376858.18164999998","2214853.62659","2198538.3973300001","1983906.0331999999","0","53633.483249999997","160998.88088000001","16315.22926","466834.21209000004","277558.74082000006","4228366.8127200007"
2006-02-01,"914840.76381999999","19449.92931","291463.81307999999","603927.02142999996","370756.49205000006","2212503.1389500005","2196208.4489900004","1977528.7376100004","0","62187.350210000011","156492.36116999996","16294.689959999998","461477.78476000007","276897.35181999998","4236475.5314000007"
2006-03-01,"886715.63656000001","17735.461429999999","269235.39874999993","599744.77638000005","359237.10398000001","2199904.6396700004","2179677.4698200002","1968768.0470400003","0","53115.476469999994","157793.94631000003","20227.169850000002","534631.27430000016","276973.02864999999","4257461.6831600005"
2006-04-01,"886297.02274000004","19749.468949999999","264064.54853999999","602483.00525000005","357795.48845000006","2194258.8544000005","2174057.1144000003","1948417.8597100002","0","64491.768249999994","161147.48643999998","20201.740000000002","555851.17625999998","280876.93093000003","4275079.4727800004"
2006-05-01,"823635.92041000002","17556.782729999999","253841.73283000002","552237.40485000005","346292.51925999997","2187499.01425","2167297.2742499998","1959981.2986899996","0","51134.182359999992","156181.79319999999","20201.740000000002","572645.99436000001","287420.44","4217493.8882800005"
2006-06-01,"851013.50124000013","20371.521550000001","290656.78758999996","539985.1921000001","331662.36153000005","2186136.01333","2165934.3293300001","1967458.8452000001","0","46192.557489999999","152282.92663999996","20201.684000000001","550034.85133999994","285039.55547000002","4203886.2829100005"
2006-07-01,"879439.08704999997","21490.576630000003","314313.35722000001","543635.15319999994","328164.81884999998","2189986.9209100003","2169785.2369100004","1966363.3693000006","0","50978.93217","152442.93544","20201.684000000001","530363.06313999987","285401.13432999991","4213355.0242800005"
2006-08-01,"920272.91165999998","19249.04495","338961.20535","562062.66136000003","318790.83645000006","2185833.8382100002","2169602.40466","1964604.9228399999","0","51547.921850000006","153449.55996999997","16231.43355","490063.89829000004","286699.59043999994","4201661.0750500001"
2006-09-01,"904238.39932999993","20971.319439999999","337413.36561000004","545853.71427999996","314432.08207000006","2174883.7568600001","2173189.8237200002","1968439.9768300001","0","52146.087390000001","152603.75950000001","1693.9331400000001","504600.63178","280279.11141999997","4178433.9814599999"
2006-10-01,"883820.28915000008","17889.66546","323228.27969000011","542702.34400000004","317297.81135999993","2180456.84228","2174808.68829","1971108.5099600002","0","49309.974069999997","154390.20425999997","5648.1539900000007","510472.44085999997","285538.24330000009","4177585.6269499999"
2006-11-01,"906186.79645000026","18844.896199999999","327863.18124000006","559478.71901000012","316517.41104000009","2184076.7369399997","2178421.4279499999","1977732.0689100001","0","48235.015409999993","152454.34362999999","5655.3089900000004","516675.44494000002","289343.06617000001","4212799.4555399995"
2006-12-01,"990592.94387999992","21458.510429999998","330427.96157999994","638706.47187000001","322408.06637999997","2189999.0669500004","2184356.3210300002","1998479.59479","0","39195.431239999998","146681.29499999998","5642.7459200000003","520923.68650000001","284881.13735000009","4308804.9010600001"
2007-01-01,"1003381.0647099999","23592.77736","351545.63731999992","628242.65003000002","347458.01431999996","2178526.8089799997","2172900.0851099999","1984201.9242400001","0","41059.734300000004","147638.42657000001","5626.7238699999998","551780.34240999992","304492.57282999984","4385638.8032499999"
2007-02-01,"1081721.1481699999","24242.639810000001","383189.96742999996","674288.54093000002","347643.1870899999","2164849.8944999999","2163170.0682399999","1963683.90087","0","52520.972530000014","146965.19483999998","1679.82626","515012.73370999994","305220.19603000011","4414447.1594999991"
2007-03-01,"1186263.6916299998","19949.689049999997","434339.02043999999","731974.98213999986","342854.16827999998","2163830.4676000006","2162155.5155000007","1971186.3251600005","0","46232.004229999999","144737.18611000001","1674.9521000000002","454439.78736999998","306995.78460999986","4454383.8994899997"
2007-04-01,"1188062.9337900002","45720.441509999997","405895.81903000007","736446.67324999999","345538.72388000001","2160812.8746399996","2159137.9225399997","1969724.67322","0","45163.502099999998","144249.74721999999","1674.9521000000002","477423.10613000009","303942.74446000007","4475780.3828999996"
2007-05-01,"1207472.5190999999","20386.127899999999","427678.32555999991","759408.06564000004","339170.66230000003","2166054.1595299998","2162383.4439399997","1975533.8136499999","0","40799.658210000001","146049.97207999998","3670.7155899999998","454081.71345000004","307705.79361000017","4474484.8479900006"
2007-06-01,"1231837.8637300001","18008.163809999998","415732.52962999995","798097.17029000015","338777.58621000004","2155414.3959399997","2152570.2167099998","1969481.1823199999","0","44449.780449999998","138639.25394000002","2844.1792300000002","478463.80336999998","278565.98659999995","4483059.6358499993"
2007-07-01,"1268387.4102999999","19346.924039999998","461494.37839999993","787546.10785999999","337314.17444000003","2132754.4625200005","2129939.2314000004","1944398.8884900003","0","48111.84124999999","137428.50165999998","2815.2311199999999","441520.69824999996","282675.07299999997","4462651.8185100006"
2007-08-01,"1356614.0638899999","21044.133400000002","583384.59691999992","752185.33357000002","319989.64472000004","2120136.8317900007","2115487.9631200004","1930231.4817000004","0","51533.428740000003","133723.05267999999","4648.8686699999998","377041.81614999997","288245.55343000009","4462027.90998"
2007-09-01,"1361389.81672","20749.154280000002","598640.76141000004","741999.90103000007","308335.08248000004","2117018.2156400001","2112525.9437700002","1930233.2860600001","0","48801.381789999999","133491.27591999999","4492.2718700000005","362277.96630999999","295879.13800999988","4444900.2191599999"
2007-10-01,"1356691.2062900001","22718.552449999999","642901.73161000002","691070.92223000003","295521.73001","2112498.83048","2108362.34136","1931767.5199799999","0","43256.287239999998","133338.53413999997","4136.4891200000002","349624.32451999991","301276.41530999995","4415612.5066099996"
2007-11-01,"1321754.25079","21546.494790000001","661026.90282999992","639180.8531699999","286222.68489999999","2119968.74089","2113477.2340199999","1938979.6112499998","0","42125.840329999992","132371.78244000001","6491.5068700000002","360086.10043000005","295967.55428000016","4383999.3312900001"
2007-12-01,"1319494.1659500001","19182.880369999999","695204.04629999993","605107.2392800001","276291.39782000001","2110700.3461199999","2105395.5508699999","1931454.42664","0","47310.20678","126630.91745000002","5304.7952500000001","354903.97758999997","283230.96065999998","4344620.8481399994"
2008-01-01,"1350007.5004100001","11724.790559999999","792590.53365","545692.1762000001","249146.87803999998","1917269.09507","1912671.7310200001","1793233.7466499999","0","16766.22381","102671.76056000001","4597.3640500000001","321301.03368999995","215632.66305999976","4053357.1702700001"
2008-02-01,"1353620.7964699999","11510.723679999999","827864.34457999992","514245.72821000003","238891.20042000001","1912511.8378899998","1907929.8880699999","1784705.3826299999","0","21033.499449999999","102191.00599000001","4581.9498199999998","339356.71580000006","218762.80059999984","4063143.3511799998"
2008-03-01,"1398951.07513","11194.46218","880522.82459999993","507233.78835000005","235197.06410000002","1895019.69982","1890475.11717","1769824.1392299999","0","18885.482509999998","101765.49543000001","4544.5826500000003","298673.86685999995","219398.85782999999","4047240.5637400001"
2008-04-01,"1397196.2469500001","12184.511840000001","936060.18773999996","448951.54737000004","224211.50750000001","1875385.59932","1870902.3806700001","1756589.3013900002","0","15917.665910000002","98395.413370000009","4483.2186500000007","269771.21010999999","220078.10520999989","3986642.6690899995"
2008-05-01,"1417758.5534999999","9211.2373800000005","983820.05935","424727.25676999998","211711.83029000004","1856965.1436000003","1852824.4273700004","1742522.4098900005","0","16131.808220000001","94170.209260000003","4140.71623","237976.89791","222506.92313999997","3946919.3484400003"
2008-06-01,"1446290.18475","12672.749220000002","1035973.05616","397644.37936999998","199913.86190999998","1840871.4115800001","1840128.21639","1735952.7390999999","0","13604.965940000002","90570.511350000001","743.19519000000003","219710.61721","221444.53769999999","3928230.6131499996"
2008-07-01,"1445081.72178","11321.340109999999","1059743.04149","374017.34018","191002.41503999999","1832442.9075700003","1831708.0219200002","1730381.1655600001","0","12909.63992","88417.216440000018","734.88564999999994","217790.16854000004","222285.64202999999","3908602.8549600001"
2008-08-01,"1432448.2540899999","13025.401199999998","1069116.65457","350306.19831999997","180265.26676999999","1825591.6811699998","1824860.0515899998","1722301.8756499998","0","16767.762180000002","85790.41376000001","731.62958000000003","216037.38043000002","220049.29309000005","3874391.87555"
