"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
1998-01-01,"1147899","54798","1092088","1013",,"702946","4369","698479","98","98","3304","0","1307","1997","194387","0","58740","135647","1921","1820","101","85270","199494"
1998-02-01,"1160044","56311","1102496","1237",,"702859","4351","698410","98","98","2937","0","964","1973","194730","0","58889","135841","1812","1724","88","88750","202615"
1998-03-01,"1175431","58770","1114810","1851",,"710366","2703","707564","99","99","3656","956","1636","1064","196942","0","61073","135869","1970","1877","93","89494","206562"
1998-04-01,"1195836","57625","1136375","1836",,"715851","2020","713732","99","99","3471","956","1384","1131","198021","0","61806","136215","1260","1170","90","74548","187814"
1998-05-01,"1205000","58266","1145099","1635",,"716926","1948","714878","100","100","3493","0","1345","2148","198420","0","61854","136566","1346","1257","89","91731","171945"
1998-06-01,"1233218","58020","1173389","1809",,"727924","1661","726163","100","100","3669","0","1573","2096","192638","0","61012","131626","1727","1625","102","87415","175423"
1998-07-01,"1237709","61197","1174876","1636",,"736731","1662","734968","101","101","3225","0","1047","2178","191101","0","59543","131558","2039","1936","103","93683","222531"
1998-08-01,"1246269","61343","1183307","1619",,"732298","1692","730505","101","101","3741","0","1564","2177","187645","0","56047","131598","2025","1929","96","97211","225680"
1998-09-01,"1259208","59226","1198474","1508",,"737125","1499","735524","102","102","4047","0","1804","2243","186596","0","55414","131182","2022","1927","95","98833","230048"
1998-10-01,"1259826","55895","1202419","1512",,"731525","1352","730070","103","103","4420","0","2005","2415","186768","0","55721","131047","1938","1837","101","100947","234437"
1998-11-01,"1256645","56549","1198611","1485",,"729151","1237","727811","103","103","4751","0","2456","2295","184123","0","52799","131324","1993","1893","100","102570","237954"
1998-12-01,"1270954","56610","1212823","1521",,"730239","1228","728907","104","104","4731","0","2901","1830","183095","0","52206","130889","2440","2321","119","96473","240538"
1999-01-01,"1261795","54368","1207427","1475",,"728686","1217","727365","104","104","4498","0","2993","1505","183750","0","53054","130696","2039","1918","121","100190","242507"
1999-02-01,"1266067","53656","1212411","1654",,"741029","1181","739743","105","105","3775","0","2637","1138","184068","0","52782","131286","1876","1765","111","112624","247545"
1999-03-01,"1261056","53898","1207158","1677",,"745861","1166","744589","106","106","3532","0","2367","1165","184453","2315","51366","130772","2226","2108","118","104093","254069"
