"MES","FBCB01","FBCB02","FBCB03","FBCB04","FBCB05","FBCB06","FBCB07","FBCB08","FBCB09","FBCB10","FBCB11","FBCB12","FBCB13","FBCB14","FBCB15"
1998-01-01,"3373929","3116877","257052","0","103150","-103150","0","401458","-401458","0","358567","-358567","3373929","3980052","-606123"
1998-02-01,"3408339","2993889","414450","0","99535","-99535","0","411095","-411095","0","393150","-393150","3408339","3897669","-489330"
1998-03-01,"3317870","2996453","321417","0","119449","-119449","0","395222","-395222","0","429140","-429140","3317870","3940264","-622394"
1998-04-01,"3268972","2894803","374169","0","129237","-129237","0","404978","-404978","0","352352","-352352","3268972","3781370","-512398"
1998-05-01,"3340485.7439999999","3073222.9410000001","267262.80299999984","0","135346.823","-135346.823","0","455596.53","-455596.53","0","393117.67699999997","-393117.67699999997","3340485.7439999999","4057283.9709999999","-716798.22699999996"
1998-06-01,"3449919.7519999999","3052199.4249999998","397720.32700000005","0","140370.29400000002","-140370.29400000002","0","446836.97","-446836.97","0","347733.05800000002","-347733.05800000002","3449919.7519999999","3987139.7470000004","-537219.99500000058"
1998-07-01,"3555536","3091596","463940","0","93061","-93061","0","425392","-425392","0","355606","-355606","3555536","3965655","-410119"
1998-08-01,"3405364","3094085","311279","0","183999","-183999","0","474850","-474850","0","424638","-424638","3405364","4177572","-772208"
1998-09-01,"3320838","2929210","391628","0","171909","-171909","0","475538","-475538","0","403710","-403710","3320838","3980367","-659529"
1998-10-01,"3388833","3055897","332936","0","197742","-197742","0","469674","-469674","0","319891","-319891","3388833","4043204","-654371"
1998-11-01,"3365064.9309999999","3112791.5669999998","252273.36400000006","0","202592.413","-202592.413","0","476295.10500000004","-476295.10500000004","0","308704.413","-308704.413","3365064.9309999999","4100383.4980000001","-735318.56700000027"
1998-12-01,"3566679","3130894.4950000001","435784.50499999989","0","177367.44400000002","-177367.44400000002","0","461659.783","-461659.783","0","236965.84299999999","-236965.84299999999","3566679","4006887.5649999999","-440208.56499999994"
1999-01-01,"3539770","3255410","284360","0","180259","-180259","0","436663","-436663","0","291771","-291771","3539770","4164103","-624333"
1999-02-01,"3672051","3313667","358384","0","176103","-176103","0","443695","-443695","0","349723","-349723","3672051","4283188","-611137"
1999-03-01,"3597490.8960000002","3196209.3109999998","401281.58500000043","0","187590.86300000001","-187590.86300000001","0","398635.92499999999","-398635.92499999999","0","274606.94099999999","-274606.94099999999","3597490.8960000002","4057043.04","-459552.14399999939"
