"MES","BZCD01","BZCD02","BZCD03","BZCD04","BZCD05","BZCD06","BZCD07","BZCD08","BZCD09","BZCD10","BZCD11","BZCD12","BZCD13","BZCD14","BZCD15","BZCD16","BZCD17","BZCD18","BZCD19","BZCD20","BZCD21","BZCD22","BZCD23","BZCD24","BZCD25","BZCD26","BZCD27","BZCD28","BZCD29","BZCD30","BZCD31","BZCD32","BZCD33","BZCD34","BZCD35","BZCD36","BZCD37","BZCD38","BZCD39","BZCD40","BZCD41","BZCD42","BZCD43","BZCD44","BZCD45","BZCD46","BZCD47","BZCD48","BZCD49","BZCD50","BZCD51","BZCD52","BZCD53","BZCD54","BZCD55","BZCD56","BZCD57","BZCD58","BZCD59","BZCD60","BZCD61","BZCD62","BZCD63","BZCD64","BZCD65","BZCD66","BZCD67","BZCD68","BZCD69","BZCD70","BZCD71","BZCD72"
1997-01-01,"388.5","70.2","65.2","16.3","6.7","7","2.6","45.1","17.2","7.3","20.6","3.8","5","0.7","4.3",,"1.5","281.10000000000002","278.39999999999998","2.7","6.3","6.3","5.9","0.4",,,,"3.9","21.8",,"3.7","0.1","3.6","430.00000000000006","107.2","104.5","1.3","0.3","1",,"98.2","5","2.7","0.1","0.1",,,"0.5","2","21.9","9.9","9.9",,,"12","12",,,"280.10000000000002","269.10000000000002","11","0.3","11.3",,"5.9",,"5.9",,"3.3",,,"-41.500000000000057"
1997-02-01,"333.6","57.4","51","9.3000000000000007","2.4","6.9",,"40.6","11.8","3.5","25.3","1.1000000000000001","6.4","0.8","5.6",,"3.9","256","256",,"2.8","2.8","1.8","1",,,,"1","10",,"2.5",,"2.5","365.8","68.3","66.5","0.1",,"0.1",,"62.1","4.3","1.8","1.2","0.6",,,,,"19.600000000000001","12","12",,,"7.6","7.6",,,"256.5","234.8","21.7","0.6","13.1",,"4.5",,"4.5",,"3.2",,,"-32.199999999999989"
1997-03-01,"382.7","64.7","59.5","9.4","5.9",,"3.5","46","14.3","6.5","25.2","4.0999999999999996","5.2","0.1","5.0999999999999996",,"12.5","272.5","272.5",,"12.2","12.2","11.2","1",,,,"2","16.5",,"2.2999999999999998",,"2.2999999999999998","419.4","76.5","73.099999999999994","1.8",,"0.2","1.6","65.7","5.6","3.4","1.7","0.5",,,"0.4","0.8","44.8","17.100000000000001","17.100000000000001",,,"27.7","27.7",,,"254.1","222.5","31.6","3.4","20.5",,"17","9.5","7.5",,"3.1",,,"-36.699999999999989"
1997-04-01,"456.8","84.7","81.099999999999994","12.5","6.4","6.1",,"63.9","30.2","10.6","23.1","4.7","3.6","0.2","3.4",,"2.4","343.6","342.8","0.8","22.5","22.5","20.5","2",,,,"1.5","0.1",,"2",,"2","421.2000000000001","68.599999999999994","65.900000000000006","0.3","0.3",,,"61.9","3.7","2.7","1.2","1",,,,"0.5","20.2","12.5","12.5",,,"7.7","7.7",,,"295.10000000000002","230.6","64.5","0.5","18.600000000000001",,"15.1","10","5.0999999999999996",,"3.1",,,"35.599999999999909"
1997-05-01,"512.70000000000005","75.8","71.7","9.6","4.8","4.8",,"58.9","36.1","8.1","14.7","3.2","4.0999999999999996","0.2","3.9",,"0.5","321.10000000000002","321.10000000000002",,"52.1","52.1","12.6","39.5",,,,"5.5","23.3",,"34.4","29.9","4.5","364.00000000000006","25.4","22.8","0.3","0.3",,,"20.100000000000001","2.4","2.6","1.3","0.7",,,,"0.6","21.3","11.7","11.7",,,"9.6","9.6",,,"299.10000000000002","253.7","45.4","0.5","15.1",,"2.6",,"2.6",,,,,"148.69999999999999"
1997-06-01,"404.2","73.3","68.400000000000006","6.7","5",,"1.7","56","21","17.100000000000001","17.899999999999999","5.7","4.9000000000000004",,"4.9000000000000004",,"2.7","276.89999999999998","273.39999999999998","3.5","18.600000000000001","18.600000000000001","17.8","0.8",,,,"0.1","10",,"22.6","1","21.6","412.4","56.9","55","0.4","0.3","0.1",,"49.4","5.2","1.9",,"1.6",,,,"0.3","36.299999999999997","21.6","21.6",,,"14.7","14.7",,,"294.10000000000002","268.3","25.8","9","10",,"2.2000000000000002",,"2.2000000000000002",,"3.9",,,"-8.1999999999999886"
1997-07-01,"545.79999999999995","95.8","91.3","19.600000000000001","7.7","11.9",,"63","21.490227272727275","9.0611363636363649","32.448636363636361","8.6999999999999993","4.5","0.7","3.8",,"1.5","358.8","353.2","5.6","39.6","39.6","38.200000000000003","1.4",,,,"1","3.9",,"45.2",,"45.2","415.40000000000003","92.2","87.4","0.5","0.2",,"0.3","83.6","3.3","4.8","2.4","1",,,,"1.4","12.3","7.7","7.7",,,"4.5999999999999996","4.5999999999999996",,,"287.10000000000002","238.2","48.9","0.1","13.4",,"7.2",,"7.2",,"3.0999999999999996",,,"130.39999999999992"
1997-08-01,"401.4","65.400000000000006","60.1","6.5","6.4","0.1",,"46.6","10.5","21.700000000000003","14.4","7","5.3","0.8","4.5",,"20.9","267.5","267.5",,"21.900000000000002","21.900000000000002","21.1","0.8",,,,,"21.2",,"4.5",,"4.5","420.39999999999992","59.8","58",,,,,"52.9","5.0999999999999996","1.8","1.2","0.1",,,,"0.5","21.299999999999997","13.2","13.2",,,"8.1","8.1",,,"324.7","292.2","32.499999999999993","1","4.4000000000000004",,"6",,"6",,"3.2",,,"-18.999999999999943"
1997-09-01,"419.3","38.6","30.800000000000004","12.100000000000001","4.9000000000000004","7.2",,"9.9000000000000021","5.9","2.7","1.3","8.8000000000000007","7.8","0.2","7.6",,"1.4","330.2","329.8","0.40000000000000036","30.299999999999997","7.3999999999999995","6.8","0.6","22.9",,,,"14",,"4.8",,"4.8","415.2","57.300000000000004","55.300000000000004","0.2",,,"0.2","50.6","4.5","2",,"0.2",,,,"1.8","43.3","25.1","25.1",,,"18.2","18.2",,,"289.3","285.7","3.6000000000000014",,"14",,"8.1","1.1000000000000001","7",,"3.2",,,"4.1000000000000227"
1997-10-01,"431.49999999999994","31.7","25.4","13.2","6.2","7",,"4.8","2.4","1.2","1.2","7.4","6.3000000000000007","1.1000000000000001","5.2",,"9.5","374.5","362.1","12.4","7.4","7.4","6.9","0.5",,,,,,,"8.4",,"8.4","451.7","54.6","52.4","0.6",,,"0.6","46.4","5.4","2.2000000000000002","1","0.2",,,,"1","16.600000000000001","9.1","9.1",,,"7.5","7.5",,,"366.8","321.8","45",,"9.1999999999999993",,"1.3",,"1.3",,"3.2",,,"-20.200000000000045"
1997-11-01,"342.90000000000003","30","23.6","11.7","5.2","6.5",,"6.3","2.7","2.8","0.8","5.6","6.4","1.5","4.9000000000000004",,"1.8","296.90000000000003","291.10000000000002","5.8000000000000007","12.799999999999999","12.799999999999999","12.6","0.2",,,,,"0.2",,"1.2",,"1.2","384.3","34.6","33","1.4",,,"1.4","29.3","2.2999999999999998","1.6",,,,,,"1.6","21.7","10.6","10.6",,,"11.1","11.1",,,"314.5","269.39999999999998","45.100000000000009",,"10.3",,"3.2",,"3.2",,,,,"-41.399999999999977"
1997-12-01,"491.24999999999994","25.75","20.95","12.2","5.8","5.9","0.5","2.1","1.8","0.3",,"6.65","4.8","0.8","4",,"15.2","400.29999999999995","375.4","24.9","44","44","43.1","0.9",,,,,"2",,"3.9999999999999996",,"3.9999999999999996","525.30000000000007","82.2","80.7","1.3","0.3",,"1","76.2","3.2","1.5","0.9",,,,,"0.6","27.900000000000002","3.6","3.6",,,"24.3","24.3",,,"383.5","330.59999999999997","52.900000000000006",,"14.8",,"9.8999999999999986",,"9.8999999999999986",,"7",,,"-34.050000000000125"
