"MES","SIID01","SIID02","SIID03","SIID04","SIID05","SIID06","SIID07","SIID08","SIID09","SIID10","SIID11","SIID12","SIID13","SIID14","SIID15","SIID16","SIID17","SIID18","SIID19","SIID20","SIID21","SIID22","SIID23"
1997-01-01,"17.2","7.3",,,"20.6","45.1","9.6","6.7","3.8","20.100000000000001","65.2","0.7","4.3","5",,"6.3",,"6.3",,"1.5",,"310.5","388.5"
1997-02-01,"11.8","3.5",,,"25.3","40.6","6.9","2.4","1.1000000000000001","10.4","51","0.8","5.6","6.3999999999999995",,"2.8",,"2.8",,"3.9",,"269.5","333.59999999999997"
1997-03-01,"14.3","6.5",,,"25.2","46","3.5","5.9","4.0999999999999996","13.5","59.5","0.1","5.0999999999999996","5.1999999999999993",,"12.2",,"12.2",,"12.5",,"293.3","382.7"
1997-04-01,"30.2","10.6",,,"23.1","63.9","6.1","6.4","4.7","17.2","81.099999999999994","0.2","3.4","3.6",,"22.5",,"22.5",,"2.4",,"347.20000000000005","456.80000000000007"
1997-05-01,"36.1","8.1",,,"14.7","58.900000000000006","4.8","4.8","3.2","12.8","71.7","0.2","3.9","4.0999999999999996",,"52.1",,"52.1",,"0.5",,"384.3","512.70000000000005"
1997-06-01,"21","17.100000000000001",,,"17.899999999999999","56","1.7","5","5.7","12.4","68.400000000000006",,"4.9000000000000004","4.9000000000000004",,"18.600000000000001",,"18.600000000000001",,"2.7",,"309.59999999999997","404.19999999999993"
1997-07-01,"21.5","9.1",,,"37.6","68.2","11.9","7.7","3.48","23.080000000000002","91.28","0.7","3.8","4.5",,"39.6",,"39.6",,"1.5",,"408.90000000000003","545.78000000000009"
1997-08-01,"10.5","21.7",,,"18.600000000000001","50.800000000000004","0.1","6.4","2.8000000000000003","9.3000000000000007","60.100000000000009","0.8","4.5","5.3",,"21.9",,"21.9",,"20.9",,"293.2","401.4"
1997-09-01,"5.9","2.7",,,"6.6","15.200000000000001","7.2","4.9000000000000004","3.5200000000000005","15.620000000000001","30.82","0.2","7.6","7.8",,"7.4000000000000021","22.9","30.3",,"1.4",,"349","419.32"
1997-10-01,"2.4","1.2",,,"1.2","4.8","7","6.2","7.4","20.6","25.400000000000002","1.1000000000000001","5.2","6.3000000000000007",,"7.4",,"7.4",,"9.5",,"382.9","431.49999999999994"
1997-11-01,"2.7","2.8",,,"0.8","6.3","6.5","5.2","5.6","17.299999999999997","23.599999999999998","1.5","4.9000000000000004","6.4",,"12.8",,"12.8",,"1.8",,"298.29999999999995","342.9"
1997-12-01,"1.8","0.3",,,,"2.1","6.4","5.8","6.65","18.850000000000001","20.950000000000003","0.8","4","4.8",,"44",,"44",,"15.2",,"406.40000000000003","491.35"
1998-01-01,"1.1000000000000001","2.2999999999999998",,,"3.2","6.6","4.5","2.6","11","18.100000000000001","24.700000000000003","0.2","7.84","8.0399999999999991",,"4.6500000000000004",,"4.6500000000000004",,"11.14",,"384.14","432.66999999999996"
1998-02-01,"1","0.3",,,"0.7","2","5","2.9","4.5","12.4","14.4","0.5","3.5","4",,"9.26",,"9.26",,"6.2",,"332.3","366.15999999999997"
1998-03-01,"1.5","0.2",,,,"1.7","6.2","5","2.6","13.8","15.5","0.4","5.5","5.9",,"5.66","22.7","28.36",,"0.4",,"498.9","549.05999999999995"
1998-04-01,"1.4","0.1",,,,"1.5","7.5","4","0.9","12.4","13.9","0.6","3","3.6",,"27.9",,"27.9",,"6.0000000000000005E-2",,"351.4","396.85999999999996"
1998-05-01,"0.2","0.04",,,,"0.24000000000000002","5.3","2.6","3.3","11.2","11.44","0.8","0.9","1.7000000000000002",,"3.7",,"3.7",,"0.4",,"150","167.23999999999998"
1998-06-01,"0.14000000000000001","0.04",,,"0.04","0.22000000000000003","15.7",,"1.5","17.2","17.419999999999998",,"3.1","3.1",,"2.16",,"2.16",,"2.65",,"145.74","171.07"
1998-07-01,"0.5",,,,,"0.5","4.8","5.5","2.6","12.899999999999999","13.399999999999999",,"4.0999999999999996","4.0999999999999996",,"4.45",,"4.45",,"14.15",,"202.6","238.7"
1998-08-01,"1.6",,,,,"1.6","5.1000000000000005","2.9","1.8","9.8000000000000007","11.4",,"3.1","3.1",,"8.5",,"8.5",,"14.3",,"123.74000000000001","161.04000000000002"
1998-09-01,"0.6","0.1",,,,"0.7","5.3","3.9","4.9000000000000004","14.100000000000001","14.8",,"1.6","1.6",,"5.44",,"5.44",,"2.8",,"132.28","156.92000000000002"
1998-10-01,"0.6","0.3",,,,"0.89999999999999991","5.3","1.9","0.9","8.1","9",,"4","4",,"26.499999999999996","23.3","49.8",,"9.65",,"121.79","194.24"
1998-11-01,"1.3",,,,,"1.3","5.3","2.36","0.9","8.5599999999999987","9.86",,"1.95","1.95",,"24.26",,"24.26",,"2.2599999999999998",,"109.4","147.73000000000002"
1998-12-01,"0.9",,,,"0.2","1.1000000000000001","5.0999999999999996","2.1","0.6","7.8","8.9",,"4.8","4.8",,"69.400000000000006",,"69.400000000000006",,"8.24",,"171.5","262.84000000000003"
1999-01-01,"0.8",,,,,"0.8","4.5","2.5","0.5","7.5","8.3000000000000007",,"5.3","5.3",,"3.8",,"3.8",,"2.34",,"105.80000000000001","125.54"
1999-02-01,"0.8",,,,,"0.8","3.1","1.9","0.4","5.4","6.2",,"2.6","2.6",,"9.1",,"9.1",,"1.34",,"116.14","135.38"
1999-03-01,"1.1000000000000001",,,,,"1.1000000000000001","2.8","3.4",,"6.1999999999999993","7.2999999999999989",,,,,"20.2",,"20.2",,"2.36",,"109.86","139.72"
1999-04-01,"0.7",,,,,"0.7","3.3","1.4","0.4","5.0999999999999996","5.8",,"1.8","1.8",,"4.9000000000000004",,"4.9000000000000004",,"1",,"93.2","106.7"
1999-05-01,"1",,,,,"1","2.9","3.2","0.4","6.5","7.5",,"1.8","1.8",,"10",,"10",,"1.4",,"156.39999999999998","177.1"
1999-06-01,"1",,,,,"1","2.8","4.3",,"7.1","8.1",,"1.4","1.4",,"12.439999999999998","22.5","34.94",,"0.64",,"188.5","233.57999999999998"
1999-07-01,"0.8",,,,,"0.8","2.4","4.4000000000000004",,"6.8000000000000007","7.6000000000000005",,"3","3",,"13.14",,"13.14",,"8.5",,"96.899999999999991","129.13999999999999"
1999-08-01,"1.3",,,,,"1.3",,"4.3600000000000003","2.16","6.5200000000000005","7.82",,"2.7","2.7",,"6.7",,"6.7",,"0.51514651",,"99","116.73514650999999"
1999-09-01,"1.24",,"1.34",,,"2.58",,"4.6399999999999997","2.74","7.38","9.9600000000000009","0.7","19.3","20",,"18.8",,"18.8",,"0.81463470000000004",,"136.69999999999999","186.27463470000001"
