"MES","SIED01","SIED02","SIED03","SIED04","SIED05","SIED06","SIED07","SIED08","SIED09","SIED10","SIED11","SIED12","SIED13"
1997-01-01,"280.10000000000002","0.3","1",,"5","6.3","9.9","12.04","21.9","2.74","24.64","119",430.04
1997-02-01,"256.5",,"0.1",,"4.3","4.4000000000000004","12","7.64","19.600000000000001","1.84","21.44","83.5",365.84
1997-03-01,"254.1",,"0.2","1.6","5.6","7.3999999999999995","17.100000000000001","27.7","44.8","3.44","48.239999999999995","109.7",419.44
1997-04-01,"295.10000000000002","0.3",,,"3.7","4","12.5","7.7","20.2","2.74","22.939999999999998","99.199999999999989",421.24
1997-05-01,"299.10000000000002","0.3",,,"2.4","2.6999999999999997","11.7","9.6","21.299999999999997","2.64","23.939999999999998","38.300000000000004",364.04
1997-06-01,"294.10000000000002","0.3","0.1",,"5.2","5.6000000000000005","21.6","14.7","36.299999999999997","1.94","38.239999999999995","74.500000000000014",412.44
1997-07-01,"287.10000000000002","0.2",,"0.3","3.3","3.8","7.7","4.5999999999999996","12.3","4.84","17.14","107.39999999999999",415.44
1997-08-01,"324.7",,,,"5.0999999999999996","5.0999999999999996","13.2","8.1","21.299999999999997","1.84","23.139999999999997","67.400000000000006",420.34
1997-09-01,"289.3",,,"0.2","4.5","4.7","25.1","18.2","43.3","2.04","45.339999999999996","75.899999999999991",415.24
1997-10-01,"366.8",,,"0.6","5.4","6","9.1","7.5","16.600000000000001","2.2400000000000002","18.840000000000003","60.099999999999994",451.74
1997-11-01,"314.5",,,"1.4","2.2999999999999998","3.6999999999999997","10.6","11.1","21.7","1.64","23.34","42.800000000000004",384.34
1997-12-01,"383.5","0.3",,"1","3.2","4.5","3.6","24.3","27.900000000000002","1.54","29.44","106.9",524.34
1998-01-01,"360.8",,,"0.2","3.24","3.4400000000000004","40.799999999999997","18.8","59.599999999999994","2","61.599999999999994","74.3",500.14
1998-02-01,"366.05",,,"1.5","2.15","3.65","10.6","6.05","16.649999999999999","2.1","18.75","30.700000000000003",419.11
1998-03-01,"438.9",,,"0.4","5.5","5.9","31.6","17","48.6","1.9","50.5","50.61",545.87
1998-04-01,"277.10000000000002","0.2",,,"4.6399999999999997","4.84","14.7","6.3","21","2.7","23.7","57.059999999999995",362.66
1998-05-01,"279.75",,,"0.1","3.3","3.4","13.14","9.4600000000000009","22.6","1.9","24.5","11.86",319.47
1998-06-01,"94.9",,,,"3.3","3.3","17","8.8000000000000007","25.8","2.36","28.16","48.059999999999995",174.42
1998-07-01,"182.6",,,,"6.04","6.04","8.84","12.14","20.98","4.84","25.82","19.059999999999999",233.48
1998-08-01,"82.3",,"0.04","0.04","3.3","3.38","8.9","6.3","15.2","2.64","17.84","16.96",120.48
1998-09-01,"126.5",,,"0.04","4.9000000000000004","4.9400000000000004","29.9","17.3","47.2","2.82","50.02","43.6",225.06
1998-10-01,"119.6",,,,"4.74","4.74","14.84","5.84","20.68","2.2400000000000002","22.92","70.240000000000009",217.46
1998-11-01,"96.1",,,"0.2","3.6","3.8000000000000003","9.6999999999999993","10.44","20.14","2.04","22.18","22.61",144.69
1998-12-01,"89.6",,,"0.2","3.1","3.3000000000000003","16.100000000000001","10.74","26.840000000000003","4.04","30.880000000000003","73",196.78
1999-01-01,"64.599999999999994",,,"0.4","3.8","4.2","10.3","7.34","17.64","3.14","20.78","68.349999999999994",157.93
1999-02-01,"86.2",,,,"4.7","4.7","7.3","5.4","12.7","1.9","14.6","38.299999999999997",143.8
1999-03-01,"87.7",,,"0.4","4.9000000000000004","5.3000000000000007","28.700000000000003","9.34","38.040000000000006","1.94","39.980000000000004","43",175.98
1999-04-01,"87.3",,,,"6.3","6.3","12.540000000000001","4.4400000000000004","16.98","2.34","19.32","31.240000000000002",144.16
1999-05-01,"118.3",,,,"4.5","4.5","11","7.5","18.5","2.14","20.64","7.4",150.84
1999-06-01,"95",,,"0.5","3.8","4.3","8.44","2.34","10.78","2.44","13.219999999999999","73.039999999999992",185.56
1999-07-01,"92.4",,,,"3.3","3.3","10.4","9.44","19.84","2.14","21.98","71.2",188.88
1999-08-01,"63.8",,,,"3.4","3.4","9.6999999999999993","3","12.7","2.2000000000000002","14.899999999999999","21.2",103.3
1999-09-01,"40.5",,,,"6.7","6.7","24.6","7.54","32.14","3.94","36.08","41.9",125.18
1999-10-01,"63.574707679999996",,,,"5","5","9","3.7","12.7","0.5","13.2","81.865292000000011",163.63999968
1999-11-01,"57.573",,,,"4.1399999999999997","4.1399999999999997","11.7","9.3000000000000007","21","1.3","22.3","28.988",113.001
1999-12-01,"64.209999999999994",,,"1.2","4","5.2","3.6079457500000003","4.4492255399999996","8.0571712899999994","1.8","9.8571712900000001","129.53282870999999",208.8
2000-01-01,"133.899",,,"0.124","2.9319999999999999","3.056","3.8260000000000001","2.948","6.774","2.0939999999999999","8.8680000000000003","90.703999999999994",236.527
2000-02-01,"131.89500000000001",,,"1.76","4.2510000000000003","6.0110000000000001","11.676","6.7380000000000004","18.414000000000001","8.407","26.821000000000002","29.666",194.393
2000-03-01,"97.042000000000002",,,,"6.9740000000000002","6.9740000000000002","25.547999999999998","7.9770000000000003","33.524999999999999","6.8120000000000003","40.336999999999996","35.488999999999997",179.842
2000-04-01,"41.319000000000003",,,,"4.0570000000000004","4.0570000000000004","8.2449999999999992","3.718","11.962999999999999","2.3620000000000001","14.324999999999999","54.795999999999999",114.497
2000-05-01,"58.119",,,"0.34499999999999997","4.923","5.2679999999999998","12.974","7.27","20.244","3.4750000000000001","23.719000000000001","22.936",110.042
2000-06-01,"70.39",,,"0.34300000000000003","3.964","4.3070000000000004","10.082000000000001","5.03","15.112000000000002","1.847","16.959000000000003","33.072000000000003",124.728
2000-07-01,"66.486800000000002",,,,"2.7067999999999999","2.7067999999999999","9.7761999999999993","3.0886","12.864799999999999","3.5280999999999998","16.392899999999997","54.828200000000002",140.4147
2000-08-01,"53.730600000000003",,,"3.8300000000000001E-2","5.1669999999999998","5.2052999999999994","11.1556","6.0015000000000001","17.1571","3.1156000000000001","20.2727","58.7",137.9086
2000-09-01,"66.026200000000003",,,,"6.5746000000000002","6.5746000000000002","21.181799999999999","8.3560999999999996","29.5379","2.2570999999999999","31.795000000000002","30.7759",135.1717
2000-10-01,"55.4",,,,"4.8","4.8","12.7","4.8","17.5","4.0999999999999996","21.6","39.700000000000003",121.5
2000-11-01,"42.2",,,,"3.8","3.8","12.8","12.6","25.4","3.6","29","34.6",109.6
2000-12-01,"44.7",,,,"5","5","7","6.6","13.6","3.6","17.2","58.8",125.7
2001-01-01,"76",,,,"2.5","2.5","10.52","13.3","23.82","6.3","30.12","128.70000000000002",237.32
2001-02-01,"42.04",,,,"2.7","2.7","11.5","6.6","18.100000000000001","4.9000000000000004","23","18",85.74
2001-03-01,"42.6",,,,"6.1","6.1","24","8.4","32.4","4.3","36.699999999999996","58",143.4
2001-04-01,"75.63",,,,"3.7","3.7","12.8","4.5","17.3","3.7","21","34",134.33
2001-05-01,"50.84",,,,"5.6","5.6","14","6.5","20.5","5.4","25.9","43.5",125.84
2001-06-01,"21.7",,,,"3.5","3.5","13.9","7.9","21.8","6.06","27.86","58",111.06
2001-07-01,"18.5",,,,"2.7","2.7","8.6999999999999993","5.5","14.2","10.1","24.299999999999997","54.2",99.7
2001-08-01,"0.1",,,,"3.7","3.7","11.54","4.9400000000000004","16.48","3.7","20.18","64.47",88.45
2001-09-01,"10.199999999999999",,,,"3.5","3.5","20.6","5.2","25.8","3.5","29.3","72.7",115.7
2001-10-01,"49.9",,,,"3.6","3.6","10.7","3","13.7","3.2","16.899999999999999","34",104.4
2001-11-01,"14.4",,,,"3.5","3.5","11.1","5.2","16.3","2.7","19","79.16",116.06
2001-12-01,"27.74",,,,"4.9000000000000004","4.9000000000000004","10.5","3.7","14.2","2.5","16.7","90.1",139.44
2002-01-01,"4.2",,,,"3.3","3.3","6.63","2","8.629999999999999","3.8","12.43","164.66",184.59
2002-02-01,"37.207000000000001",,,,"3.2","3.2","11.7","4.33","16.03","2.9","18.93","58.952999999999996",118.29
2002-03-01,"41.893999999999991",,,,"3.3","3.3","16.100000000000001","5.83","21.93","5.7","27.63","63.506",136.33
2002-04-01,"25.5",,,,"2.7","2.7","11.8","3.1","14.9","3.9","18.8","46.6",93.6
2002-05-01,"30",,,,"4.2","4.2","11.5","5.6","17.100000000000001","3.6","20.700000000000003","26.200000000000003",81.1
2002-06-01,"97.64800000000001",,,,"3","3","10.9","3.2","14.100000000000001","4","18.100000000000001","73.152000000000001",191.9
2002-07-01,"447.90000000000003",,,,"4.2","4.2","7.6","2.1","9.6999999999999993","3.8","13.5","123.05",588.65
2002-08-01,"5.5000000000000142",,,,"2.6","2.6","13.6","3.7","17.3","3.8","21.1","113.59999999999998",142.8
