"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
1998-01-01,"514","4531","5045","222","152","114","19442",,"5519","11334","17","459","42304"
1998-02-01,"719","3216","3935","164","654","976","12258",,"6009","8877","16","393","33282"
1998-03-01,"782","4501","5283","226","557","720","12950","12","6107","10804","155","933","37747"
1998-04-01,"648","5396","6044","222","553","165","12467",,"6744","8271","121","963","35550"
1998-05-01,"421","4932","5353","249","620","2795","10163","7","9197","9620",,"776","38780"
1998-06-01,"784","4871","5655","115","501","1089","9967",,"5359","8723","30","1728","33167"
1998-07-01,"790","7074","7864","369","481","1056","15356",,"7617","8890","129","889","42651"
1998-08-01,"607","5178","5785","207","440","527","13812",,"4445","8766","15","901","34898"
1998-09-01,"764","4305","5069","57","549","614","14636",,"6175","8559","15","1373","37047"
1998-10-01,"679","4356","5035","207","678","520","12699","20","5884","8275","89","782","34189"
1998-11-01,"316","4145","4461","259","391","384","11166",,"5370","7920","99","710","30760"
1998-12-01,"432","4116","4548","53","607","560","11221","39","5475","11710",,"979","35192"
1999-01-01,"149.30000000000001","6484.1","6633.4000000000005","136.1","348.90000000000003","295.10000000000002","9478","17.5","4943.2","7409",,"535","29796.2"
1999-02-01,"315.7","3711.3","4027","43.9","384.1","384.8","9649.7999999999993","17.5","4871.2","6424.8",,"658","26461.1"
1999-03-01,"503","6543.4","7046.4","137.30000000000001","233.40000000000003","678.8","15892.5",,"7808.4","8688.8000000000011",,"676","41161.600000000006"
1999-04-01,"327.5","3386.8","3714.3","137.6","441.2","296.60000000000002","7521.6","35","4233.7","5780.9",,"740","22900.9"
1999-05-01,"348","4909.3","5257.3","131.9","74.400000000000006","371.1","12256","44.8","5471.5","5718.1","111","827.9","30264"
1999-06-01,"505.8","5482.1","5987.9000000000005","91.6","582.20000000000005","442.2","11432.4","28.6","4345.3999999999996","9180.5",,"878","32968.799999999996"
