"MES","SEML01","SEML02","SEML03","SEML04","SEML05","SEML06","SEML07","SEML08","SEML09","SEML10","SEML11","SEML12","SEML13"
1998-01-01,"97","861","958","56","106.2","209.8","17028",,"32.200000000000003","1.23","6","1113.8","19511.23"
1998-02-01,"139","622","761","42","449.2","1234.8","11964",,"28.2","0.90600000000000003","4","1236.8","15720.906000000001"
1998-03-01,"147","844","991","57","389.2","965.8","12563","7","33.200000000000003","1.137","36","4158.8","19202.137000000002"
1998-04-01,"117","968","1085","56","389","285","12524.2",,"35.200000000000003","1","43","3605.8","18024.2"
1998-05-01,"72.7","851","923.7","59","422","4785","9660.2000000000007","4","47.2","1.006",,"3167.8","19069.906000000003"
1998-06-01,"138.69999999999999","783","921.7","35","342","1949","9783.2000000000007",,"32.200000000000003","0.92700000000000005","10","4035.8","17109.827000000001"
1998-07-01,"138","1237","1375","99","337","1932","15323.2",,"42.2","0.94340000000000002","25","2287.8000000000002","21422.143400000001"
1998-08-01,"116","845","961","61","314","956","13204.2",,"26.2","0.94499999999999995","8","4048.8","19580.145"
1998-09-01,"137","799","936","15","406","1117","14433.2",,"45","0.93500000000000005","3","3780.8","20736.935000000001"
1998-10-01,"126","807","933","55","517","1029","13133.2","12","36","0.872","23","3031.7","18770.772000000001"
1998-11-01,"51","661","712","80","346","793","11426.2",,"34","0.83899999999999997","20","2227.6999999999998","15639.739000000001"
1998-12-01,"97","763","860","14","443","1105","12012","42","35","1.2310000000000001",,"2855.7","17367.931"
1999-01-01,"29.3","1267.8","1297.0999999999999","43","284.8","592.9","10125.200000000001","25.2","36.299999999999997","0.79779999999999995",,"1497.5","13902.7978"
1999-02-01,"60.9","720.3","781.19999999999993","13.9","307.8","775.6","9934.7000000000007","25.6","28.6","0.69589999999999996",,"1425.5","13293.595900000002"
1999-03-01,"94","1223.2","1317.2","42.1","183.60000000000002","1259.0999999999999","16026.6",,"44.800000000000004","0.9383999999999999",,"1928.5","20802.838399999997"
1999-04-01,"61.5","635.5","697","47.9","350.70000000000005","584.9","7240.5","50","34.1","0.63819999999999999",,"2791.3","11797.038199999999"
1999-05-01,"62.5","889.2","951.7","40.6","85.9","701.4","11704.8","45.800000000000004","32","0.62939999999999996","25","2741.3","16329.129399999998"
1999-06-01,"93.3","1004.2","1097.5","28.2","412.5","833.8","11203.3","33","27.6","1.0692999999999999",,"4711","18347.969299999997"
1999-07-01,"74","934","1008","34","253.2","785.2","16357","43","37","0.70699999999999996","27","2062.5","20607.607"
1999-08-01,"95","887","982","56","129","694","10969","21","38","0.68389999999999995",,"4679","17568.6839"
1999-09-01,"74","1015","1089","34","205","932","13683","62","48","1.0569","19.7","6095","22168.7569"
1999-10-01,"95","1105","1200","28.3","453","852","11181","22","36","0.79310000000000003","1","2835","16609.093099999998"
1999-11-01,"82","1184","1266","63.4","62.7","759","14518","47","29","0.83120000000000005","12.7","2681.5","19440.1312"
1999-12-01,"170","1008","1178","14.3","253","626","11931","65","41","1.1073999999999999","16.600000000000001","4116","18242.007400000002"
2000-01-01,"86","1276.05","1362.05","43","194","886","10345","31.231999999999999","34","0.77200000000000002","1","5460.4859999999999","18357.54"
2000-02-01,"66","922","988","43","332","487","9865","39.932000000000002","28.4","0.82099999999999995","20","3905.5299999999997","15709.683000000001"
2000-03-01,"85","981","1066","58","61","675","15520","28.097000000000001","56","0.97599999999999998","39.5","6684.6360000000004","24189.209000000003"
2000-04-01,"153.5","808.05","961.55","14.3","131.69999999999999","496.2","12559.5","32.043999999999997","25.4","0.71499999999999997","2.2749999999999999","6045.2610000000004","20268.945"
2000-05-01,"179.9","1182.0999999999999","1362","28.5","116.9","869","12388.7","37.497","43.6","0.63","12.45","4083.7190000000001","18942.995999999999"
2000-06-01,"200","1036.0999999999999","1236.0999999999999","72.7","472.9","1492.6","11360","20.420000000000002","46.74","1.006","0.5","2970.096","17673.061999999998"
2000-07-01,"175.4","745.2","920.6","55.4","53.6","877.3","11491.6","29.459","46.8","0.69699999999999995","4.2830000000000004","3651.6220000000003","17131.361000000001"
2000-08-01,"145","913","1058","43","158","993","14796","34.480000000000004","45","1.083","0.4","4307.8809999999994","21436.843999999997"
2000-09-01,"178","944","1122","15","122","571","14186","17.875","33","0.73299999999999998","4.375","3967.2809999999999","20039.263999999999"
2000-10-01,"243","961","1204","66","262","691","12291","77.641999999999996","33","0.80600000000000005","0.25","5454.8099999999995","20080.508000000002"
2000-11-01,"200","1175","1375","29","172","1221","12209","9.6140000000000008","38","0.82899999999999996","0.6","5517.8519999999999","20572.895"
2000-12-01,"194","1097","1291","28","96","551","13617","27.526","32","0.71099999999999997","2.5049999999999999","5305.1059999999998","20950.847999999998"
2001-01-01,"126.8","1016.2","1143","44","86.7","719","10073",,"33","0.95899999999999996","1","3264.2","15364.859"
2001-02-01,"171.7","873.3","1045","51","149.69999999999999","501","8583",,"22","0.495","6","1549.5","11907.695000000002"
2001-03-01,"122","1168","1290","43.2","224","684","11165",,"42.2","0.82499999999999996",,"456.2","13905.425000000003"
2001-04-01,"139.69999999999999","1245.5999999999999","1385.3","57.6","59.7","214","9490.5","5.7549999999999999","23.400000000000002","0.74399999999999999","8.9","2997.2","14243.098999999998"
2001-05-01,"127.8","1008.7","1136.5","42","124.3","994.3","8190",,"32.299999999999997","1.016","5","3132","13657.415999999999"
