"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
1998-01-01,"3067","582","1866","923.4","5223","202","404","11398",,"13753","37418.400000000001"
1998-02-01,"4367","140","1246","1035.4000000000001","4386","309","1221","6187",,"18637","37528.400000000001"
1998-03-01,"1086","216","1926","859","4429","471","606","2136",,"17052","28781"
1998-04-01,"554","1257","2392","747","3934","354","361","13959",,"14386","37944"
1998-05-01,"1355","2405","3079","813","3160","325","197","18303",,"18215","47852"
1998-06-01,"2488","2746","2474.4","779","3361","627","466","17388",,"20891","51220.4"
1998-07-01,"4614","2315.6","4539.3999999999996","770","3745.6","1021","381.4","22304",,"16124","55815"
1998-08-01,"2448","2091.6","2019","732","3450.6","878",,"17054",,"13572","42245.2"
1998-09-01,"3283","1075","3487","674","4136","1010","68.400000000000006","10806",,"19695","44234.400000000001"
1998-10-01,"1191","474","3105","893","5391","744",,"11417",,"24959","48174"
1998-11-01,"149","392","2441","478","4870","571",,"8332",,"14977.6","32210.6"
1998-12-01,"107.51","741","2448","662","5309","540",,"11501",,"21595","42903.51"
1999-01-01,"19.7","639.6","1351.3","566.9","2201.1","249.6",,"12773.5",,"12767.8","30569.5"
1999-02-01,"11.8","195.2","482.9","676.7","2115.6","224.7",,"8813.8000000000011",,"13106.8","25627.5"
1999-03-01,"78.2","71.7","962.5","616","1515.7","204.5","686.9","13079",,"17450","34664.5"
1999-04-01,"123.9","349.7","922","641","4821","276","516","17951",,"19970","45570.6"
1999-05-01,"256.3","1564.1","3286","988","2132","250","1211","12425",,"18473","40585.4"
1999-06-01,"502.2","2420","4394","755","1562","407","1724","21215",,"20311.5","53290.7"
1999-07-01,"571","1830","3178","986","1850","824","2259","23291",,"21700","56489"
1999-08-01,"1324","1218","3564","515","2164","1107","3026","13539",,"21621","48078"
1999-09-01,"3605","1671","6661","917","2053","1106","1987","9635",,"21811","49446"
1999-10-01,"980","1593","3407","1288","2517.3000000000002","862","1514","14462.2",,"18162.79","44786.29"
1999-11-01,"930.3","818.2","2919","944","4966.03","831","2521.6999999999998","9093.2000000000007",,"21136.6","44160.03"
1999-12-01,"431.2","1404.3","1578","1356","4147","615","663.7","6690.2",,"30453","47338.400000000001"
2000-01-01,"141.4","478.7","417.3","1257.7","1959.5","146.4","1214.8","9598.5","1935.2","16597.099999999999","33746.6"
2000-02-01,"133.9","347","1095.9000000000001","1387.6","2401.1","169.4","2837.9","4278.7","2177","16882","31710.5"
