"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
1998-01-01,"9306","180.9864","599","321","5827","8","79","40983",,"16894","74197.986399999994"
1998-02-01,"9627","47.174399999999999","387","468","5825","87","229","24058",,"27006","67734.174400000004"
1998-03-01,"3142","58.6","622","348","5552","114","11","6951",,"20083","36881.599999999999"
1998-04-01,"1572","422.44299999999998","785","264","4398","29","66","61511",,"11938","80985.442999999999"
1998-05-01,"4168","915.05399999999997","1015","324","3696","79","34","74697",,"21625","106553.054"
1998-06-01,"6998","1052","906","180","3947","22","8","81966",,"19729","114808"
1998-07-01,"12134","974.83","1522","311","4416","42","69","108595",,"19479","147542.83000000002"
1998-08-01,"6929","871.15800000000002","668","239","3906","165",,"76538",,"14801","104117.158"
1998-09-01,"10649","450.27","1257","276","5736","161","12","56696",,"16074","91311.27"
1998-10-01,"3075","227.82","1101","310","6116","24",,"55818",,"29805","96476.82"
1998-11-01,"348","170","979","182","5364","90",,"41064",,"19314.2","67511.199999999997"
1998-12-01,"267","257.053","999","256","5438","64",,"56498",,"24099","87878.053"
1999-01-01,"42.1","303.71882086167801","882.5","232","2481.5","35.9",,"60557.2",,"15724","80258.918820861669"
1999-02-01,"39.5","112.29024943310657","196.7","350.1","2682.6","36.200000000000003",,"43929",,"17197","64543.390249433105"
1999-03-01,"213.7","39.09297052154195","347.7","321.10000000000002","1803.2","55.9","120.1","70181.3",,"26791","99873.092970521539"
1999-04-01,"335.2","175.37414965986395","346","254","2511","30","90.3","87651",,"27820","119212.87414965987"
1999-05-01,"829","806.43990929705217","1390","486","2126","34","190","61305",,"21007","88173.439909297056"
1999-06-01,"1473","1205.124716553288","1720","460","1737","46","316","103566",,"22177","132700.12471655328"
1999-07-01,"1934","1048.344671201814","1167","430","2231","72","464","112002",,"26652","146000.34467120183"
1999-08-01,"4378","678.63945578231289","1338","316","2943","214","563","63565",,"29904","103899.63945578231"
1999-09-01,"10250","469.38775510204079","1863","538","2531","106","397","48640",,"38720","103514.38775510204"
1999-10-01,"2822","968.57142857142844","1124","674","2562","107","270","68740",,"32048","109315.57142857142"
1999-11-01,"2990","454.10430839002265","985","519","4956","533","501","47210",,"37101","95249.104308390029"
1999-12-01,"1595","618.27664399092964","556","685","4565","199","128","33758",,"33284","75388.276643990932"
2000-01-01,"463.2","237.00680272108843","156.69999999999999","569","2332.1999999999998","5","219","45435.7","3341.2","18007.7","70766.706802721077"
2000-02-01,"442.1","171.11111111111111","364.6","636.79999999999995","2884.5","9","505","19248.300000000003","3976.9","28165.599999999999","56403.911111111112"
