"MES","SECM01","SECM02","SECM03","SECM04","SECM05","SECM06","SECM07","SECM08","SECM09"
1998-01-01,"2.3589000000000002","0.76550000000000007","0.49","0.2407","3.0750000000000002","40","15.5","5.95","286.05"
1998-02-01,"2.3752","0.78","0.5","0.2339","3.3250000000000002","40","15.75","6.49","297.26"
1998-03-01,"2.4809999999999999","0.77","0.47","0.254","3.5750000000000002","40","16","6.46","295.81"
1998-04-01,"2.5886999999999998","0.79","0.49","0.25940000000000002","3.95","40","16","6.33","301.70999999999998"
1998-05-01,"2.6615000000000002","0.83","0.49","0.2462","3.75","40","16","5.04","305.08999999999997"
1998-06-01,"2.7050000000000001","0.76","0.47","0.23899999999999999","3.5750000000000002","40","16","5.23","294.37"
1998-07-01,"2.56","0.74","0.49","0.24729999999999999","3.4","40","16","5.33","293.12"
1998-08-01,"2.5781000000000001","0.75","0.47","0.24310000000000001","3.35","39","14.5","5.43","289.13"
1998-09-01,"2.4849999999999999","0.746","0.46","0.23599999999999999","3.2749999999999999","38","13","4.9992000000000001","284.18"
1998-10-01,"2.4605000000000001","0.73","0.44","0.22320000000000001","3.1","38","10.75","5.0599999999999996","295.02"
1998-11-01,"2.4817999999999998","0.72","0.43","0.22389999999999999","2.95","38","  8.50","4.97","293.67"
1998-12-01,"2.3820000000000001","0.7","0.44","0.22700000000000001","2.9","35","  8.50","4.88","294.52999999999997"
1999-01-01,"2.3199999999999998","0.66","0.43","0.23","2.85","32","15.5","5.0599999999999996","288.85000000000002"
1999-02-01,"2.35","0.65","0.45","0.23","2.8","32.5","15.75","5.34","287.19"
1999-03-01,"2.4300000000000002","0.62","0.47","0.24","2.98","33","16","5.42","288.12"
1999-04-01,"2.42","0.64","0.46","0.23","3.13","33","16","5.01","282.23"
1999-05-01,"2.52","0.7","0.48","0.24","3.45","33","16","5.27","282.70999999999998"
1999-06-01,"2.4700000000000002","0.65","0.46","0.22","3.4","33","16","5.09","267.77"
1999-07-01,"2.38","0.71","0.47","0.23","3.35","33","16","5.15","259.02999999999997"
1999-08-01,"2.36","0.75","0.495","0.22","3.35","33","14.5","5.27","255.71"
1999-09-01,"2.39","0.77","0.53","0.22969999999999999","3.95","36.5","13","5.17","256.3"
1999-10-01,"2.4300000000000002","0.79","0.53","0.23","4.43","38","10.75","5.44","295.95999999999998"
1999-11-01,"2.58","0.78","0.52","0.22","4.45","38","8.5","5.19","297.95999999999998"
1999-12-01,"2.61","0.78","0.53","0.22","4.38","38","8.5","5.15","288.39"
